"" "assumed" "beautiful" "benevolent" "broken" "clear" "grim" "mad" "manly" "grand" "gentle" "unwonted" "utmost" "restless" "twisted" "main" "musical" "modest"
"assumed" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"beautiful" 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0
"benevolent" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"broken" 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0
"clear" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"grim" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"mad" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"manly" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"grand" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gentle" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"unwonted" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"utmost" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"restless" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"twisted" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"main" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"musical" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"modest" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
