"" "#-angry" "accustomed" "angry" "belmont" "charming" "dignified" "empty" "evil" "first" "grateful" "little" "sorry" "free" "infallible"
"#-angry" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"accustomed" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"angry" 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"belmont" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"charming" 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"dignified" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"empty" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"evil" 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"first" 0 0 0 0 1 0 1 0 0 0 2 0 1 1
"grateful" 0 0 0 1 1 0 0 0 0 0 1 0 0 0
"little" 1 1 0 0 0 1 0 0 2 1 0 0 0 0
"sorry" 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"free" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"infallible" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
