"" "#-dependent" "adventurous" "comfortable" "delicious" "dewy" "dissolute" "domestic" "fiery" "further" "great" "quiet" "compact" "morose" "mixed" "partial" "past" "wry"
"#-dependent" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"adventurous" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"comfortable" 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0
"delicious" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"dewy" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"dissolute" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"domestic" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"fiery" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"further" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"great" 1 0 2 1 1 0 1 1 2 0 1 0 0 1 1 1 1
"quiet" 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"compact" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"morose" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"mixed" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"partial" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"past" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"wry" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
