"" "able" "amusing" "decent" "absolute" "fair" "unaffected" "sorry" "unhappy" "enough"
"able" 0 0 0 1 1 1 0 0 0
"amusing" 0 0 0 0 0 0 1 1 0
"decent" 0 0 0 0 0 0 0 0 1
"absolute" 1 0 0 0 0 0 0 0 0
"fair" 1 0 0 0 0 0 0 0 0
"unaffected" 1 0 0 0 0 0 0 0 0
"sorry" 0 1 0 0 0 0 0 0 0
"unhappy" 0 1 0 0 0 0 0 0 0
"enough" 0 0 1 0 0 0 0 0 0
