"" "bustling" "curious" "fustian" "goldian" "green" "ironical" "masculine" "private" "scornful" "quiet" "low" "upper" "vast" "sorry" "worth" "sullen" "public"
"bustling" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"curious" 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0
"fustian" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"goldian" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"green" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"ironical" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"masculine" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"private" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2
"scornful" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"quiet" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"low" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"upper" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"vast" 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"sorry" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"worth" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"sullen" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"public" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
