"" "advisable" "alarming" "confused" "fervent" "full" "quiet" "off" "indisputable" "hers" "mulberry" "tame"
"advisable" 0 0 0 0 0 0 1 0 0 0 0
"alarming" 0 0 0 0 0 0 0 1 0 0 0
"confused" 0 0 0 0 0 1 0 0 0 0 0
"fervent" 0 0 0 0 0 0 0 0 1 0 0
"full" 0 0 0 0 0 0 0 0 0 1 0
"quiet" 0 0 1 0 0 0 0 0 0 0 1
"off" 1 0 0 0 0 0 0 0 0 0 0
"indisputable" 0 1 0 0 0 0 0 0 0 0 0
"hers" 0 0 0 1 0 0 0 0 0 0 0
"mulberry" 0 0 0 0 1 0 0 0 0 0 0
"tame" 0 0 0 0 0 1 0 0 0 0 0
