"" "ample" "broad" "indifferent" "savoury" "perpetual"
"ample" 0 0 0 1 0
"broad" 0 0 0 1 0
"indifferent" 0 0 0 0 1
"savoury" 1 1 0 0 0
"perpetual" 0 0 1 0 0
