"" "#-improbable" "#-worthy" "ardent" "capable" "cordial" "excellent" "few" "guilty" "inexpressible" "infinite" "latter" "lively" "misshapen" "own" "probable" "willing" "poor" "red" "serious" "sufficient" "wretched"
"#-improbable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"#-worthy" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"ardent" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"capable" 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"cordial" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"excellent" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"few" 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"guilty" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"inexpressible" 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"infinite" 0 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0
"latter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"lively" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"misshapen" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"own" 0 1 1 0 0 1 0 1 0 1 0 1 1 0 0 0 2 1 1 1 1
"probable" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"willing" 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"poor" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"red" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"serious" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"sufficient" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"wretched" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
