"" "complete" "demoniacal" "former" "hoarse" "savage" "ludicrous"
"complete" 0 0 0 1 0 0
"demoniacal" 0 0 0 0 1 0
"former" 0 0 0 0 0 1
"hoarse" 1 0 0 0 0 0
"savage" 0 1 0 0 0 0
"ludicrous" 0 0 1 0 0 0
