"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","little",7033,180,219,743,139,682,552,243,88,41,236,117,848,174,406,121,394,61,163,516,108,392,122,96,371,21
"2","old",5135,115,216,494,33,390,483,49,34,38,200,86,341,40,431,75,367,22,327,312,28,530,10,27,482,5
"3","good",4821,150,301,420,101,356,273,217,129,28,161,100,335,182,371,78,269,76,143,292,100,244,137,99,203,56
"4","great",4278,115,279,313,202,268,298,178,118,41,130,74,272,122,312,48,340,61,141,150,77,306,107,106,196,24
"5","young",3347,74,132,275,18,199,244,111,116,20,110,94,151,84,289,100,317,58,193,209,49,236,93,62,106,7
"6","poor",1635,58,82,151,29,107,106,72,55,29,50,42,143,48,78,38,127,15,45,132,29,50,23,29,97,0
"7","short",1253,27,55,74,16,99,74,38,44,10,37,22,76,38,95,23,91,34,43,71,26,93,31,39,87,10
"8","strong",860,44,73,38,22,97,42,29,8,7,39,17,53,30,71,19,53,7,33,57,18,32,12,13,43,3
"9","open",752,30,54,57,13,45,44,17,14,12,46,10,50,9,58,23,37,16,31,50,12,54,4,21,38,7
"10","bad",667,22,34,49,6,42,38,39,18,1,39,27,26,28,48,14,34,5,26,75,17,31,12,9,18,9
"11","strange",640,21,41,48,12,35,47,10,31,28,35,9,30,9,59,19,30,18,27,21,2,42,9,17,35,5
"12","cold",625,16,37,41,7,27,64,27,7,21,27,12,26,9,37,14,50,7,48,31,7,46,10,11,40,3
"13","natural",547,19,21,47,4,34,41,37,13,18,21,11,39,25,42,9,30,8,2,31,14,21,19,17,23,1
"14","happy",544,9,12,42,5,45,32,45,17,12,11,5,35,37,26,5,27,16,12,14,23,26,26,39,23,0
"15","hard",523,27,26,39,18,33,52,3,7,6,25,14,41,7,37,12,40,3,17,47,2,27,6,4,23,7
"16","fine",517,14,25,64,4,32,18,25,21,5,11,12,28,33,22,5,37,15,14,25,21,44,13,17,8,4
"17","glad",509,1,23,37,8,53,39,21,24,1,18,15,35,30,48,8,24,11,9,28,6,22,14,12,21,1
"18","pleasant",480,10,27,46,6,36,24,24,2,8,18,6,29,18,60,2,37,6,11,16,7,32,11,11,31,2
"19","certain",428,10,21,28,9,41,32,11,8,2,23,10,26,9,44,9,16,2,10,54,2,15,23,8,15,0
"20","beautiful",426,6,9,36,0,39,46,11,7,20,15,6,34,5,30,8,38,10,15,17,2,36,9,6,21,0
"21","bright",419,15,36,42,2,34,50,2,0,6,19,7,42,2,34,15,14,6,11,33,3,23,0,0,22,1
"22","agreeable",400,5,6,37,1,29,12,29,5,2,13,9,28,28,25,4,17,21,4,23,26,16,32,19,9,0
"23","extraordinary",367,7,7,18,3,23,34,20,12,0,11,6,7,3,24,8,56,6,9,16,9,47,14,7,20,0
"24","fair",354,13,19,21,9,11,29,16,8,7,6,3,30,21,30,6,29,9,5,28,3,14,13,6,18,0
"25","quiet",350,15,24,35,2,32,19,7,7,2,21,11,25,9,17,7,18,3,15,29,5,20,1,3,23,0
"26","private",328,9,18,23,2,18,30,8,12,0,19,7,18,14,27,2,26,3,6,12,4,43,6,11,10,0
"27","afraid",324,4,12,27,4,33,30,19,4,0,9,7,23,15,26,4,10,7,15,22,3,23,12,8,7,0
"28","handsome",313,9,14,24,3,22,29,19,2,0,16,2,27,11,12,6,19,14,6,21,11,10,16,13,7,0
"29","serious",300,3,12,14,6,23,14,24,9,2,6,4,10,26,18,7,28,3,4,16,11,12,20,19,8,1
"30","rich",299,5,21,25,5,10,17,8,0,2,12,5,32,7,16,4,22,6,4,33,9,14,5,12,15,10
"31","remarkable",297,15,20,21,4,16,24,3,0,1,8,11,25,1,36,4,22,6,8,18,2,27,7,1,17,0
"32","sweet",294,8,7,12,2,27,43,8,13,16,5,0,18,8,29,8,13,9,13,17,3,10,5,10,8,2
"33","gentle",283,8,17,12,0,22,25,11,6,21,5,6,13,13,19,3,18,6,16,10,3,18,3,4,20,4
"34","original",279,13,35,8,0,9,30,1,0,2,2,2,35,2,2,6,39,1,2,31,0,7,5,0,47,0
"35","difficult",278,13,15,27,4,18,11,3,12,1,16,7,29,9,17,12,9,4,6,22,4,14,10,3,12,0
"36","proper",262,4,11,9,20,5,3,28,11,2,2,5,21,15,13,0,21,5,6,6,11,20,14,14,15,1
"37","excellent",257,3,1,22,2,19,15,24,12,9,2,1,8,11,17,4,16,13,4,13,13,20,12,8,4,4
"38","curious",256,9,9,40,2,19,14,3,5,1,18,8,22,2,19,11,10,0,6,19,2,22,3,1,11,0
"39","honest",252,16,20,11,9,14,15,4,2,1,4,5,13,5,21,4,21,5,8,43,1,6,1,4,16,3
"40","worthy",243,4,14,15,0,17,14,14,13,3,5,6,15,3,25,1,30,3,8,18,2,17,3,1,12,0
"41","warm",241,4,9,16,0,13,21,14,5,5,7,2,12,12,12,5,21,5,8,16,8,21,3,7,15,0
"42","friendly",231,5,13,19,1,26,13,9,2,0,9,3,14,7,16,9,6,1,4,31,5,13,6,5,13,1
"43","delightful",230,1,3,14,1,26,5,31,6,0,4,0,7,13,8,2,22,16,1,11,4,20,16,13,6,0
"44","weak",230,8,11,13,5,19,16,5,9,4,10,6,21,3,16,4,15,0,14,22,3,9,2,0,15,0
"45","anxious",228,9,10,18,3,15,11,13,3,0,6,6,19,13,14,2,13,9,7,9,5,11,12,10,10,0
"46","innocent",228,9,9,27,3,16,32,1,8,15,10,4,19,2,9,5,5,1,7,19,0,11,1,1,11,3
"47","sensible",228,2,8,25,2,22,12,13,14,0,6,3,23,10,8,7,4,3,0,12,16,6,20,9,3,0
"48","cruel",216,11,14,9,2,20,17,3,30,3,6,3,17,4,14,6,12,2,4,12,5,6,2,7,7,0
"49","plain",210,7,9,23,4,18,12,6,0,1,7,14,16,2,19,1,12,3,4,15,2,8,5,1,20,1
"50","terrible",210,10,19,14,15,14,21,0,5,9,17,1,6,7,20,4,11,0,8,8,0,8,0,2,10,1
"51","blind",207,7,64,12,0,7,12,8,1,5,9,6,16,1,7,4,9,0,8,11,0,5,4,3,7,1
"52","charming",207,4,6,11,1,6,17,22,8,1,2,3,17,4,9,6,12,16,1,16,3,2,12,15,13,0
"53","important",200,4,8,13,0,15,12,15,18,1,3,1,17,8,6,4,9,4,5,9,3,25,8,8,4,0
"54","wonderful",197,9,4,7,2,23,10,8,5,13,9,6,26,8,12,6,4,4,1,18,1,15,3,2,1,0
"55","proud",186,1,14,7,0,15,40,2,9,0,14,4,15,0,13,6,13,1,4,6,3,9,7,0,3,0
"56","familiar",181,6,10,21,2,20,14,2,2,7,5,6,18,4,18,3,9,1,6,10,1,5,2,0,9,0
"57","rough",178,12,23,13,2,23,9,1,0,2,7,6,11,4,10,3,8,0,6,12,0,10,1,0,12,3
"58","comfortable",177,0,7,14,3,18,8,10,2,0,6,5,7,14,16,0,7,2,4,14,4,11,7,13,5,0
"59","fat",177,0,4,8,0,5,3,0,1,0,6,1,4,0,6,0,17,0,7,3,0,106,1,0,2,3
"60","interesting",176,2,5,11,0,6,6,18,3,5,4,6,11,9,8,2,11,6,7,13,8,11,10,11,3,0
"61","gracious",172,8,15,10,0,12,15,1,5,0,3,1,15,1,22,3,11,1,5,18,0,7,5,4,7,3
