"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"150","encouraging",9,2,1,0,1,1,4
"151","energetic",1,1,0,0,0,0,0
"152","entertaining",6,3,1,1,1,0,0
"153","enthusiastic",1,0,0,0,0,0,1
"154","ethical",0,0,0,0,0,0,0
"155","evil",28,9,11,1,1,1,5
"156","excellent",81,24,11,13,13,12,8
"157","exceptional",0,0,0,0,0,0,0
"158","excited",2,0,0,0,1,1,0
"159","exciting",10,4,2,0,0,1,3
"160","exhausted",0,0,0,0,0,0,0
"161","experienced",3,0,1,0,1,0,1
"162","expressive",9,1,3,0,1,2,2
"163","extraordinary",59,20,3,6,9,14,7
"164","fair",68,16,21,9,3,13,6
"165","faithful",8,1,1,4,0,1,1
"166","familiar",10,2,4,1,1,2,0
"167","famous",10,2,1,7,0,0,0
"168","fascinating",1,0,0,0,0,0,1
"169","fat",1,0,0,0,0,1,0
"170","feminine",4,1,2,0,0,0,1
"171","fine",124,25,33,15,21,13,17
"172","firm",6,1,0,2,0,2,1
"173","flexible",0,0,0,0,0,0,0
"174","foolish",27,7,6,3,1,5,5
"175","forgetful",1,0,0,0,1,0,0
"176","forgiving",2,1,0,0,0,1,0
"177","fortunate",39,17,5,1,1,12,3
"178","forward",0,0,0,0,0,0,0
"179","friendly",33,9,7,1,5,6,5
"180","frightening",0,0,0,0,0,0,0
"181","frustrated",0,0,0,0,0,0,0
"182","frustrating",0,0,0,0,0,0,0
"183","funny",0,0,0,0,0,0,0
"184","furious",0,0,0,0,0,0,0
"185","generous",20,3,4,2,1,5,5
"186","gentle",40,11,13,6,3,3,4
"187","genuine",8,1,3,3,0,0,1
"188","gifted",1,0,0,0,1,0,0
"189","giving",0,0,0,0,0,0,0
"190","glad",94,21,30,11,6,14,12
"191","glamorous",0,0,0,0,0,0,0
"192","good",811,217,182,76,100,137,99
"193","good-for-nothing",2,0,0,0,0,0,2
"194","good-humored",0,0,0,0,0,0,0
"195","good-looking",5,1,0,2,2,0,0
"196","good-natured",14,3,1,3,1,2,4
"197","gorgeous",0,0,0,0,0,0,0
"198","graceful",6,2,0,1,0,1,2
"199","gracious",12,1,1,1,0,5,4
"200","grateful",22,6,4,0,2,4,6
"201","great",651,178,122,61,77,107,106
"202","greedy",2,0,0,2,0,0,0
"203","grouchy",0,0,0,0,0,0,0
"204","grumpy",0,0,0,0,0,0,0
"205","handicapped",0,0,0,0,0,0,0
"206","handsome",84,19,11,14,11,16,13
"207","happy",186,45,37,16,23,26,39
"208","hard",25,3,7,3,2,6,4
