"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","good",811,217,182,76,100,137,99
"2","little",804,243,174,61,108,122,96
"3","great",651,178,122,61,77,107,106
"4","young",457,111,84,58,49,93,62
"5","poor",216,72,48,15,29,23,29
"6","short",206,38,38,34,26,31,39
"7","happy",186,45,37,16,23,26,39
"8","old",176,49,40,22,28,10,27
"9","agreeable",155,29,28,21,26,32,19
"10","fine",124,25,33,15,21,13,17
"11","natural",120,37,25,8,14,19,17
"12","bad",110,39,28,5,17,12,9
"13","strong",109,29,30,7,18,12,13
"14","serious",103,24,26,3,11,20,19
"15","glad",94,21,30,11,6,14,12
"16","delightful",93,31,13,16,4,16,13
"17","proper",87,28,15,5,11,14,14
"18","handsome",84,19,11,14,11,16,13
"19","excellent",81,24,11,13,13,12,8
"20","open",79,17,9,16,12,4,21
"21","pleasant",77,24,18,6,7,11,11
"22","charming",72,22,4,16,3,12,15
"23","cold",71,27,9,7,7,10,11
"24","sensible",71,13,10,3,16,20,9
"25","fair",68,16,21,9,3,13,6
"26","strange",65,10,9,18,2,9,17
"27","afraid",64,19,15,7,3,12,8
"28","anxious",62,13,13,9,5,12,10
"29","interesting",62,18,9,6,8,10,11
"30","extraordinary",59,20,3,6,9,14,7
"31","certain",55,11,9,2,2,23,8
"32","comfortable",50,10,14,2,4,7,13
"33","capable",49,3,13,0,5,14,14
"34","warm",49,14,12,5,8,3,7
"35","delighted",47,13,8,5,5,10,6
"36","rich",47,8,7,6,9,5,12
"37","important",46,15,8,4,3,8,8
"38","private",46,8,14,3,4,6,11
"39","useful",46,11,23,2,7,2,1
"40","beautiful",43,11,5,10,2,9,6
"41","reasonable",43,15,8,2,0,10,8
"42","sweet",43,8,8,9,3,5,10
"43","respectable",41,9,11,0,3,8,10
"44","gentle",40,11,13,6,3,3,4
"45","clever",39,21,7,2,1,5,3
"46","desirable",39,11,9,2,6,6,5
"47","fortunate",39,17,5,1,1,12,3
"48","ashamed",38,9,9,6,2,10,2
"49","angry",36,6,9,5,2,8,6
"50","eager",34,11,4,3,5,5,6
"51","difficult",33,3,9,4,4,10,3
"52","friendly",33,9,7,1,5,6,5
"53","unhappy",30,6,3,4,1,3,13
"54","lucky",29,8,3,2,6,5,5
"55","nice",29,5,6,4,9,2,3
"56","pleased",29,6,5,4,4,6,4
"57","awkward",28,12,3,0,0,10,3
"58","evil",28,9,11,1,1,1,5
"59","quiet",28,7,9,3,5,1,3
"60","foolish",27,7,6,3,1,5,5
"61","satisfied",27,7,7,2,4,5,2
"62","lovely",26,8,9,2,2,3,2
"63","stupid",26,4,6,6,1,4,5
"64","valuable",26,7,4,1,4,6,4
"65","wonderful",26,8,8,4,1,3,2
"66","worthy",26,14,3,3,2,3,1
"67","hard",25,3,7,3,2,6,4
"68","ignorant",25,5,1,2,1,12,4
"69","cheerful",24,8,2,4,2,2,6
"70","affectionate",23,3,1,4,2,6,7
"71","cruel",23,3,4,2,5,2,7
"72","lively",23,4,4,2,3,5,5
"73","unreasonable",23,6,9,1,0,5,2
"74","grateful",22,6,4,0,2,4,6
"75","sincere",21,3,1,4,1,6,6
"76","generous",20,3,4,2,1,5,5
"77","honest",20,4,5,5,1,1,4
"78","kind",20,11,5,1,0,2,1
"79","remarkable",20,3,1,6,2,7,1
"80","violent",20,0,1,2,1,8,8
"81","independent",19,3,7,4,0,1,4
"82","liberal",19,7,1,3,1,2,5
"83","plain",19,6,2,3,2,5,1
"84","sad",19,5,8,0,3,3,0
"85","decent",18,1,2,5,4,3,3
"86","impatient",18,2,4,3,3,4,2
"87","thorough",18,6,3,0,1,3,5
"88","unlucky",18,3,5,0,0,7,3
"89","dangerous",17,7,3,1,3,1,2
"90","selfish",17,1,7,1,2,2,4
"91","surprised",17,0,8,2,1,3,3
"92","active",16,3,4,0,4,2,3
"93","amusing",16,4,5,2,1,3,1
"94","blind",16,8,1,0,0,4,3
"95","tall",16,3,5,0,2,4,2
"96","awful",15,0,4,6,1,1,3
"97","busy",15,5,5,1,1,1,2
"98","attentive",14,3,3,0,1,5,2
"99","calm",14,2,5,1,2,1,3
"100","good-natured",14,3,1,3,1,2,4
"101","interested",14,5,3,2,0,2,2
"102","modest",14,2,5,1,3,1,2
"103","polite",14,1,0,3,3,3,4
"104","ridiculous",14,1,2,2,0,2,7
"105","thoughtful",14,3,5,0,2,0,4
"106","bright",13,2,2,6,3,0,0
"107","disappointed",13,0,1,2,1,6,3
"108","positive",13,1,1,3,2,1,5
"109","proud",13,2,0,1,3,7,0
"110","secure",13,2,0,4,1,3,3
"111","strict",13,2,3,1,5,0,2
"112","weak",13,5,3,0,3,2,0
"113","cool",12,1,3,2,4,1,1
"114","gracious",12,1,1,1,0,5,4
"115","pretty",12,1,3,2,2,2,2
"116","rude",12,5,0,2,0,2,3
"117","tired",12,3,1,5,1,2,0
"118","unusual",12,3,4,3,1,0,1
"119","concerned",11,2,1,1,1,2,4
"120","curious",11,3,2,0,2,3,1
"121","direct",11,3,1,0,0,1,6
"122","nervous",11,5,1,0,1,0,4
"123","ordinary",11,1,1,3,0,3,3
"124","powerful",11,3,2,0,3,2,1
"125","smart",11,0,1,1,1,2,6
"126","exciting",10,4,2,0,0,1,3
"127","familiar",10,2,4,1,1,2,0
"128","famous",10,2,1,7,0,0,0
"129","careless",9,2,3,0,0,1,3
"130","encouraging",9,2,1,0,1,1,4
"131","expressive",9,1,3,0,1,2,2
"132","intelligent",9,3,0,0,3,2,1
"133","loud",9,2,1,2,0,1,3
"134","original",9,1,2,1,0,5,0
"135","terrible",9,0,7,0,0,0,2
"136","thankful",9,1,0,0,1,6,1
"137","uncomfortable",9,1,0,3,0,3,2
