"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","little",5940,180,219,743,682,552,236,117,848,406,121,394,163,516,392,371
"2","old",4849,115,216,494,390,483,200,86,341,431,75,367,327,312,530,482
"3","good",3696,150,301,420,356,273,161,100,335,371,78,269,143,292,244,203
"4","great",3242,115,279,313,268,298,130,74,272,312,48,340,141,150,306,196
"5","young",2729,74,132,275,199,244,110,94,151,289,100,317,193,209,236,106
"6","poor",1306,58,82,151,107,106,50,42,143,78,38,127,45,132,50,97
"7","short",967,27,55,74,99,74,37,22,76,95,23,91,43,71,93,87
"8","strong",711,44,73,38,97,42,39,17,53,71,19,53,33,57,32,43
"9","open",627,30,54,57,45,44,46,10,50,58,23,37,31,50,54,38
"10","bad",523,22,34,49,42,38,39,27,26,48,14,34,26,75,31,18
"11","cold",516,16,37,41,27,64,27,12,26,37,14,50,48,31,46,40
"12","strange",499,21,41,48,35,47,35,9,30,59,19,30,27,21,42,35
"13","hard",460,27,26,39,33,52,25,14,41,37,12,40,17,47,27,23
"14","bright",397,15,36,42,34,50,19,7,42,34,15,14,11,33,23,22
"15","natural",391,19,21,47,34,41,21,11,39,42,9,30,2,31,21,23
"16","pleasant",385,10,27,46,36,24,18,6,29,60,2,37,11,16,32,31
"17","glad",381,1,23,37,53,39,18,15,35,48,8,24,9,28,22,21
"18","fine",359,14,25,64,32,18,11,12,28,22,5,37,14,25,44,8
"19","beautiful",356,6,9,36,39,46,15,6,34,30,8,38,15,17,36,21
"20","certain",354,10,21,28,41,32,23,10,26,44,9,16,10,54,15,15
"21","happy",324,9,12,42,45,32,11,5,35,26,5,27,12,14,26,23
"22","quiet",311,15,24,35,32,19,21,11,25,17,7,18,15,29,20,23
"23","extraordinary",293,7,7,18,23,34,11,6,7,24,8,56,9,16,47,20
"24","remarkable",272,15,20,21,16,24,8,11,25,36,4,22,8,18,27,17
"25","original",268,13,35,8,9,30,2,2,35,2,6,39,2,31,7,47
"26","private",268,9,18,23,18,30,19,7,18,27,2,26,6,12,43,10
"27","fair",262,13,19,21,11,29,6,3,30,30,6,29,5,28,14,18
"28","afraid",252,4,12,27,33,30,9,7,23,26,4,10,15,22,23,7
"29","agreeable",237,5,6,37,29,12,13,9,28,25,4,17,4,23,16,9
"30","curious",237,9,9,40,19,14,18,8,22,19,11,10,6,19,22,11
"31","rich",235,5,21,25,10,17,12,5,32,16,4,22,4,33,14,15
"32","difficult",228,13,15,27,18,11,16,7,29,17,12,9,6,22,14,12
"33","handsome",224,9,14,24,22,29,16,2,27,12,6,19,6,21,10,7
"34","sweet",218,8,7,12,27,43,5,0,18,29,8,13,13,17,10,8
"35","honest",217,16,20,11,14,15,4,5,13,21,4,21,8,43,6,16
"36","gentle",212,8,17,12,22,25,5,6,13,19,3,18,16,10,18,20
"37","worthy",201,4,14,15,17,14,5,6,15,25,1,30,8,18,17,12
"38","weak",199,8,11,13,19,16,10,6,21,16,4,15,14,22,9,15
"39","friendly",194,5,13,19,26,13,9,3,14,16,9,6,4,31,13,13
"40","innocent",193,9,9,27,16,32,10,4,19,9,5,5,7,19,11,11
"41","plain",185,7,9,23,18,12,7,14,16,19,1,12,4,15,8,20
"42","blind",184,7,64,12,7,12,9,6,16,7,4,9,8,11,5,7
"43","warm",182,4,9,16,13,21,7,2,12,12,5,21,8,16,21,15
"44","serious",179,3,12,14,23,14,6,4,10,18,7,28,4,16,12,8
"45","fat",172,0,4,8,5,3,6,1,4,6,0,17,7,3,106,2
"46","terrible",171,10,19,14,14,21,17,1,6,20,4,11,8,8,8,10
"47","rough",165,12,23,13,23,9,7,6,11,10,3,8,6,12,10,12
"48","proud",164,1,14,7,15,40,14,4,15,13,6,13,4,6,9,3
"49","anxious",160,9,10,18,15,11,6,6,19,14,2,13,7,9,11,10
"50","familiar",160,6,10,21,20,14,5,6,18,18,3,9,6,10,5,9
"51","cruel",158,11,14,9,20,17,6,3,17,14,6,12,4,12,6,7
"52","pretty",157,8,4,26,21,15,3,2,12,4,7,12,3,10,27,3
"53","gracious",152,8,15,10,12,15,3,1,15,22,3,11,5,18,7,7
"54","wonderful",151,9,4,7,23,10,9,6,26,12,6,4,1,18,15,1
"55","excellent",149,3,1,22,19,15,2,1,8,17,4,16,4,13,20,4
"56","tall",145,15,13,13,5,12,5,4,6,4,1,16,10,8,25,8
"57","proper",141,4,11,9,5,3,2,5,21,13,0,21,6,6,20,15
"58","sensible",141,2,8,25,22,12,6,3,23,8,7,4,0,12,6,3
"59","awful",140,4,3,16,13,19,18,4,4,13,4,6,5,18,11,2
"60","professional",140,0,5,27,12,3,1,2,16,16,3,7,5,7,25,11
"61","loud",136,8,15,2,4,4,3,4,8,11,0,30,8,3,28,8
"62","important",135,4,8,13,15,12,3,1,17,6,4,9,5,9,25,4
"63","expressive",134,3,5,11,9,13,9,4,13,6,4,8,7,23,17,2
"64","delightful",130,1,3,14,26,5,4,0,7,8,2,22,1,11,20,6
"65","charming",125,4,6,11,6,17,2,3,17,9,6,12,1,16,2,13
"66","comfortable",122,0,7,14,18,8,6,5,7,16,0,7,4,14,11,5
"67","unusual",120,6,8,13,4,22,4,1,5,17,3,12,8,4,10,3
"68","nice",117,3,3,6,11,10,6,0,7,6,3,9,8,9,25,11
"69","thoughtful",115,2,10,8,13,14,5,3,7,15,0,5,3,11,8,11
