"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","abusive",5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"2","accomplished",29,0,1,1,0,1,7,1,0,0,0,2,4,0,0,1,6,0,0,0,0,1,4,0,0,0
"3","active",57,2,5,6,0,3,1,3,0,0,0,1,4,4,7,2,3,0,3,2,4,0,2,3,2,0
"4","admirable",56,3,1,2,0,3,3,2,2,3,2,1,10,0,5,1,2,0,0,2,0,8,3,1,1,1
"5","adorable",9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0
"6","adventurous",19,3,3,1,0,2,2,0,0,1,0,0,3,0,0,0,2,0,0,1,0,1,0,0,0,0
"7","affectionate",109,3,2,9,0,11,9,3,4,3,4,2,8,1,5,4,9,4,1,3,2,4,6,7,5,0
"8","afraid",324,4,12,27,4,33,30,19,4,0,9,7,23,15,26,4,10,7,15,22,3,23,12,8,7,0
"9","aggravating",14,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,1,0,1,2,0,0,0,0,2,0
"10","aggressive",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"11","agreeable",400,5,6,37,1,29,12,29,5,2,13,9,28,28,25,4,17,21,4,23,26,16,32,19,9,0
"12","alcoholic",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","alert",7,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"14","alone",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"15","amazing",43,0,3,1,0,4,3,2,0,0,0,1,4,3,3,2,1,1,0,7,0,0,2,0,6,0
"16","ambitious",20,0,1,2,0,1,8,0,0,0,0,0,0,2,0,0,2,0,1,3,0,0,0,0,0,0
"17","amusing",33,0,2,2,0,1,1,4,1,0,0,1,2,5,0,0,1,2,1,2,1,3,3,1,0,0
"18","angry",146,4,6,8,1,9,15,6,11,1,3,2,11,9,9,3,5,5,3,9,2,6,8,6,4,0
"19","annoyed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","annoying",3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"21","anxious",228,9,10,18,3,15,11,13,3,0,6,6,19,13,14,2,13,9,7,9,5,11,12,10,10,0
"22","appealing",8,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"23","appreciated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","appreciative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","argumentative",13,1,0,3,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0
"26","arrogant",5,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","artificial",35,0,0,2,0,1,6,0,0,0,1,1,4,1,4,0,4,0,0,3,3,2,0,1,2,0
"28","artistic",4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"29","ashamed",123,0,3,8,1,8,2,9,16,1,6,1,10,9,3,2,9,6,1,4,2,8,10,2,2,0
"30","assertive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","athletic",6,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"32","attentive",60,3,1,7,0,3,5,3,2,0,2,5,8,3,1,2,4,0,1,2,1,0,5,2,0,0
"33","attractive",17,0,0,2,0,0,0,1,1,1,1,1,3,2,0,0,1,0,1,0,1,0,0,2,0,0
"34","average",9,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"35","awake",7,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"36","awesome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","awful",160,4,3,16,0,13,19,0,2,3,18,4,4,4,13,4,6,6,5,18,1,11,1,3,2,0
"38","awkward",104,1,4,4,2,4,3,12,6,0,0,1,4,3,7,4,14,0,2,6,0,12,10,3,2,0
"39","bad",667,22,34,49,6,42,38,39,18,1,39,27,26,28,48,14,34,5,26,75,17,31,12,9,18,9
"40","bashful",23,0,0,2,0,4,0,0,1,0,1,0,4,0,2,0,1,0,1,0,0,4,0,1,2,0
"41","beautiful",426,6,9,36,0,39,46,11,7,20,15,6,34,5,30,8,38,10,15,17,2,36,9,6,21,0
"42","believable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","big",81,2,2,1,11,4,5,0,0,0,1,3,11,0,3,4,7,0,5,10,0,8,0,0,0,4
"44","bitter",70,3,5,5,2,7,3,1,0,8,1,1,3,3,6,1,7,1,4,2,0,1,1,1,4,0
"45","blind",207,7,64,12,0,7,12,8,1,5,9,6,16,1,7,4,9,0,8,11,0,5,4,3,7,1
"46","bold",78,1,12,2,0,7,8,0,8,1,1,1,1,1,10,0,8,1,1,6,1,4,0,1,3,0
"47","bored",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","boring",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"49","bossy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
