"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"benevolent";91;73;8;37,25;0,802197802197802;"benevolent";5,51652691259233;"benevolent";0,892874855936978;"benevolent";496,666666666667;"benevolent";0,0346216102068779;"benevolent";0,411861855122778
"benign";9;9;0;0;1;"benign";5,43823758181289;"benign";0,910346652328483;"benign";393;"benign";0,0521349862258953;"benign";0,331936717033386
"benignant";48;44;3;69;0,916666666666667;"benignant";5,37166412190123;"benignant";0,915820716418169;"benignant";366,75;"benignant";0,0587457999824247;"benignant";0,309356365352869
"bitter";61;54;5;64,6;0,885245901639344;"bitter";5,24587175042295;"bitter";0,92221976997694;"bitter";362,833333333333;"bitter";0,0841545272885262;"bitter";0,305244192481041
"bland";36;34;2;76;0,944444444444444;"bland";5,47885485713056;"bland";0,898653996826249;"bland";451;"bland";0,0399367908235481;"bland";0,395055234432221
"boastful";22;21;1;127;0,954545454545455;"boastful";5,30960992424767;"boastful";0,923386333347681;"boastful";336;"boastful";0,0714908826183934;"boastful";0,286868944764137
"boisterous";8;8;0;0;1;"boisterous";5,11669537172264;"boisterous";0,94706661347035;"boisterous";222;"boisterous";0,104097452934662;"boisterous";0,19994905591011
"bold";83;68;8;33,625;0,819277108433735;"bold";5,52475255182201;"bold";0,891324484130927;"bold";503,444444444444;"bold";0,0328940149704096;"bold";0,428531173202727
"brave";75;66;8;43,625;0,88;"brave";5,23876142232519;"brave";0,914415078677474;"brave";390;"brave";0,0674415591719762;"brave";0,323763426807192
"brisk";55;51;3;82,3333333333333;0,927272727272727;"brisk";5,30878780287791;"brisk";0,913972492166546;"brisk";394,5;"brisk";0,075307023629746;"brisk";0,342995895072818
"brute";19;19;0;0;1;"brute";5,48264403996348;"brute";0,90108383085413;"brute";439;"brute";0,0416766181036542;"brute";0,370564818382263
"businesslike";16;16;0;0;1;"businesslike";5,29769245245424;"businesslike";0,929347406784892;"businesslike";299;"businesslike";0,0719178082191781;"businesslike";0,254993557929993
"busy";262;147;21;16,4761904761905;0,561068702290076;"busy";5,43812966172994;"busy";0,90377427202089;"busy";434,454545454545;"busy";0,0486577047555924;"busy";0,372935742139816
"callow";7;7;0;0;1;"callow";5,15129035792147;"callow";0,94426895300804;"callow";234;"callow";0,0961879432624113;"callow";0,193113029003143
