"terms";"clusters"
"strict";62
"strong";128
"stubborn";229
"studious";242
"subtle";120
"sudden";99
"sufficient";71
"suggestive";196
"suicidal";206
"sullen";241
"sunny";242
"supercilious";155
"sure";144
"surly";24
"susceptible";216
"suspicious";266
"sweet";261
"systematic";170
"talkative";48
"tardy";63
"tart";249
"tenacious";13
"tender";194
"testy";191
"thankful";145
"thankless";84
"thorough";106
"thoughtful";147
"ticklish";140
"tidy";96
"tight";60
"timid";36
"tough";39
"tractable";272
"traditional";158
"tranquil";189
"treacherous";166
"tremulous";68
"trenchant";118
"trim";198
"troublous";42
"true";178
"truthful";63
"ugly";83
"unassuming";213
"uncertain";264
"unchanging";237
"uncharitable";90
"uncomplaining";125
"undecided";242
"ungrateful";270
"unhappy";225
"unmindful";110
"unreserved";212
"unselfish";229
"unsteady";146
"unsuspicious";37
"unvarying";115
"unwary";104
"upstart";18
"vague";159
"vain";187
"vehement";165
"vicious";1
"vigilant";202
"violent";9
"vivacious";195
"vocal";104
"wary";182
"watchful";71
"weak";261
"whimsical";195
"willing";236
"wiser";216
"wishful";94
"zealous";174
"worldly";59
"undutiful";235
"verbal";43
"umbrageous";119
"virtuous";164
"wise";93
"scholarly";221
"woeful";253
"urgent";192
"wry";13
"trustful";64
"untidy";123
"trusty";157
"turbulent";237
"unbending";206
"unerring";243
"wasteful";161
"womanly";108
"unmerciful";141
"sober";29
"vindictive";200
"unkind";149
"unscrupulous";160
"waggish";65
"wrathful";276
"uncivil";160
"unpolite";135
"sympathetic";90
"unpretending";200
"thoughtless";96
"unresisting";2
"swift";277
"unworldly";186
"windy";277
