"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abusive",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2","accomplished",9,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0
"3","active",13,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
"4","admirable",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"5","adorable",2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"6","adventurous",9,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0
"7","affectionate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","afraid",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","aggravating",8,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1
"10","aggressive",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"11","agreeable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","alcoholic",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13","alert",4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"14","alone",2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"15","amazing",11,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1
"16","ambitious",7,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0
"17","amusing",10,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0
"18","angry",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","annoyed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","annoying",2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"21","anxious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","appealing",7,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
"23","appreciated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","appreciative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","argumentative",9,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0
"26","arrogant",3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"27","artificial",11,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"28","artistic",4,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"29","ashamed",14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","assertive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","athletic",6,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
"32","attentive",13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"33","attractive",6,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0
"34","average",8,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1
"35","awake",4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"36","awesome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","awful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38","awkward",14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"39","bad",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40","bashful",9,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1
"41","beautiful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42","believable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","big",14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"44","bitter",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45","blind",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","bold",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"47","bored",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"48","boring",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"49","bossy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","brave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","bright",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"52","brilliant",13,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"53","businesslike",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"54","busy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55","calm",13,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"56","capable",14,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"57","carefree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","careful",13,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"59","careless",12,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"60","caring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","casual",11,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
"62","cautious",10,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1
"63","certain",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","charming",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65","cheap",12,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
"66","cheerful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67","childish",13,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"68","chubby",7,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0
"69","clean",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70","clever",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"71","closed-minded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","clumsy",8,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0
"73","cocky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","cold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75","colorful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","comfortable",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"77","comical",9,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1
"78","compassionate",11,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
"79","compatible",4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"80","competent",8,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1
"81","competitive",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"82","complaining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","complicated",12,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"84","compulsive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","conceited",3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"86","concerned",6,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
"87","confident",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"88","confused",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89","confusing",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"90","conscientious",8,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0
"91","conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","considerate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93","consistent",12,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"94","constructive",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"95","controlling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","controversial",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"97","cool",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","cooperative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","corrupt",6,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"100","courageous",4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"101","courteous",8,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0
"102","crabby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","cranky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","crazy",14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"105","creative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","critical",7,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0
"107","cruel",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108","curious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109","cute",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"110","dangerous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"111","daring",12,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
"112","decent",13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"113","dedicated",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"114","defensive",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"115","delighted",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"116","delightful",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"117","demanding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","democratic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","dependable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","dependent",10,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1
"121","depressed",10,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
"122","desirable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123","determined",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"124","devoted",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"125","difficult",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126","direct",14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"127","disabled",8,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0
"128","disappointed",13,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
"129","disgusting",4,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
"130","dishonest",6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
"131","disobedient",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","disorganized",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","disrespectful",4,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"134","distinguished",12,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"135","disturbed",10,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
"136","dominant",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"137","down-to-earth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","dumb",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"139","eager",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"140","easygoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","educated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","effective",2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"143","efficient",2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"144","elderly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"145","embarrassed",10,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
"146","embarrassing",7,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
"147","emotional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","employed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","encouraged",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"150","encouraging",9,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1
"151","energetic",6,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1
"152","entertaining",10,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1
"153","enthusiastic",8,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0
"154","ethical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","evil",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"156","excellent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"157","exceptional",5,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"158","excited",13,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"159","exciting",7,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
"160","exhausted",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"161","experienced",7,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
"162","expressive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"163","extraordinary",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"164","fair",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"165","faithful",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"166","familiar",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"167","famous",13,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"168","fascinating",10,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1
"169","fat",13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"170","feminine",11,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1
"171","fine",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"172","firm",11,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
"173","flexible",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"174","foolish",14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"175","forgetful",3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"176","forgiving",6,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0
"177","fortunate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"178","forward",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"179","friendly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"180","frightening",9,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1
"181","frustrated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","frustrating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","funny",4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"184","furious",10,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0
"185","generous",14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"186","gentle",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"187","genuine",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"188","gifted",10,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1
"189","giving",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","glad",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"191","glamorous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","good-natured",12,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
"193","good-humored",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
