"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","affectionate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","afraid",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","agreeable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","angry",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","anxious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","awful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","bad",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","beautiful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","bitter",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","blind",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","bright",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","busy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","certain",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","charming",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","cheerful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","clean",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","cold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","confused",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","considerate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","cool",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","cruel",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","curious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","dangerous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","desirable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","difficult",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","dumb",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","elderly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","evil",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","excellent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","expressive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
