"","Words","count.present"
"1","abusive",1
"2","accomplished",2
"3","active",3
"4","admirable",4
"5","adorable",5
"6","adventurous",6
"7","affectionate",7
"8","afraid",8
"9","aggravating",9
"10","aggressive",10
"11","agreeable",11
"12","alcoholic",12
"13","alert",13
"14","alone",14
"15","amazing",15
"16","ambitious",16
"17","amusing",17
"18","angry",18
"19","annoyed",19
"20","annoying",20
"21","anxious",21
"22","appealing",22
"23","appreciated",23
"24","appreciative",24
"25","argumentative",25
"26","arrogant",26
"27","artificial",27
"28","artistic",28
"29","ashamed",29
"30","assertive",30
"31","athletic",31
"32","attentive",32
"33","attractive",33
"34","average",34
"35","awake",35
"36","awesome",36
"37","awful",37
"38","awkward",38
"39","bad",39
"40","bashful",40
"41","beautiful",41
"42","believable",42
"43","big",43
"44","bitter",44
"45","blind",45
"46","bold",46
"47","bored",47
"48","boring",48
"49","bossy",49
"50","brave",50
"51","bright",51
"52","brilliant",52
"53","businesslike",53
"54","busy",54
"55","calm",55
"56","capable",56
"57","carefree",57
"58","careful",58
"59","careless",59
"60","caring",60
"61","casual",61
"62","cautious",62
"63","certain",63
"64","charming",64
"65","cheap",65
"66","cheerful",66
"67","childish",67
"68","chubby",68
"69","clean",69
"70","clever",70
"71","closed-minded",71
"72","clumsy",72
"73","cocky",73
"74","cold",74
"75","colorful",75
"76","comfortable",76
"77","comical",77
"78","compassionate",78
"79","compatible",79
"80","competent",80
"81","competitive",81
"82","complaining",82
"83","complicated",83
"84","compulsive",84
"85","conceited",85
"86","concerned",86
"87","confident",87
"88","confused",88
"89","confusing",89
"90","conscientious",90
"91","conservative",91
"92","considerate",92
"93","consistent",93
"94","constructive",94
"95","controlling",95
"96","controversial",96
"97","cool",97
"98","cooperative",98
"99","corrupt",99
"100","courageous",100
"101","courteous",101
"102","crabby",102
"103","cranky",103
"104","crazy",104
"105","creative",105
"106","critical",106
"107","cruel",107
"108","curious",108
"109","cute",109
"110","dangerous",110
"111","daring",111
"112","decent",112
"113","dedicated",113
"114","defensive",114
"115","delighted",115
"116","delightful",116
"117","demanding",117
"118","democratic",118
"119","dependable",119
"120","dependent",120
"121","depressed",121
"122","desirable",122
"123","determined",123
"124","devoted",124
"125","difficult",125
"126","direct",126
"127","disabled",127
"128","disappointed",128
"129","disgusting",129
"130","dishonest",130
"131","disobedient",131
"132","disorganized",132
"133","disrespectful",133
"134","distinguished",134
"135","disturbed",135
"136","dominant",136
"137","down-to-earth",137
"138","dumb",138
"139","eager",139
"140","easygoing",140
"141","educated",141
"142","effective",142
"143","efficient",143
"144","elderly",144
"145","embarrassed",145
"146","embarrassing",146
"147","emotional",147
"148","employed",148
"149","encouraged",149
"150","encouraging",150
"151","energetic",151
"152","entertaining",152
"153","enthusiastic",153
"154","ethical",154
"155","evil",155
"156","excellent",156
"157","exceptional",157
"158","excited",158
"159","exciting",159
"160","exhausted",160
"161","experienced",161
"162","expressive",162
"163","extraordinary",163
"164","fair",164
"165","faithful",165
"166","familiar",166
"167","famous",167
"168","fascinating",168
"169","fat",169
"170","feminine",170
"171","fine",171
"172","firm",172
"173","flexible",173
"174","foolish",174
"175","forgetful",175
"176","forgiving",176
"177","fortunate",177
"178","forward",178
"179","friendly",179
"180","frightening",180
"181","frustrated",181
"182","frustrating",182
"183","funny",183
"184","furious",184
"185","generous",185
"186","gentle",186
"187","genuine",187
"188","gifted",188
"189","giving",189
"190","glad",190
"191","glamorous",191
"192","good-natured",192
"193","good-humored",193
"194","good-for-nothing",194
"195","good-looking",195
"196","good",196
"197","gorgeous",197
"198","graceful",198
"199","gracious",199
"200","grateful",200
"201","great",201
"202","greedy",202
"203","grouchy",203
"204","grumpy",204
"205","handicapped",205
"206","handsome",206
"207","happy",207
"208","hard-working",208
"209","hard",209
"210","harmless",210
"211","healthy",211
"212","heartbroken",212
"213","helpful",213
"214","helpless",214
"215","hilarious",215
"216","homeless",216
"217","honest",217
"218","hopeful",218
"219","hostile",219
"220","hot-tempered",220
"221","humiliated",221
"222","humorous",222
"223","idealistic",223
"224","ignorant",224
"225","imaginative",225
"226","immature",226
"227","impatient",227
"228","impolite",228
"229","important",229
"230","impressive",230
"231","impulsive",231
"232","incompetent",232
"233","inconsiderate",233
"234","indecisive",234
"235","independent",235
"236","inexperienced",236
"237","influential",237
"238","informal",238
"239","innocent",239
"240","insane",240
"241","insecure",241
"242","insensitive",242
"243","insulting",243
"244","intellectual",244
"245","intelligent",245
"246","interested",246
"247","interesting",247
"248","intimidating",248
"249","involved",249
"250","irrational",250
"251","irresponsible",251
"252","irritable",252
"253","irritated",253
"254","irritating",254
"255","jealous",255
"256","joyful",256
"257","kind",257
"258","kind-hearted",258
"259","knowledgeable",259
"260","laid-back",260
"261","laughing",261
"262","lazy",262
"263","level-headed",263
"264","liberal",264
"265","likeable",265
"266","little",266
"267","lively",267
"268","logical",268
"269","lonely",269
"270","lonesome",270
"271","loud",271
"272","lovable",272
"273","lovely",273
"274","loving",274
"275","loyal",275
"276","lucky",276
"277","masculine",277
"278","materialistic",278
"279","mature",279
"280","mean",280
"281","messy",281
"282","middle-class",282
"283","middle-aged",283
"284","modest",284
"285","moody",285
"286","motherly",286
"287","muscular",287
"288","naive",288
"289","narrow-minded",289
"290","natural",290
"291","neat",291
"292","needy",292
"293","negative",293
"294","neglected",294
"295","neighborly",295
"296","nervous",296
"297","nice",297
"298","noisy",298
"299","normal",299
"300","nosy",300
"301","obnoxious",301
"302","observant",302
"303","obsessive",303
"304","offensive",304
"305","old-fashioned",305
"306","old",306
"307","open",307
"308","open-minded",308
"309","opinionated",309
"310","optimistic",310
"311","ordinary",311
"312","organized",312
"313","original",313
"314","outgoing",314
"315","outspoken",315
"316","outstanding",316
"317","overrated",317
"318","overworked",318
"319","passionate",319
"320","pathetic",320
"321","patient",321
"322","peaceful",322
"323","perceptive",323
"324","persistent",324
"325","persuasive",325
"326","phony",326
"327","plain",327
"328","playful",328
"329","pleasant",329
"330","pleased",330
"331","pleasing",331
"332","polite",332
"333","poor",333
"334","popular",334
"335","positive",335
"336","possessive",336
"337","powerful",337
"338","practical",338
"339","predictable",339
"340","prejudiced",340
"341","preoccupied",341
"342","presentable",342
"343","pretty",343
"344","private",344
"345","procrastinating",345
"346","productive",346
"347","professional",347
"348","prominent",348
"349","prompt",349
"350","proper",350
"351","prosperous",351
"352","protective",352
"353","proud",353
"354","punctual",354
"355","quiet",355
"356","radical",356
"357","realistic",357
"358","reasonable",358
"359","rebellious",359
"360","reckless",360
"361","relaxed",361
"362","reliable",362
"363","religious",363
"364","remarkable",364
"365","resourceful",365
"366","respectable",366
"367","respected",367
"368","respectful",368
"369","responsible",369
"370","retarded",370
"371","rich",371
"372","ridiculous",372
"373","romantic",373
"374","rough",374
"375","rowdy",375
"376","rude",376
"377","rushed",377
"378","sad",378
"379","sarcastic",379
"380","satisfied",380
"381","scared",381
