"active" "affable" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bold" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "considerate" "constant" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "passionate" "patient" "pleasant" "polished" "polite" "political" "practical" "precise" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "rigid" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "social" "spirited" "steady" "stern" "submissive" "tender" "thoughtful" "tight" "timid" "vague" "vain" "violent" "warm" "wild" "wise"
"cold" 1 2 1 1 2 3 1 3 4 2 5 11 4 4 0 0 3 1 3 5 3 0 0 1 3 2 1 2 2 0 1 3 2 0 2 0 3 3 2 1 0 0 2 3 8 0 3 2 2 4 5 3 2 0 0 5 0 1 0 1 0 0 3 2 4 8 1 2 2 2 2 0 4 3 1 3 1 0 1 3 1 1 0 0 4 0 0 1 2 4 1
"considerate" 0 0 1 3 1 2 0 0 3 0 0 2 2 1 0 0 1 1 1 3 0 0 1 0 0 0 0 0 3 1 1 2 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 2 0 1 3 1 2 1 0 1 1 1 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 1 1 1 0 1
"constant" 1 0 2 3 2 4 0 0 3 1 0 5 0 2 3 1 0 0 1 0 0 0 1 2 0 0 1 0 0 0 1 2 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 0 0 2 4 1 1 1 0 0 2 1 1 0 0 1 0 4 1 0 0 2 1 1 1 3 2 1 0 0 0 0 0 0 1 0 3 0 0 0 1 1 3
"cool" 0 0 1 0 0 0 1 0 1 0 0 3 1 2 1 1 0 0 3 0 0 1 0 0 1 0 1 0 1 1 1 2 3 1 0 1 0 1 0 0 1 1 0 0 2 1 0 0 3 0 3 0 1 0 0 1 1 2 0 0 1 2 0 2 2 0 0 0 1 0 1 1 1 2 2 0 1 0 0 1 0 4 1 0 0 0 0 1 0 0 0
"cruel" 0 0 2 1 2 3 0 1 2 1 0 4 0 1 3 1 1 3 0 1 1 0 1 1 1 2 2 3 2 1 0 1 2 2 1 1 4 2 0 1 1 2 0 0 5 0 1 0 0 1 5 1 2 1 3 0 0 1 0 1 0 0 2 3 5 3 3 0 2 1 0 2 0 5 1 1 1 0 1 1 1 4 0 1 3 1 0 1 1 3 1
"curious" 0 0 2 3 0 2 0 1 6 0 0 13 2 2 5 3 0 0 1 0 1 0 0 2 5 2 1 4 2 1 1 1 3 1 1 0 3 0 2 1 1 0 2 1 2 1 2 0 0 2 4 2 0 2 1 6 0 1 1 2 1 0 0 2 3 7 1 0 1 2 1 0 1 1 1 1 4 3 1 0 0 1 0 1 0 2 0 0 2 1 0
"deep" 1 0 1 1 0 0 0 1 6 1 0 3 3 2 3 0 0 0 1 1 0 0 1 3 3 0 2 1 2 2 1 1 5 0 0 0 2 1 0 3 1 0 1 1 1 0 1 1 0 4 3 2 3 1 0 3 1 0 0 2 0 0 3 3 3 11 0 0 1 3 1 1 1 3 1 0 2 1 3 2 1 2 0 1 2 2 0 2 3 3 1
"determined" 0 0 0 1 0 2 0 0 2 0 1 2 1 2 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0 0 2 0 1 0 0 0 1 0 1 0 0 2 1 0 0 1 0 1 2 1 0 3 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 0 0
"direct" 0 1 0 1 0 0 1 0 1 1 1 2 1 0 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 0 1 0 1 0 0 0 1 1 1 1 0 0 2 1 0 3 0 1 0 1 1 0 1 0 0 1 0 2 2 1 3 1 0 0 0 0 0 1 0 1 0 0 0 2 2 0 0 1 0 0 1 1 1 1 0 2
"distant" 2 0 0 2 2 4 1 1 4 2 0 8 0 0 1 0 2 0 1 2 3 0 1 0 3 0 2 0 0 4 3 4 2 0 5 1 1 0 1 1 2 0 0 2 2 0 0 1 0 2 3 1 4 0 0 1 0 2 1 0 0 1 0 2 0 6 0 0 1 3 0 0 0 4 2 0 2 1 1 1 0 0 0 0 1 0 0 1 2 6 0
"dull" 0 0 1 3 1 2 1 2 5 1 0 6 3 3 3 0 0 1 1 5 3 2 1 3 0 1 1 1 0 0 0 0 4 1 1 0 1 1 0 2 0 0 1 1 4 1 0 0 1 4 4 1 5 1 0 4 0 1 1 0 0 0 2 3 3 4 0 1 0 1 1 1 1 2 0 2 0 2 0 1 1 2 0 0 0 0 1 3 1 2 1
"earnest" 1 0 0 3 0 2 1 0 1 1 3 2 0 2 2 0 0 0 2 2 0 0 1 0 1 0 0 2 0 0 0 1 0 2 1 1 1 0 0 0 1 0 1 0 2 0 1 1 1 1 5 1 2 1 2 2 0 1 0 0 1 0 0 2 3 3 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 2 1 1 2 1 0 1 1 0 1
"expressive" 1 2 0 4 1 5 1 0 2 1 3 8 0 3 1 0 1 1 2 1 2 0 1 2 1 0 0 2 2 4 1 1 1 2 0 0 1 0 1 1 2 2 0 1 5 0 1 0 1 0 0 0 2 1 1 4 0 1 0 0 0 0 3 3 0 6 0 2 0 1 1 0 1 4 0 0 1 0 1 1 2 0 0 0 0 1 0 1 1 1 1
"faithful" 0 0 1 2 0 3 0 1 3 2 2 5 0 3 2 0 0 0 3 4 1 1 0 0 1 2 2 0 2 1 0 1 0 3 2 0 3 1 2 0 0 0 0 1 2 1 0 2 0 0 5 2 2 0 3 1 0 0 0 0 0 0 2 3 1 4 1 0 1 0 0 0 0 3 1 3 3 0 1 1 1 1 1 0 2 0 0 2 0 0 1
"friendly" 0 1 3 6 1 1 0 0 5 1 1 7 1 1 2 3 0 1 2 2 2 0 1 0 0 0 2 2 0 1 0 1 1 1 1 1 3 1 0 0 1 1 1 1 2 2 1 2 3 0 2 0 1 0 1 2 0 1 1 2 3 1 3 3 8 4 0 0 2 1 1 2 0 4 0 4 3 0 3 2 1 1 2 2 1 1 1 2 0 1 2
"generous" 0 2 2 2 2 2 1 0 2 0 0 5 1 0 0 1 0 1 1 1 2 1 1 4 0 0 4 1 1 0 2 3 1 0 3 1 2 0 0 0 1 1 0 1 3 1 0 0 0 2 2 1 1 0 0 2 1 0 0 0 0 2 1 3 2 6 0 1 0 3 3 1 0 1 2 1 0 1 1 1 1 1 0 1 1 0 1 0 2 1 2
