"active" "affectionate" "agreeable" "amiable" "anxious" "bitter" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "cruel" "curious" "deep" "distant" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fierce" "friendly" "generous" "gentle" "gloomy" "gracious" "hasty" "haughty" "hearty" "honest" "humane" "humble" "impatient" "ingenious" "intense" "irrepressible" "kind" "lively" "loud" "malicious" "merry" "narrow" "natural" "nervous" "noisy" "particular" "peaceful" "pleasant" "precise" "profound" "proper" "proud" "quick" "quiet" "respectful" "rigid" "rough" "serious" "silent" "simple" "slow" "smart" "solemn" "strict" "surly" "thoughtful" "vigorous" "violent" "warm" "wild" "wise"
"active" 0 0 1 0 3 0 0 0 0 1 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 2 0 1 0 0 0 0 1 1 0 0 1 1 2 0 1 1 0 0 2 0 0 0 0 1 0
"affectionate" 0 0 0 1 2 0 1 1 0 1 1 1 2 0 0 2 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 0 2 0 0 0 0 2 1 0 0 2 0 0 0 0 0 1 0 0
"agreeable" 1 0 0 0 0 0 1 0 1 1 1 2 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 2 1 1 0 3 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 2 0 0 2 0 0 0
"amiable" 0 1 0 0 0 0 0 0 0 0 0 2 2 0 1 1 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 3 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 2 0
"anxious" 3 2 0 0 0 0 1 3 3 7 1 1 7 1 1 5 2 1 2 3 1 0 2 2 0 1 1 4 3 0 2 1 2 0 0 1 2 0 2 0 5 0 1 0 0 5 1 1 0 2 0 2 2 2 1 1 4 7 2 1 2 1 5 1 1 1 2 1 0 1 0 1 4 2 1
"bitter" 0 0 0 0 0 0 1 0 0 0 1 0 3 1 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 1 0 0 0 0 1 1 0 0 1 0 2 0 0 1 1 0 0 0 0 2 1 1 0
"bright" 0 1 1 0 1 1 0 1 0 5 2 2 7 2 1 3 1 1 2 2 0 1 1 1 1 0 1 1 1 1 1 1 0 2 1 0 1 0 0 0 2 0 3 1 0 1 1 1 0 2 1 1 0 0 1 1 2 4 1 0 1 0 3 0 0 0 2 0 1 1 1 3 0 1 0
"calm" 0 1 0 0 3 0 1 0 0 2 2 0 4 1 0 6 0 2 1 1 0 1 0 2 0 1 0 3 1 0 0 1 0 1 1 0 0 0 0 0 2 1 1 0 1 1 0 1 0 0 2 1 1 0 0 1 1 3 0 2 1 0 2 2 0 0 3 0 0 0 0 0 2 1 0
"careful" 0 0 1 0 3 0 0 0 0 1 1 3 3 0 1 2 2 1 0 3 0 0 1 1 0 0 0 2 0 0 0 0 0 2 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 3 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0 1 3 1 1
"certain" 1 1 1 0 7 0 5 2 1 0 2 2 12 2 1 6 1 2 1 1 0 0 1 0 2 0 1 3 3 1 3 0 0 2 1 0 1 1 0 0 3 1 3 1 0 2 1 1 0 4 0 2 1 4 4 1 1 8 0 1 2 0 3 2 0 1 1 1 2 0 2 4 2 0 2
"cheerful" 0 1 1 0 1 1 2 2 1 2 0 1 3 1 2 7 0 1 0 3 0 0 0 1 0 0 0 2 1 0 0 0 0 3 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 1 2 0 0 1 0 1 1 1 0 3 1 4 1 1 0 2 0 0 0 2 1 1 0 0
"clever" 1 1 2 2 1 0 2 0 3 2 1 0 2 0 2 1 0 1 0 2 0 0 0 0 1 0 0 1 0 1 1 1 1 1 0 0 2 0 0 0 1 1 2 1 0 0 2 0 0 2 0 1 0 0 0 0 1 2 1 0 1 1 1 0 1 2 2 0 2 0 0 2 1 0 1
"cold" 2 2 1 2 7 3 7 4 3 12 3 2 0 3 0 8 3 5 4 4 2 1 1 3 2 0 2 8 6 1 2 0 2 0 2 2 2 1 2 0 5 1 10 1 1 4 1 0 2 7 1 1 2 5 5 1 4 8 3 2 3 2 7 0 4 2 0 1 0 1 2 6 6 3 1
"cruel" 0 0 0 0 1 1 2 1 0 2 1 0 3 0 0 3 1 1 0 2 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 2 0
"curious" 1 0 1 1 1 0 1 0 1 1 2 2 0 0 0 4 0 0 0 1 1 1 0 0 1 0 0 1 0 0 2 1 2 2 0 0 1 2 0 1 0 2 0 1 2 0 1 0 0 1 0 1 0 0 1 0 1 2 0 0 2 1 1 0 1 0 0 0 0 1 0 3 0 0 1
"deep" 0 2 1 1 5 0 3 6 2 6 7 1 8 3 4 0 3 2 0 5 2 3 2 3 0 2 2 9 4 2 1 0 1 5 2 2 3 0 1 1 3 2 5 0 4 5 2 1 1 1 2 4 2 2 3 4 6 4 1 3 5 3 10 5 2 0 4 2 1 0 2 1 5 3 1
"distant" 1 0 1 0 2 1 1 0 2 1 0 0 3 1 0 3 0 1 1 1 0 0 1 0 0 0 1 3 1 1 0 0 0 1 0 1 0 0 1 1 2 0 2 0 1 1 0 1 3 1 1 1 0 2 0 1 1 1 0 0 0 0 4 1 1 0 1 1 0 0 0 4 2 0 0
"dull" 0 1 1 0 1 0 1 2 1 2 1 1 5 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 2 0 0 1 3 0 2 1 0 0 0 0 0 1 0 0 0 0 2 1 1 0
"eager" 0 1 0 2 2 0 2 1 0 1 0 0 4 0 0 0 1 1 0 0 0 1 0 1 1 0 0 3 0 0 0 0 1 0 0 1 2 1 1 0 3 0 2 0 0 0 0 0 0 1 0 1 1 0 1 0 1 2 0 1 0 0 2 0 2 1 2 0 0 1 0 4 2 1 0
"earnest" 0 1 1 1 3 0 2 1 3 1 3 2 4 2 1 5 1 1 0 0 0 0 0 2 0 1 0 3 1 1 0 0 0 2 0 2 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 2 0 1 0 1 1 1 0 0 2 1 4 1 0 0 0 1 1 0 1 2 1 4 0
"exact" 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 1 0 0 0 2 1 0 2 0 0 1 0 0 0 0 1 0 1
"expressive" 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 3 0 0 1 0 0 0 0 1 1 0 0 0 3 0 0 0 1 0 0 0 1 1 1 0 0 1 3 0 2 2 0 0 0 1 0 0 1 1 0 0 0 3 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 0
"faithful" 0 0 0 0 2 0 1 0 1 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0
"fearful" 0 0 0 0 2 1 1 2 1 0 1 0 3 2 0 3 0 0 1 2 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 4 0 0 0 1 0 0 0 0 0 0 2 0
"fierce" 0 0 0 0 0 2 1 0 0 2 0 1 2 1 1 0 0 0 1 0 0 1 0 1 0 0 0 2 1 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 2 0 0 0 0 2 0 0 1 0 0 0 1 0 2 0 2 0
"friendly" 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1
"generous" 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 2 1 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0
"gentle" 1 1 1 1 4 1 1 3 2 3 2 1 8 0 1 9 3 0 3 3 1 0 2 2 2 0 2 0 1 1 0 2 2 1 1 2 2 0 0 1 8 3 1 0 0 1 2 1 1 3 1 6 1 1 1 4 3 5 2 0 1 1 4 2 3 1 4 1 0 3 0 3 7 2 1
"gloomy" 0 0 1 0 3 0 1 1 0 3 1 0 6 0 0 4 1 2 0 1 0 3 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 2 0 1 2 4 0 0 3 0 0 0 1 0 2 0 3 2 0 3 3 1 0 1 0 1 0 0 0 0 0 1 1 2 2 1 3 0
"gracious" 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 2 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 3 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0
"hasty" 1 0 0 0 2 0 1 0 0 3 0 1 2 0 2 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 5 0 0 0 0 1 0 0 4 1 0 1 0 1 0 2 1 0 0 0 0 0 0 0 1 2
