"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "capable" "careful" "cautious" "ceremonious" "certain" "cheerful" "civil" "clever" "cold" "consistent" "constant" "cruel" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "exact" "excessive" "fearful" "foolish" "formal" "friendly" "generous" "gentle" "gracious" "humble" "ignorant" "impatient" "impertinent" "imprudent" "indifferent" "intelligent" "intimate" "kind" "lively" "natural" "nervous" "original" "particular" "pleasant" "polite" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "rude" "selfish" "serious" "severe" "silent" "sincere" "solemn" "steady" "unaffected" "uncivil" "unguarded" "unreasonable" "vain" "violent" "warm" "wild"
"deep" 0 0 0 4 0 0 0 0 1 0 0 2 0 1 0 2 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 2
"determined" 0 1 1 3 1 3 1 1 0 0 0 5 1 1 0 1 0 2 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 1 0 1 2 1 1 1 1 0 1 2 1 0 1 0 3 0 0 0 1 0 2 1 0 3 0 1 0 1 0 0 0 0 0 0 2 3 1 2 1 1
"distant" 0 0 0 2 1 0 0 1 0 0 0 3 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 2 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0
"dull" 0 0 1 0 1 1 0 1 0 0 1 2 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1
"eager" 0 1 1 3 3 3 0 4 1 0 1 5 0 2 0 2 0 1 0 0 2 0 1 0 1 0 2 0 2 0 0 1 0 1 1 2 0 1 0 0 1 0 3 4 2 2 0 0 3 0 0 2 1 0 2 0 1 1 0 1 2 1 2 2 0 0 1 0 0 2 0 0 0 0
"earnest" 1 1 3 2 6 3 2 0 1 0 0 3 0 0 0 1 2 0 0 0 1 0 0 1 0 1 0 2 0 1 0 0 1 2 0 0 1 1 1 0 1 1 1 4 3 0 1 1 0 0 1 2 3 0 1 3 1 1 2 1 0 0 2 2 0 0 0 1 1 0 3 2 0 1
"elegant" 1 0 1 6 4 1 1 0 0 0 0 3 0 1 0 3 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 2 2 1 3 1 1 2 1 2 1 0 0 3 1 0 3 0 0 0 0 0 0 0 1 0 1
"exact" 0 0 0 2 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1
"excessive" 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 2 0 0 2
"fearful" 0 0 1 2 2 1 0 1 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 2 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 1 1 1 0 1 0 0 0 0
"foolish" 0 0 0 2 3 2 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 2 0 0 1 0 0 0 1 1 0 0 0 1 2 1 0 0 1 1 0 0 0 4 1 0 0 0 2 1 0 0 0 1 0
"formal" 0 1 0 0 3 1 3 0 0 1 1 2 2 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 2 1 2 0 0 0 3 0 0 0 1 0 0 1 0 0 0 1 0 2 1 0 0 0 1 0 0 0 0 1 1
"friendly" 0 0 1 6 2 1 1 0 0 0 0 2 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 1 1 1 0 0 2 0 0 0 0 0 1 0 1 2 0 1 1 0 0 1 1 0 1 2 1 2 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 1 0
"generous" 0 0 2 0 3 3 0 2 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 1 0 1 2 1 0 1 0 0 0 1 0 0 0 1 2 1 0 0 2 1 0 1 0 2 1 0 0 0 0 0 0 0 1 1 1 1
"gentle" 0 0 0 3 2 2 0 0 0 0 0 2 0 0 0 0 1 1 0 1 1 0 0 1 2 0 1 1 1 1 0 2 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 1 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 2 0 1 0 1 1
"gracious" 0 0 1 0 0 2 0 0 0 0 1 3 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 2 0 2 0 1 2 0 0 0 0 0 0 0 1
"humble" 0 0 0 2 1 0 0 1 0 0 0 2 1 1 0 1 0 1 0 0 1 1 1 2 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0
"ignorant" 0 0 4 0 2 2 0 1 1 0 0 1 1 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 1 0 1 2 2 1 2 0 3 0 0 2 1 0 1 0 1 4 0 0 2 0 2 3 0 1 0 0 2 2 2 2 1 2
"impatient" 0 0 1 2 1 2 0 1 1 1 0 2 1 1 1 1 1 1 2 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 2 0 1 0 2 0 0 0 1 1 0 1 0 0 1 0 0 0 1 3 0 0 2 1 1 0 1 2 3 0 2
"impertinent" 0 0 0 2 1 1 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0
"imprudent" 0 0 3 2 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 2 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 2 0 0 2 0 0 1 0 0 0 0 1 1 1 0 0 1
"indifferent" 1 0 1 4 5 3 0 2 1 0 1 2 1 2 2 3 0 0 0 0 1 0 1 1 1 1 0 0 0 2 1 0 2 1 1 2 1 1 1 1 0 0 0 2 0 4 0 0 3 0 0 1 1 1 0 0 0 0 1 0 1 0 5 1 1 3 0 3 2 1 2 2 0 0
"intelligent" 1 0 0 2 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1
