"abrupt" "accurate" "affectionate" "agreeable" "amiable" "anxious" "appreciative" "awkward" "beneficent" "benevolent" "bitter" "brave" "bright" "brisk" "capricious" "careless" "certain" "cheerful" "childish" "cold" "complicated" "confident" "confused" "conscientious" "constant" "contemplative" "contented" "conversational" "cool" "cordial" "courageous" "cruel" "curious" "deep" "despondent" "distant" "dull" "earnest" "earthy" "exact" "expressive" "faithful" "feminine" "fierce" "fiery" "firm" "foolish" "frank" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "honest" "humorous" "ignorant" "impatient" "incorruptible" "just" "kind" "live" "lively" "mild" "moderate" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pleasant" "polite" "precise" "proud" "quick" "quiet" "reasonable" "reflective" "respectful" "responsible" "restless" "rough" "serene" "serious" "shy" "silent" "slow" "smart" "social" "solemn" "steady" "stern" "studious" "sympathetic" "tender" "tight" "transparent" "ungenerous" "unreasonable" "violent" "warm" "wild" "thoughtful" "wise" "submissive" "vivacious"
"abrupt" 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"accurate" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"affectionate" 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 2 0 2 1 0 0 0 1 0 0 0 0 1 1 1 0 2 0 0 0 0 3 0 1 2 1 0 1 1 1 1 0 2 2 0 2 0 2 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 2 2 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0
"agreeable" 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 2 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1
"amiable" 0 1 0 1 0 0 0 0 0 0 0 0 3 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0
"anxious" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"appreciative" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"awkward" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"beneficent" 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"benevolent" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
