"affectionate" "agreeable" "amiable" "anxious" "bitter" "bright" "capable" "careful" "certain" "cheerful" "clumsy" "coarse" "cold" "confused" "consistent" "constant" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "eager" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "friendly" "generous" "gentle" "gloomy" "gracious" "honest" "humble" "ignorant" "impatient" "indifferent" "jealous" "kind" "lavish" "lively" "loud" "moral" "natural" "nervous" "particular" "pleasant" "polite" "profound" "proud" "quick" "quiet" "responsible" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "strict" "suspicious" "thoughtful" "unreasonable" "vain" "violent" "wild" "warm" "tender"
"affectionate" 0 0 0 0 0 1 0 0 2 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 2 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0
"agreeable" 0 0 0 2 1 4 0 1 4 1 0 1 3 1 0 1 0 1 0 1 1 0 2 0 2 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 3 2 0 1 0 1 3 1 1 3 1 2 1 0 0 2 1 2 0 0 0 2 2 2 0 0 0 0 1 1 1
"amiable" 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0
"anxious" 0 2 0 0 0 4 1 0 3 2 1 0 5 0 0 1 0 2 2 1 0 2 2 0 0 0 0 1 1 0 0 0 1 2 0 1 0 0 1 3 1 0 1 1 0 0 3 1 1 4 0 0 1 0 7 0 1 0 1 0 1 0 0 1 2 0 0 0 0 0 1 0 1 0
"bitter" 0 1 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 2 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0
"bright" 1 4 0 4 0 0 1 0 5 2 0 4 6 2 0 2 1 2 1 3 1 2 4 0 1 2 1 1 1 1 0 1 1 5 0 3 1 1 0 2 1 0 1 1 1 0 2 1 4 2 1 2 5 1 8 0 1 0 3 2 4 0 1 0 3 2 1 2 1 1 2 3 3 1
"capable" 0 0 0 1 0 1 0 1 2 1 1 0 1 0 0 0 0 1 1 2 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0
"careful" 0 1 0 0 0 0 1 0 2 1 0 0 0 1 0 0 1 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 2 1 1 0 0 1 2 1 1 0 0 0 0 0
"certain" 2 4 2 3 2 5 2 2 0 6 2 4 8 2 2 1 2 3 3 5 2 3 4 1 1 1 2 2 0 1 3 1 3 3 1 7 0 4 2 2 0 0 1 2 2 1 3 3 7 6 3 3 5 2 6 1 1 1 6 2 5 0 1 2 3 1 4 0 1 0 2 1 1 1
"cheerful" 1 1 1 2 0 2 1 1 6 0 0 2 0 1 0 0 0 1 2 0 0 0 3 0 0 0 0 0 0 0 0 1 2 2 0 1 1 1 0 0 0 0 0 0 0 1 2 2 2 3 1 0 0 1 3 1 0 0 1 0 2 0 0 1 1 0 0 0 0 0 1 0 2 0
