"active" "affected" "affectionate" "agreeable" "ambitious" "amiable" "anxious" "awkward" "benevolent" "calm" "capable" "careless" "certain" "cheerful" "civil" "clever" "cold" "consistent" "constant" "cool" "courteous" "deep" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "elegant" "excessive" "fearful" "foolish" "friendly" "generous" "gentle" "hasty" "honest" "humble" "ignorant" "impatient" "independent" "indifferent" "indulgent" "intimate" "jealous" "judicious" "kind" "lively" "loud" "maternal" "mild" "modest" "moral" "natural" "noisy" "particular" "playful" "pleasant" "proper" "proud" "quick" "quiet" "rational" "reasonable" "rough" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "sincere" "slow" "solemn" "steady" "strict" "tender" "thorough" "thoughtful" "timid" "unkind" "unreasonable" "vain" "warm" "worldly" "wild"
"active" 0 0 0 3 0 1 3 0 0 0 1 0 2 2 2 1 0 1 2 0 1 0 1 0 0 1 0 2 0 0 1 0 0 2 0 1 0 0 2 0 3 0 1 0 1 0 0 2 1 0 0 0 2 2 3 0 1 0 2 4 0 0 4 0 0 1 0 1 0 1 0 1 1 0 0 3 0 1 0 0 1 1 1 0 0 2 0
"affected" 0 0 1 0 0 1 1 1 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0
"affectionate" 0 1 0 3 0 0 4 0 1 1 0 0 1 1 0 1 1 1 1 1 0 0 4 0 0 1 1 1 0 1 0 2 0 0 0 0 2 0 1 1 1 1 0 1 0 0 0 3 1 0 1 0 3 0 3 0 1 0 1 4 1 2 1 1 1 0 2 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 1 1 4 0 0
"agreeable" 3 0 3 0 0 2 5 2 0 3 5 2 7 4 2 6 2 0 2 0 3 2 3 1 0 2 0 3 2 8 1 1 2 3 1 5 3 2 1 0 1 3 3 1 3 0 0 8 6 2 1 2 4 0 12 1 6 2 15 5 2 5 7 1 3 1 3 2 5 1 3 3 2 0 0 2 0 3 0 1 0 0 2 2 6 2 1
"ambitious" 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0
"amiable" 1 1 0 2 0 0 3 0 0 0 2 1 4 1 0 2 3 2 1 0 0 1 1 2 1 2 1 2 0 1 0 0 0 0 1 3 0 0 0 1 0 0 1 0 1 0 1 3 3 2 0 0 1 2 3 2 1 1 2 2 1 1 2 0 2 1 1 2 1 0 1 2 1 0 1 2 0 0 1 1 0 1 1 0 2 0 1
"anxious" 3 1 4 5 2 3 0 0 1 1 1 3 4 3 2 1 2 4 1 1 1 0 4 1 0 0 3 3 3 2 1 1 0 3 1 3 1 2 1 3 4 2 2 2 1 0 0 4 3 2 2 1 2 1 6 0 2 1 3 7 2 4 3 2 0 1 1 1 5 1 3 1 1 3 2 4 1 1 0 0 1 3 1 2 4 2 1
"awkward" 0 1 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 2 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0
"benevolent" 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 1 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 2 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0
"calm" 0 0 1 3 0 0 1 1 0 0 1 0 2 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 1 1 0 0 1 2 0 3 1 1 0 2 2 0 1 0 0 0 0 0 0 3 0 3 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"capable" 1 0 0 5 1 2 1 2 2 1 0 1 3 1 0 0 4 2 2 0 0 1 4 1 1 0 0 3 1 2 0 1 1 2 2 3 1 1 0 0 0 3 0 0 1 2 2 2 2 0 2 2 4 1 5 0 2 1 3 5 0 3 2 0 3 2 0 1 4 1 1 1 0 1 0 3 1 2 1 2 0 2 1 2 5 0 0
"careless" 0 0 0 2 0 1 3 0 0 0 1 0 0 1 0 1 2 1 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 2 2 0 0 1 1 0 1 0 1 2 1 0 0 3 0 0 0 0 0 0 3 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0
"certain" 2 2 1 7 0 4 4 0 0 2 3 0 0 2 0 1 5 1 3 0 0 0 1 2 0 1 0 1 0 2 0 0 1 0 0 2 1 1 1 0 0 1 2 0 4 0 0 2 2 0 0 1 2 0 7 0 4 1 4 4 1 3 6 0 2 2 2 2 3 0 2 2 0 0 2 2 0 3 2 2 0 1 1 0 0 1 2
"cheerful" 2 0 1 4 0 1 3 0 0 0 1 1 2 0 1 1 2 0 1 0 0 0 2 1 0 1 0 1 1 1 1 0 0 0 0 1 2 1 1 0 3 1 0 0 0 0 0 1 2 1 1 2 1 1 4 1 1 0 4 2 0 1 3 0 2 1 0 0 0 0 1 0 0 0 0 3 0 1 0 1 1 0 0 0 1 1 0
"civil" 2 0 0 2 0 0 2 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 4 1 0 0 0 0 0 4 1 0 0 0 1 0 3 0 1 0 3 3 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 2 0 1
"clever" 1 1 1 6 0 2 1 0 1 1 0 1 1 1 0 0 0 1 2 0 0 0 0 0 0 1 1 1 0 2 0 0 1 0 0 3 1 1 0 1 0 0 1 1 1 0 1 3 1 3 0 0 2 0 2 1 2 0 4 4 0 3 0 0 1 0 0 2 5 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1
"cold" 0 0 1 2 1 3 2 0 0 0 4 2 5 2 1 0 0 1 0 1 0 2 3 1 0 0 1 1 1 2 1 0 0 0 1 1 2 1 0 1 0 2 0 0 1 1 1 4 4 0 0 2 0 0 5 0 1 2 5 2 1 2 2 0 2 1 0 2 1 1 2 2 1 0 3 1 0 2 1 2 0 0 0 2 2 0 2
"consistent" 1 0 1 0 1 2 4 0 2 0 2 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 3 1 0 0 1 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 2 0 0 0 1 0 1 1 1 0 0 0 0 2 0 0 1 0 0
