"affected" "affectionate" "agreeable" "amiable" "anxious" "bold" "boyish" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "clever" "cold" "compassionate" "confident" "confused" "considerate" "constant" "cordial" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "expressive" "faithful" "fierce" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "indifferent" "inexperienced" "ingenious" "jealous" "kind" "lazy" "lively" "loving" "merry" "mild" "modest" "narrow" "natural" "nervous" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "profound" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "rough" "selfish" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "solemn" "steady" "stern" "stormy" "tender" "thoughtful" "timid" "vague" "vain" "violent" "warm" "wild" "wise" "worldly"
"certain" 1 6 8 0 9 5 2 0 6 4 3 3 0 5 3 1 5 1 1 1 1 4 2 2 6 9 1 7 1 2 6 1 5 3 2 9 1 6 7 2 1 0 5 2 3 1 4 2 2 1 11 0 5 2 0 6 2 4 11 4 2 2 8 0 5 1 5 0 2 4 7 5 14 1 4 1 3 3 1 5 4 1 6 6 5 3 3 1 1 3 6 2 4 4 1 6 9 5 1
"cheerful" 0 3 4 2 2 2 2 1 8 2 3 1 5 0 3 3 5 1 1 0 0 1 2 3 0 1 1 3 5 0 4 0 1 0 2 2 0 1 3 1 2 1 2 0 0 2 1 0 0 1 6 0 2 1 3 1 2 0 7 1 3 2 3 1 1 0 4 0 1 0 2 1 11 5 0 0 1 1 3 3 0 1 6 5 1 2 2 0 0 0 2 0 0 4 1 2 2 1 1
"childish" 0 2 4 1 4 0 1 0 11 1 0 2 3 3 0 1 1 0 0 1 1 1 2 3 1 2 1 2 2 1 2 1 1 1 2 1 1 0 1 1 1 0 1 0 0 0 1 1 1 1 4 1 1 0 1 0 1 1 1 1 0 1 3 1 0 1 2 0 2 0 4 1 5 0 0 2 3 0 1 3 1 0 3 1 2 2 2 0 2 2 0 3 1 1 2 2 4 0 0
"clever" 1 2 0 0 0 2 1 1 4 0 0 0 1 3 1 0 2 1 0 0 0 1 1 1 1 0 0 0 2 0 4 0 2 0 2 0 2 0 3 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 2 0 4 0 0 1 4 0 0 0 3 0 0 0 2 1 4 1 0 1 2 0 1 1 0 1 4 2 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0
"cold" 1 1 5 1 6 1 1 2 5 2 0 1 5 5 1 2 0 0 1 3 0 0 1 3 1 3 1 5 2 0 2 1 0 1 2 3 0 0 6 0 0 3 2 3 3 1 1 0 0 0 5 2 2 3 0 1 1 2 5 0 0 1 3 0 1 0 7 1 1 1 3 0 7 2 0 1 4 1 4 1 1 2 5 0 1 2 0 2 1 2 1 4 2 1 1 3 3 1 1
"compassionate" 0 1 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 4 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"confident" 0 1 1 0 0 1 0 0 2 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 1 2 1 0 2 0 0 0 0 1 0 0 1 0 2 1 1 0 0 3 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 2 0 0 1 2 1 0 1 1 1 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"confused" 0 1 1 0 1 0 0 1 4 0 0 1 1 0 1 0 3 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 3 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 1 2 0 0 0 0 0 0 0 4 0 0 1 0 1 0 1 1 0 1 0 1 2 0 1 1 1 0 0 0 0 1 0 1 0 1 1 0 1 2 0 1
"considerate" 0 1 0 0 0 0 0 0 3 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 1 0 0 2 0 1 0 0 0 3 0 0 0 0 0 2 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0
"constant" 1 0 0 0 1 2 0 0 1 0 0 1 4 1 1 1 0 0 0 0 1 0 0 1 3 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0 1 0 1 1 2 0 1 0 1 0 2 2 0 0 0 0 1 1 0 1 3 0 1 0 1 0 1 0 1 1 2 0 0 1 3 0 0 1 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0
