"affected" "affectionate" "agreeable" "amiable" "anxious" "bold" "boyish" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "clever" "cold" "compassionate" "confident" "confused" "considerate" "constant" "cordial" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "expressive" "faithful" "fierce" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "indifferent" "inexperienced" "ingenious" "jealous" "kind" "lazy" "lively" "loving" "merry" "mild" "modest" "narrow" "natural" "nervous" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "profound" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "rough" "selfish" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "solemn" "steady" "stern" "stormy" "tender" "thoughtful" "timid" "vague" "vain" "violent" "warm" "wild" "wise" "worldly"
"modest" 1 1 0 0 2 3 0 0 4 3 1 1 2 2 1 2 1 0 1 0 3 0 1 0 0 0 0 0 1 1 4 0 2 0 1 1 0 0 3 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 2 0 1 0 2 0 0 2 3 1 1 0 0 3 3 1 0 0 0 0 1 3 0 0 4 0 0 0 1 0 0 1 2 1 0 0 1 0 1 0 0
"narrow" 0 0 2 1 0 0 0 0 2 1 0 0 4 0 1 0 2 0 0 1 0 0 1 0 1 2 1 0 3 2 0 0 0 2 0 1 0 2 0 2 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 2 0 0 1 1 0 0 2 0 0 0 1 0 2 2 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 2 1 0 1
"natural" 1 4 13 4 4 3 3 0 14 4 3 0 11 7 1 4 5 1 0 2 0 1 3 4 0 4 1 5 6 0 5 1 3 1 3 5 2 0 7 2 4 1 3 2 1 1 2 2 0 3 7 2 2 1 2 5 2 2 0 4 3 4 11 2 1 3 7 0 1 2 4 6 11 3 3 0 3 0 1 5 1 0 8 8 5 1 2 2 1 2 6 3 1 1 1 4 2 4 3
"nervous" 0 0 2 1 0 1 0 0 3 0 1 0 4 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 5 0 2 0 0 0 0 0 4 0 0 1 1 0 1 2 3 0 3 1 0 1 3 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0 0 2 1 3 2 0
"orderly" 0 0 0 0 0 1 0 0 3 2 1 1 2 3 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 1 0 1 0 2 0 0 0 0 2 0 5 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 1 0 0 0 0 2 1 0 1 0 0
"original" 0 2 0 2 0 1 0 0 2 1 0 1 2 2 1 1 1 0 0 0 0 1 0 1 0 2 1 2 1 0 0 0 1 0 1 1 0 1 2 0 0 0 1 1 0 0 1 0 0 1 3 0 1 0 1 0 0 1 4 1 1 0 1 0 1 1 0 0 1 0 0 0 4 0 1 1 0 0 0 0 0 0 2 1 0 0 0 0 1 0 1 1 0 1 0 2 0 1 0
"particular" 2 3 5 2 4 1 1 0 9 2 1 1 8 3 3 4 3 1 2 0 2 3 2 2 0 2 1 5 3 1 3 2 0 2 1 5 2 1 4 3 0 2 3 0 1 2 2 2 1 1 5 1 2 1 0 1 2 1 11 1 0 1 0 1 2 0 7 0 3 1 8 2 11 1 0 1 2 2 2 4 0 1 2 2 2 1 2 0 0 2 2 2 1 2 0 1 3 3 3
"passionate" 1 0 1 0 1 0 0 0 4 2 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 1 2 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 2 0 1 0 1 1 2 1 1 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0
"patient" 0 1 1 1 2 0 0 0 2 3 0 0 5 1 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 2 0 1 1 1 0 0 0 0 1 0 0 0 1 0 1 3 0 0 1 0 0 0 0 1 1 0 1 2 0 0 0 0 0 1 1 2 0 3 0 0 0 2 1 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 1 3 2
"placid" 0 1 2 2 0 1 0 1 3 2 2 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 1 3 2 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 2 2 3 2 2 1 0 1 0 0 2 0 0 0 1 1 4 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 2 0 0 1 0 1 0 0
"pleasant" 1 2 7 2 5 3 2 2 10 2 0 2 5 4 2 3 7 0 2 4 1 1 2 7 4 8 1 4 7 1 5 0 1 1 2 7 1 2 5 1 3 2 5 1 1 2 1 2 1 2 6 2 2 1 4 1 3 0 7 3 0 0 7 2 0 2 0 2 1 0 3 5 12 1 2 3 4 4 3 4 0 1 8 4 2 2 0 1 1 2 1 4 0 3 1 0 6 1 3
"polite" 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 2 1 0 0 0 0 2 0 0 0 0 0 4 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0
"practical" 0 1 3 1 2 2 0 1 5 0 0 0 2 1 2 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 2 0 0 1 2 0 0 1 1 0 0 0 0 1 0 0 2 1 1 0 1 1 0 1 0 0 1 0 1 3 0 1 3 1 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 4 0 0 0 0 0 0 2 0 2 1 1 1 0 0 1 1 2 1 1
"profound" 0 3 2 1 1 0 0 2 4 0 0 1 4 0 0 0 1 0 1 1 0 0 0 0 0 4 0 0 0 0 2 1 1 0 1 2 0 2 1 0 1 0 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 1 2 1 0 0 1 0 1 0 0 1 1 0 2 1 1 0 1 1 1 1 0 1 1 0 3 2 0 1 0 0 1 1 1 0 1 0 0 0 1 2 0
"proud" 0 1 2 1 1 0 1 1 9 5 2 0 7 2 4 2 3 1 1 0 0 1 1 2 2 3 0 4 3 1 4 0 1 0 2 3 3 2 3 1 0 4 2 2 2 3 0 2 0 1 2 2 0 1 0 2 0 0 4 0 2 0 8 1 2 1 3 2 1 2 0 1 9 0 0 2 4 3 0 0 1 1 2 3 3 2 2 1 1 0 0 1 0 3 1 1 3 2 2
"quick" 0 1 2 0 2 3 1 0 5 1 0 0 5 1 1 1 0 1 1 1 1 1 3 1 2 3 2 2 2 2 3 1 1 2 1 4 0 3 6 0 2 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 3 2 6 1 0 0 2 1 0 1 5 1 1 1 1 0 4 0 2 0 0 0 0 3 0 1 2 2 1 0 1 1 0 0 4 0 0 0 0 0 1 0 0
"quiet" 4 9 7 4 4 10 4 0 15 8 2 3 14 11 5 4 7 1 2 0 1 2 3 7 3 5 2 9 6 0 6 0 4 2 7 4 2 2 11 4 1 0 3 1 1 2 5 4 0 1 8 1 3 2 3 2 3 2 11 3 5 4 11 2 3 4 12 0 1 1 9 4 0 3 1 3 5 4 1 5 2 1 11 4 3 2 2 3 4 2 5 6 2 8 1 2 8 3 2
"reproachful" 1 2 2 1 1 0 1 0 1 1 1 0 1 5 0 1 2 2 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 1 0 3 0 0 0 1 1 0 0 1 0 0 0 0 0 3 0 0 2 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0
"respectful" 0 0 1 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 1 0 0 0 3 1 3 0 1 0 0 1 0 1 1 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 3 1 0 1 0 1 0 0 2 0 1 1 0 2 1 0 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0
"restless" 0 3 2 0 1 1 0 0 3 1 0 0 1 0 2 1 1 1 1 0 0 1 0 2 1 3 0 1 0 0 1 0 2 0 1 0 1 0 2 0 1 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 3 0 0 1 2 0 3 2 0 0 2 2 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 1 1 0 1 0 1
"rough" 0 2 0 0 1 5 0 1 6 2 0 0 3 1 3 2 4 0 0 1 0 3 0 0 3 2 0 1 1 1 3 3 1 0 3 3 2 0 4 1 0 3 3 0 2 0 1 0 1 0 8 2 0 5 1 0 0 0 3 1 0 0 2 1 2 0 4 2 1 1 4 0 5 0 0 2 0 0 1 1 0 3 6 2 1 4 1 1 1 0 1 3 1 1 0 1 7 1 1
"selfish" 1 1 4 0 0 1 1 1 1 1 0 0 3 1 0 0 1 0 1 0 0 0 0 2 1 1 0 2 0 1 2 0 0 0 0 2 0 1 0 2 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 4 0 0 1 3 0 4 1 0 2 0 0 0 1 1 0 1 2 0 2 0 1 1 0 1 1 0 2 0 0 0 1 2
"sensitive" 1 0 1 1 1 0 1 0 0 0 1 1 1 3 1 1 4 0 0 1 0 0 0 1 1 0 0 1 3 1 1 1 0 0 0 1 0 1 2 0 0 2 1 0 1 0 0 0 0 0 2 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 3 0 1 0 0 0 1 2 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0
"serious" 0 5 4 0 3 2 1 0 9 1 1 1 5 3 3 1 1 0 1 2 3 1 1 4 0 2 0 0 0 0 3 0 3 1 5 1 0 0 4 1 1 1 1 0 1 0 1 3 0 1 5 1 1 1 1 0 3 1 5 1 0 0 4 2 1 1 4 0 4 1 0 3 5 0 1 0 1 1 1 0 1 0 1 1 2 0 2 1 0 3 1 1 1 0 1 2 3 1 2
"severe" 0 2 1 1 0 0 0 1 2 1 0 1 4 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 2 0 2 0 1 1 0 1 1 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 0 1 0 0 1 1 2 1 0 0 0 0 0 1 2 0 1 1 0 0 1
"shy" 1 1 1 0 1 2 0 1 1 0 0 0 1 1 0 1 2 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 2 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0
"silent" 1 5 3 5 4 1 2 0 5 4 2 5 6 6 3 4 5 0 0 1 0 0 2 8 4 3 0 3 5 2 3 3 1 1 5 2 1 0 6 2 1 2 5 0 0 0 0 1 1 0 10 2 1 1 1 2 4 1 8 1 2 2 2 1 2 1 8 4 0 3 2 2 11 0 2 1 6 1 1 1 1 0 0 2 3 2 0 2 2 2 3 0 1 3 2 0 6 2 1
"simple" 0 0 0 2 2 2 1 1 5 0 0 0 6 5 1 2 0 0 0 1 0 2 1 0 1 0 0 1 0 0 3 0 2 0 1 3 1 0 2 1 1 0 1 2 0 1 1 1 1 0 2 0 0 1 2 4 0 1 8 0 0 1 2 0 0 0 4 1 0 2 3 2 4 0 0 0 2 2 0 1 1 1 2 0 0 1 1 0 1 0 2 0 0 0 0 0 0 2 3
"slow" 1 2 2 0 1 0 1 1 4 2 1 0 5 1 2 1 1 0 0 0 0 0 0 1 0 1 1 2 2 0 3 2 0 0 0 1 0 1 1 0 1 1 5 0 1 1 0 0 0 0 2 2 0 0 0 2 0 0 5 0 1 0 2 0 0 1 2 1 0 0 3 1 3 0 0 0 1 0 0 2 2 0 3 0 0 1 1 3 0 1 1 3 1 1 1 1 0 0 0
"solemn" 0 1 1 0 0 0 0 1 5 0 0 0 3 2 2 1 2 1 0 0 0 0 0 2 1 2 0 0 0 0 1 1 1 1 3 1 0 0 1 1 1 0 2 0 0 0 0 0 0 0 4 2 1 2 0 0 0 0 1 0 1 0 1 0 0 0 2 0 0 1 2 0 2 1 1 2 4 2 0 0 1 0 2 1 1 0 0 0 0 0 0 2 0 0 1 0 1 0 0
"steady" 0 1 1 1 1 1 1 0 1 0 0 0 3 2 2 0 0 0 0 0 0 1 1 0 2 2 0 1 4 1 1 0 1 3 0 1 0 1 0 1 0 0 1 0 0 0 2 0 1 1 3 0 0 0 0 1 1 1 2 1 0 0 2 0 1 0 0 0 2 0 2 1 2 0 0 0 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 2 0 2
"stern" 0 1 2 0 0 2 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 1 0 3 2 1 2 1 0 0 1 0 0 0 1 0 0 0 1 0 1 3 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 1 3 0 0 0 1 1 1 1 0 0 2 0 3 0 1 0 0 0 0 0 0 0 0 0 1 0 1
"stormy" 0 1 0 0 0 2 0 0 4 1 1 1 1 0 2 0 1 0 0 1 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 0 2 1 1 0 4 0 0 1 1 1 1 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0
"tender" 0 1 2 1 2 0 0 1 1 0 0 0 3 0 2 1 2 0 0 0 1 0 0 3 0 1 0 2 0 0 4 1 1 0 1 1 1 0 4 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 2 0 0 0 2 0 0 1 2 0 1 1 0 0 2 0 1 0 0 0 1 3 0 0 2 0 1 0 0 0 0 0 1 1 3 0 0 2 2 0 0
"thoughtful" 1 1 4 1 5 3 0 0 3 0 1 0 6 2 0 1 1 0 0 1 0 0 2 1 2 1 0 2 2 0 2 0 0 0 0 5 0 0 4 0 0 0 1 2 0 0 1 0 0 0 1 1 0 0 0 2 2 0 6 1 0 1 2 0 0 1 1 0 1 1 0 4 5 1 1 0 1 1 0 1 0 0 3 2 1 0 0 0 0 1 0 1 0 2 1 1 1 0 0
"timid" 0 1 1 1 0 1 0 1 5 1 1 0 2 0 3 0 4 0 1 0 2 0 0 0 1 0 1 2 1 0 2 2 0 1 2 1 0 0 3 0 0 1 3 0 1 0 1 1 0 0 3 2 0 1 0 2 1 1 3 1 0 1 2 0 1 2 4 0 1 0 1 0 6 0 0 0 3 1 0 1 1 0 0 0 3 2 0 0 1 1 1 0 1 0 1 1 2 1 0
"vague" 0 1 0 0 1 0 0 1 2 0 0 0 4 0 1 0 2 0 0 1 0 0 0 1 0 0 0 2 0 0 1 1 1 0 1 1 1 1 3 0 0 0 1 0 1 0 1 1 0 0 2 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 2 0 1 0 1 0 0 1 2 0 1 0 1 0 0 0 0 3 0 1 0 0 0 1 1 0 0
"vain" 2 0 1 0 0 0 1 0 6 0 0 1 4 4 1 0 1 0 0 1 0 1 1 1 2 1 1 2 4 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 1 1 0 2 1 2 0 0 0 3 0 0 0 3 0 8 1 1 1 1 2 0 0 0 1 3 0 1 0 1 0 0 0 2 0 0 0 0 1 3 0 1
"violent" 0 0 0 1 3 2 0 0 2 1 0 0 1 1 2 1 1 0 0 0 0 0 0 1 1 2 0 0 1 0 1 1 1 0 1 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 2 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 2 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0
"warm" 0 1 2 0 3 1 0 0 2 2 1 0 6 2 2 0 3 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 2 3 0 1 0 0 0 2 0 1 1 0 1 1 0 2 1 0 2 0 2 4 1 0 2 1 0 0 0 0 0 1 0 1 0 2 0 0 0 1 0 0 2 1 1 0 0 1 0 1 0 0 2 1 1 1 1 1 0 2 0 1
"wild" 0 1 0 1 6 3 0 1 6 2 1 2 9 2 4 0 3 1 0 2 1 1 2 2 4 4 3 2 7 1 6 3 3 4 4 3 2 0 5 3 3 0 2 0 2 0 1 1 1 0 6 1 1 1 3 0 1 1 2 3 1 0 3 3 1 1 6 1 2 1 3 1 8 0 1 1 7 0 1 3 0 2 6 0 0 1 2 1 2 2 1 2 1 3 1 2 0 1 0
"wise" 0 0 1 1 1 0 0 0 3 2 0 1 5 1 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 3 0 1 0 0 3 0 0 4 2 0 1 3 0 3 0 1 0 1 2 2 0 3 0 0 0 1 1 0 1 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"worldly" 0 0 2 1 1 1 0 0 2 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 3 1 0 0 1 0 0 0 0 0 1 1 1 1 1 3 0 0 0 1 1 0 1 3 0 0 0 3 0 2 0 3 0 1 0 2 0 2 0 0 1 1 2 0 2 1 0 1 3 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0
