"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bold" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "clever" "coarse" "cold" "complicated" "confident" "confused" "considerate" "constant" "cool" "cruel" "cunning" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "fearful" "fierce" "fiery" "foolish" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "intense" "jealous" "kind" "lively" "loud" "merry" "mild" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "pleasant" "polite" "profound" "prompt" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "respectful" "restless" "rigid" "rough" "rugged" "sarcastic" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "smart" "solemn" "spirited" "steady" "stern" "strict" "thoughtful" "thoughtless" "tight" "timid" "uncouth" "vague" "vain" "violent" "vivid" "warm" "worldly" "wild" "wise"
"active" 0 0 1 2 1 3 0 0 1 2 1 1 0 0 0 3 3 0 0 4 1 0 0 0 2 1 0 1 0 1 1 0 3 0 1 1 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 1 1 3 0 1 0 1 1 0 0 3 0 1 2 2 1 1 0 0 1 0 1 0 2 0 0 0 1 1 0 2 0 0 2 3 0 2 0 0 1 0 2 0 0 1 3 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 1 1 1 4 0 0 2
"affected" 0 0 0 1 0 2 2 0 2 0 0 0 0 0 0 3 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2 0 0 0 1 0 0 3 1 2 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 3 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0
"affectionate" 1 0 0 3 1 3 1 0 1 2 0 0 1 1 0 4 2 1 0 4 1 0 0 0 0 1 1 0 2 1 1 4 2 1 0 1 1 0 1 0 1 0 0 0 1 2 2 3 1 1 1 0 0 2 2 3 0 0 3 1 1 0 1 2 1 2 1 0 1 2 4 1 1 5 4 0 0 3 1 3 1 2 2 1 0 3 0 0 1 0 2 1 0 1 1 1 0 3 0 0 1 1 1 0 0 3 1 1 0 0 1 2 1 1 2 0 5 1 2 0
"agreeable" 2 1 3 0 2 3 0 1 2 2 0 0 0 1 0 5 1 1 1 3 0 0 0 0 2 1 0 0 1 3 1 1 2 0 1 1 2 0 3 1 0 3 1 1 1 1 3 1 1 1 1 1 2 1 1 3 1 1 1 0 2 0 2 2 2 1 1 0 1 0 5 0 0 1 5 0 0 9 1 1 0 3 3 0 2 4 0 2 0 0 1 1 0 2 0 1 1 4 0 2 0 3 2 4 1 2 1 0 0 0 1 0 0 1 3 0 3 1 1 0
"amiable" 1 0 1 2 0 1 0 1 0 2 0 1 0 0 0 5 1 2 0 2 0 0 1 0 2 0 1 0 1 2 1 0 3 1 1 2 3 0 2 0 0 0 2 0 0 2 0 4 2 0 0 3 1 1 1 0 0 0 0 0 1 1 0 1 1 2 1 1 0 0 5 0 1 1 4 1 0 0 0 0 0 3 1 0 3 2 0 1 0 0 4 0 0 1 0 1 2 2 1 1 0 0 1 1 0 3 0 0 0 0 1 0 0 0 2 0 1 1 2 0
"anxious" 3 2 3 3 1 0 4 3 2 3 1 1 2 5 3 10 2 0 1 9 1 0 0 2 3 2 1 2 4 7 3 0 7 4 2 0 2 2 1 0 0 7 4 1 2 3 4 1 0 3 1 3 4 3 2 5 0 3 6 3 1 2 5 7 0 7 2 1 4 0 9 2 3 3 10 2 0 8 0 4 1 3 7 2 4 7 1 0 2 1 1 0 2 1 5 6 2 3 0 6 1 2 1 0 2 2 1 2 3 2 1 2 1 1 5 2 7 1 2 0
"awkward" 0 2 1 0 0 4 0 1 0 2 0 0 0 3 0 6 2 1 0 3 0 0 2 1 2 2 1 1 0 1 0 0 2 1 0 0 1 1 0 0 0 3 1 0 0 1 0 1 0 0 1 0 2 0 2 1 0 0 1 1 0 0 4 1 1 4 0 0 3 2 1 1 1 2 4 1 0 2 1 0 0 2 3 0 0 4 0 1 0 1 0 0 2 0 0 1 0 2 0 2 0 0 0 0 1 0 0 0 0 1 1 1 0 0 2 0 0 1 2 0
"bitter" 0 0 0 1 1 3 1 0 1 4 1 1 0 1 0 2 1 0 0 5 1 0 0 0 1 0 1 0 0 2 0 0 2 3 3 0 0 2 0 0 0 1 0 1 1 1 2 0 0 1 0 0 1 0 2 2 0 0 0 0 0 0 1 3 0 2 0 0 1 1 1 0 0 0 3 2 0 4 0 0 0 2 1 0 0 3 0 0 0 0 1 0 1 1 1 2 0 2 1 2 0 0 0 1 0 0 0 0 1 1 0 1 0 2 4 0 1 0 2 1
"bold" 1 2 1 2 0 2 0 1 0 2 0 0 0 0 2 1 0 0 1 1 2 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 1 1 2 1 0 0 0 2 0 1 2 0 1 1 0 0 0 3 0 0 0 1 0 1 3 0 2 1 2 2 1 1 1 0 2 1 2 2 1 0 0 3 1 1 0 2 0 0 0 3 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 3 1 1 0 0 0 1 0 0 0 0 0 1 1 1 1 0 1 1
"bright" 2 0 2 2 2 3 2 4 2 0 1 1 0 1 0 6 4 2 1 8 1 0 1 1 0 2 0 2 1 4 2 1 9 2 3 4 1 1 0 1 0 1 2 2 1 2 5 2 4 0 1 1 3 2 4 4 0 2 1 1 1 2 1 4 3 3 2 1 2 2 6 2 1 5 8 2 2 5 0 1 0 2 2 0 3 7 0 0 0 0 2 2 1 2 0 4 2 7 1 3 2 0 1 0 2 6 0 1 2 1 1 2 1 2 2 1 6 1 4 0
