"abrupt" "active" "affectionate" "agreeable" "amiable" "anxious" "bitter" "boisterous" "bold" "bright" "calm" "careful" "careless" "cautious" "certain" "cheerful" "childish" "coarse" "cold" "constant" "cool" "cruel" "cunning" "curious" "deep" "distant" "dull" "eager" "earnest" "exact" "faithful" "fearful" "foolish" "friendly" "genteel" "gentle" "gloomy" "graceful" "hasty" "hearty" "honest" "humble" "impatient" "jealous" "kind" "loud" "malicious" "merry" "mild" "modest" "moral" "narrow" "natural" "noisy" "original" "particular" "patient" "peaceful" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "restless" "rough" "rude" "serious" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vigorous" "violent" "warm" "wild" "wise"
"proper" 0 1 1 3 1 2 1 0 2 3 1 1 1 2 8 1 0 0 2 3 1 0 2 2 3 2 1 0 1 2 1 1 0 1 1 1 0 2 0 1 2 2 1 1 1 0 0 0 0 0 2 0 0 1 2 5 0 0 0 3 1 2 1 0 2 0 1 1 0 0 1 0 2 0 1 2 1 2 3 0 4 0 1 2 1 0 1 1 0 0 2 3 2 1
"proud" 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 2 1 1 0 0 1 4 2 1 1 1 1 0 0 0 2 1 1 0 1 0 0 1 3 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 1 3 0 1 1 1 1 0 0 0 0 0 0 2 0 1 0
"prudent" 0 1 1 0 1 1 1 0 1 0 0 0 0 0 2 0 0 0 1 1 0 1 0 0 2 1 1 0 0 1 1 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 1 0 0 0 0 0 0 1 2 0 1 0 1 1 0 0 0 0 0 2 0 1
"quick" 1 0 3 0 1 2 0 0 1 3 0 2 1 1 6 2 0 1 6 3 0 2 1 3 3 3 3 0 3 0 2 4 2 2 1 1 1 0 1 0 3 1 2 0 6 3 2 0 1 1 2 1 5 2 4 4 0 1 2 6 1 0 1 1 0 1 0 4 1 3 0 0 5 1 0 6 0 0 0 0 0 4 1 0 3 0 2 1 1 1 0 4 0 0
"quiet" 2 1 5 1 2 6 0 2 4 16 7 6 0 1 6 9 2 1 13 3 4 4 2 2 10 7 10 2 9 2 3 2 3 2 0 7 5 0 3 1 4 9 2 0 9 1 0 3 3 2 3 6 6 6 7 6 3 5 2 11 0 1 1 1 0 3 4 0 3 0 4 1 13 5 3 8 1 0 8 0 3 4 1 0 8 2 0 3 5 2 2 5 4 3
"restless" 0 1 0 2 0 6 1 1 0 2 3 1 0 0 2 1 1 1 6 4 2 0 0 2 2 1 4 1 2 0 0 1 0 2 0 4 2 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 2 3 1 2 2 0 0 1 0 0 2 0 0 0 1 3 0 2 0 0 4 2 0 5 2 1 1 0 1 2 0 0 1 0 1 0 2 0 0 1 2 0
"rough" 0 0 0 1 0 1 1 0 0 4 0 1 0 0 5 4 0 3 5 3 1 0 1 2 5 5 7 2 0 0 1 2 1 2 1 3 3 1 0 1 0 3 0 0 1 3 0 0 0 2 0 3 4 3 5 1 1 1 1 3 1 0 0 0 0 1 3 0 2 0 0 0 4 2 0 4 0 1 1 0 2 3 0 0 1 0 3 0 2 0 0 3 4 0
"rude" 1 0 2 0 0 0 0 0 1 1 1 0 0 0 3 0 0 1 2 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 1 0 0 3 2 0 0 0 0 0 1 0 0 0 0 0 1 2 2 0 1 0 2 0 0 1 1 1 0 0 4 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"serious" 0 1 0 1 1 1 1 0 0 0 0 2 0 1 2 2 1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 0 2 0 1 1 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 0
"silent" 1 2 3 0 0 8 1 1 2 14 3 3 0 0 6 8 0 2 12 6 4 3 0 4 9 5 10 0 4 0 3 1 0 3 2 10 5 0 2 0 3 4 0 0 10 2 0 2 1 1 5 6 6 3 6 7 1 2 2 9 0 0 3 2 1 1 5 13 4 4 1 0 0 5 1 3 0 2 6 1 6 9 2 0 5 1 3 2 3 0 2 6 6 1
"simple" 0 1 1 0 0 4 1 0 1 6 2 1 0 1 8 4 1 3 4 1 0 0 0 1 4 2 3 0 3 1 0 1 1 2 1 5 3 0 0 0 1 3 0 0 5 2 0 0 4 0 3 4 0 1 4 1 1 0 0 6 0 0 1 0 1 0 1 5 2 2 0 1 5 0 1 1 1 0 3 0 2 2 1 1 2 0 0 0 4 0 2 2 2 1
"sincere" 0 0 2 1 0 0 1 1 1 2 1 2 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 2 0 2 1 0 0 1 0 0 0 3 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 2 0
"slow" 1 0 1 1 2 6 0 1 3 7 3 3 1 2 4 4 2 1 8 4 4 1 3 6 6 5 9 2 1 0 2 6 2 1 1 3 5 1 0 1 3 5 3 0 3 0 1 1 0 0 2 0 1 6 4 1 1 3 1 2 1 0 1 2 0 0 6 8 5 4 1 1 3 1 1 0 1 0 4 1 1 2 0 3 2 0 0 2 4 2 1 4 4 1
"smart" 0 1 0 3 0 2 2 0 0 3 0 1 0 1 4 1 0 0 6 0 0 0 0 0 2 1 2 0 1 0 0 0 1 2 2 1 0 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 2 0 0 1 0 0 0 2 1 0 2 1 0 0 0 1 2 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"social" 0 0 2 1 1 0 1 0 0 0 0 0 0 0 2 1 0 1 1 1 0 0 0 1 1 1 0 0 0 2 0 0 0 2 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 1 1 0 3 0 0 0 0 0 0 0 2 1 0 0 0 1 1 1 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"solemn" 0 3 1 0 0 0 0 0 2 6 3 2 1 0 4 3 1 0 8 2 1 0 0 1 6 4 4 0 1 1 1 0 0 2 1 3 2 2 0 0 2 3 0 2 1 2 1 1 2 1 2 4 0 2 5 1 1 2 0 1 1 0 2 3 3 0 0 8 1 1 2 0 6 3 1 4 0 1 0 0 2 2 1 0 0 0 0 0 2 2 2 1 1 1
"suspicious" 1 0 0 1 1 2 1 1 1 1 2 1 0 0 2 1 0 0 2 1 1 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 2 0 0 0 0 1 2 0 2 0 2 2 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0
"tender" 0 2 1 0 3 1 1 1 2 3 0 1 0 1 4 0 0 1 2 3 1 1 0 1 6 3 5 0 2 1 0 0 1 0 1 5 3 0 1 2 1 3 1 1 1 0 1 0 1 1 2 1 0 2 3 2 1 1 0 3 0 0 0 4 1 2 0 3 1 2 0 0 6 2 0 1 0 1 2 1 0 1 2 0 2 0 0 1 1 0 0 2 4 0
"thoughtful" 1 0 3 1 1 3 1 0 1 7 2 1 2 1 5 6 0 1 6 6 0 2 1 2 6 4 4 1 3 0 2 2 2 1 2 3 4 0 1 1 1 1 0 0 4 4 0 1 2 1 3 2 3 0 2 4 1 1 0 4 0 0 3 0 1 0 4 4 2 3 0 1 9 2 0 2 0 0 2 0 1 0 0 2 3 0 2 0 2 1 1 2 2 0
"thoughtless" 0 1 0 0 0 0 0 0 0 1 0 0 2 0 3 1 1 0 1 2 0 0 0 0 1 2 1 0 1 0 0 0 1 1 0 2 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 2 1 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 2 0 0
"tight" 0 0 0 4 0 1 0 0 0 1 0 0 0 0 4 3 0 0 3 0 0 0 2 1 3 1 2 1 2 1 1 2 0 2 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 3 1 2 0 3 4 0 0 0 4 0 1 2 2 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 2 0 0 0 1 1 0 2 1 1 0 0 1
"timid" 0 0 2 1 0 3 1 1 1 7 1 1 0 0 3 3 1 0 2 2 1 0 1 1 5 2 5 0 4 1 0 2 0 0 0 4 3 1 0 1 1 4 1 1 4 1 1 1 0 1 2 3 3 4 0 3 1 0 1 5 1 0 0 1 0 1 3 8 1 1 0 2 5 2 2 2 0 0 0 0 2 3 1 0 0 1 0 1 1 1 1 0 2 0
"treacherous" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 1 2 0 0 2 0 0 0 3 0 2 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 2 1 0 2 0 0 1 2 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0
"uncouth" 0 0 2 1 0 2 1 0 0 1 0 0 0 0 2 2 0 1 1 0 0 1 0 1 0 1 0 1 2 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 2 1 0 1 0 1 0 2 0 0 1 1 0 0 2 0 1 3 0 0 3 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0
"unmindful" 0 0 2 0 1 0 0 2 0 3 0 1 1 0 2 0 0 0 2 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 2 1 1 0 1 0 0 0 0 0 2 0 2 1 0 1 0 0 0 1 0 0 0 1 0 0 1 3 0 0 0 0 2 0 1 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 3 1 0
"vague" 0 1 1 2 0 1 0 0 1 3 4 1 0 0 5 2 1 1 3 3 1 1 2 2 4 1 7 0 1 0 1 1 0 1 0 3 2 0 1 0 1 2 0 1 3 1 1 0 1 0 1 0 0 1 5 2 1 0 2 4 0 0 0 0 0 0 1 5 2 2 0 0 3 4 0 4 0 0 2 0 1 2 0 2 1 1 0 0 0 0 0 0 2 0
"vigorous" 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 2 0 0 0 0 0 2 0 1 0 2 1 0 0 0 1 0 1 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 1 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 1 2 0 0 2 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0
"violent" 0 0 0 1 1 2 0 0 1 1 1 0 0 2 2 0 1 0 3 0 0 0 1 1 4 1 2 2 0 1 0 0 0 3 0 1 1 1 0 0 1 0 1 0 3 1 0 0 0 1 1 1 0 1 2 1 0 0 0 0 0 1 1 2 2 0 0 2 0 0 0 1 2 2 0 1 0 0 2 1 0 1 0 1 1 0 0 0 0 0 0 2 0 1
"warm" 3 1 1 1 3 4 2 3 1 6 0 2 1 3 11 5 0 0 6 2 2 1 1 1 5 4 4 1 1 1 3 3 3 0 1 4 3 0 0 2 5 5 1 0 2 1 1 2 2 1 1 2 5 1 2 6 1 1 0 8 0 1 3 3 0 2 4 5 1 3 1 1 6 2 0 4 1 0 1 2 2 2 2 0 0 0 0 3 0 0 2 0 2 2
"wild" 1 1 3 3 0 6 1 1 0 5 2 0 0 0 5 3 0 1 8 2 4 1 0 3 6 5 3 1 1 0 1 0 0 1 0 9 4 0 2 1 4 5 2 1 2 2 0 0 1 1 1 3 2 4 6 2 0 1 1 4 1 0 1 2 1 0 0 4 2 4 1 0 6 2 2 4 1 0 1 0 4 2 0 0 2 1 1 1 2 0 0 2 0 1
"wise" 1 0 0 1 1 2 0 1 0 4 1 1 0 0 2 2 0 0 1 0 0 0 1 1 3 0 2 0 1 0 1 2 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 2 0 0 2 1 0 1 0 3 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 1 0
