"active" "affected" "agreeable" "aloof" "amiable" "anxious" "awkward" "bitter" "boisterous" "bold" "brave" "bright" "brisk" "calm" "careful" "careless" "cautious" "certain" "cheerful" "cold" "complimentary" "conciliatory" "constant" "cool" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "excessive" "expressive" "faithful" "fearful" "fickle" "fierce" "firm" "foolish" "forgetful" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "impatient" "indifferent" "intense" "jovial" "kind" "lazy" "lively" "loud" "manly" "merry" "mild" "moral" "musical" "narrow" "natural" "noisy" "original" "particular" "patient" "placid" "pleasant" "precise" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reckless" "religious" "restless" "rigid" "rough" "rude" "serious" "silent" "simple" "slow" "smart" "solemn" "stable" "steady" "stern" "sullen" "talkative" "thorough" "thoughtful" "timid" "uncouth" "vague" "vain" "violent" "warm" "wild" "wise"
"active" 0 0 0 1 0 0 0 0 2 3 1 6 2 0 2 1 0 4 2 3 1 0 1 3 2 1 1 0 2 4 3 0 0 1 1 1 1 0 2 0 0 1 0 0 1 0 0 1 3 0 1 0 4 1 1 2 1 0 2 1 0 0 1 1 3 0 1 1 2 2 1 1 1 0 2 0 0 1 0 0 2 1 1 4 3 1 1 0 0 0 2 0 1 3 0 0 0 2 3 0 0 0 0 0 2 1 0 1 3 2 3 0 2
"affected" 0 0 0 0 0 1 0 0 0 1 1 2 1 0 0 0 0 1 1 1 0 0 0 0 0 1 4 0 2 2 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 3 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"agreeable" 0 0 0 0 0 2 0 1 0 2 1 4 0 0 1 1 1 7 7 5 1 0 3 1 2 2 2 0 1 4 0 1 0 1 1 0 2 1 1 0 0 0 0 2 0 1 2 2 0 3 2 0 1 2 2 2 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 3 0 4 1 0 1 5 0 0 2 4 1 0 3 1 0 0 1 0 0 1 1 3 0 0 1 1 0 0 0 1 3 0 1 0 0 0 0 0 2 0 1
"aloof" 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 3 1 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 2 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 2 1 1 1 2 2 0 2 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 2 0 0
"amiable" 0 0 0 0 0 1 0 0 0 0 1 1 0 2 1 0 0 2 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1 1 1 0 1 2 0 1 1 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 2 0 0 0 3 0 1 0 0 0 0 0 1 0 1 2 0 0 1 1
"anxious" 0 1 2 0 1 0 0 1 1 4 4 4 0 0 0 0 1 7 4 3 0 0 2 1 3 1 2 0 5 3 1 2 1 0 0 0 1 1 1 0 3 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 2 0 3 0 3 1 0 0 0 1 1 0 0 4 4 0 2 6 0 0 1 0 1 0 2 0 2 4 1 0 0 2 0 2 2 0 4 2 0 0 4 2 2 0 1 2 1 1 0 1 1 0 1 0 6 4
"awkward" 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 2 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 2 0 2 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 3 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0
"bitter" 0 0 1 0 0 1 1 0 0 2 0 1 0 0 1 0 1 2 4 3 0 2 2 1 1 1 3 1 1 3 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 0 1 3 3 1 0 1 0 1 2 0 0 3 0 0 0 1 0 0 3 0 2 1 0 0 3 0 2 1 3 0 0 3 1 0 1 2 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2 1 1 0 0 1 1 2 1
"boisterous" 2 0 0 0 0 1 0 0 0 2 0 2 0 0 1 1 0 3 3 4 0 1 1 0 1 1 2 0 5 0 0 0 0 2 0 1 0 2 3 0 1 2 0 1 1 1 0 2 1 0 0 1 2 1 1 3 0 1 0 1 0 1 0 2 4 0 0 0 1 1 0 0 1 0 2 1 0 2 0 0 0 2 0 4 4 0 2 0 2 0 1 0 2 3 0 1 1 1 1 1 0 2 0 0 1 0 0 0 0 2 0 2 1
"bold" 3 1 2 0 0 4 1 2 2 0 4 8 2 1 0 1 0 9 3 6 2 1 0 1 1 0 6 0 3 8 1 3 1 0 3 1 0 1 2 0 3 1 1 3 0 3 1 2 2 1 1 1 4 3 5 3 0 1 1 0 0 3 0 2 2 1 2 3 4 0 1 2 0 3 6 1 0 4 0 6 1 8 1 4 8 0 3 2 0 1 6 0 3 3 0 2 2 2 2 3 1 3 1 1 2 0 1 3 0 2 1 8 3
"brave" 1 1 1 0 1 4 0 0 0 4 0 6 2 0 0 0 1 3 1 3 0 0 1 1 0 0 3 0 4 2 1 1 0 0 2 0 1 0 2 2 0 1 1 2 3 1 0 2 4 1 1 0 2 1 2 2 0 2 2 2 0 0 0 0 0 0 1 1 0 0 3 1 2 1 3 0 0 2 0 1 0 2 0 3 3 0 0 0 0 1 2 2 1 3 0 1 2 2 1 2 1 1 1 0 0 1 0 1 0 1 1 3 2
"bright" 6 2 4 1 1 4 1 1 2 8 6 0 2 5 5 2 1 11 10 19 2 0 4 4 4 5 11 1 11 13 3 1 1 1 2 1 3 2 7 4 3 2 3 5 2 1 0 10 5 2 1 3 5 5 4 5 1 3 1 3 2 4 1 4 4 2 4 2 4 1 5 4 2 3 7 3 5 7 2 4 4 8 1 6 16 1 2 2 3 3 6 2 3 16 1 8 0 5 9 2 3 4 1 2 4 2 2 5 1 1 4 10 5
"brisk" 2 1 0 0 0 0 0 0 0 2 2 2 0 0 1 0 0 0 0 2 0 0 0 0 1 1 1 0 1 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 2 1 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0
"calm" 0 0 0 1 2 0 0 0 0 1 0 5 0 0 0 0 0 1 1 2 0 0 0 0 1 2 1 1 1 2 0 1 1 0 0 0 2 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 1 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 4 0 1 0 0 0 0 0 2 3 1 0 0 1 0 0 3 0 0 0 0 1 2 0 0 4 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 2 1
"careful" 2 0 1 0 1 0 0 1 1 0 0 5 1 0 0 1 1 3 1 2 0 0 1 0 2 1 1 0 1 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 1 2 2 1 1 1 0 0 1 0 0 0 3 1 0 0 1 0 0 2 1 2 2 0 0 2 0 1 2 5 0 1 3 0 1 3 0 0 0 1 0 3 0 1 0 0 3 1 0 1 0 0 1 0 0 0 0 0 0 2 0
"careless" 1 0 1 0 0 0 1 0 1 1 0 2 0 0 1 0 1 4 2 2 0 0 0 2 1 1 2 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 1 1 1 0 0 0 1 2 1 0 1 1 0 0 1 1 1 0 0 0 0 3 1 0 2 0 1 1 0 1 2 1 0 2 1 0 0 1 0 2 1 1 0 1 0 1 5 0 0 1 1 1 2 0 1 0 0 1 1 0 0 0 3 3 0 1
"cautious" 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 3 2 2 0 0 0 0 0 2 2 0 2 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 2 1 1 2 1 0 0 1 1 0 2 1 0 1 1 0 0 0 0 0 0 2 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0
"certain" 4 1 7 0 2 7 1 2 3 9 3 11 0 1 3 4 3 0 12 12 4 0 6 3 4 2 9 2 4 9 1 5 1 3 1 4 1 1 2 1 3 0 3 4 4 2 3 4 4 2 2 2 1 7 7 5 3 1 2 0 1 4 1 1 6 3 2 3 4 3 2 10 2 8 6 4 1 5 1 2 4 9 0 6 11 3 3 4 1 1 5 3 5 9 1 5 4 6 4 1 2 0 1 2 0 5 2 3 1 3 4 10 8
"cheerful" 2 1 7 0 1 4 0 4 3 3 1 10 0 1 1 2 2 12 0 7 1 0 5 3 1 4 5 0 2 10 2 1 0 1 1 3 0 2 1 0 2 0 1 2 1 1 1 5 4 2 3 1 2 5 5 2 0 1 0 2 2 5 2 2 4 1 3 0 2 3 0 3 0 2 6 4 2 11 1 1 6 5 0 1 7 3 1 1 3 0 2 1 3 9 0 4 4 4 4 1 0 1 4 0 1 1 3 1 1 3 4 3 4
"cold" 3 1 5 1 0 3 1 3 4 6 3 19 2 2 2 2 2 12 7 0 1 0 3 2 4 2 14 1 6 12 1 1 0 2 1 2 2 1 2 1 1 2 1 4 2 3 0 8 4 3 4 4 1 6 7 3 1 3 1 0 3 3 0 1 6 3 3 3 1 1 3 10 3 3 7 4 3 8 0 1 5 5 3 5 10 1 2 1 5 4 7 2 7 12 0 6 1 4 2 3 2 4 1 2 2 3 2 1 3 1 8 7 2
"complimentary" 1 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 4 1 1 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1
"conciliatory" 0 0 0 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 3 1 2 0 1 0 1 1 1 0 0 0 0 1 1 0 2 0 0 0 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1
"constant" 1 0 3 0 0 2 0 2 1 0 1 4 0 0 1 0 0 6 5 3 2 0 0 1 4 0 3 0 4 4 1 1 0 0 0 1 0 1 2 0 0 1 0 1 1 0 1 3 1 1 2 0 0 3 1 3 0 1 0 1 1 0 0 0 1 1 2 1 0 0 2 3 0 0 2 1 1 3 0 2 0 2 1 2 8 1 1 2 3 1 1 0 2 3 2 1 1 0 1 1 0 0 1 0 0 2 1 0 0 2 2 5 4
"cool" 3 0 1 0 0 1 0 1 0 1 1 4 0 0 0 2 0 3 3 2 0 1 1 0 0 1 2 0 1 3 1 4 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0 1 0 1 1 2 1 0 0 0 1 2 1 0 2 0 2 3 1 2 3 1 0 2 0 1 2 2 1 2 1 0 0 2 1 1 4 0 1 1 2 1 0 0 0 0 0 3 1 0 0 0 0 4 0 4
"cruel" 2 0 2 0 0 3 0 1 1 1 0 4 1 1 2 1 0 4 1 4 0 0 4 0 0 0 1 0 1 3 1 0 0 1 0 0 0 1 3 0 0 1 0 3 0 0 2 1 1 0 1 1 1 2 1 1 0 0 1 1 0 0 1 0 3 1 1 1 0 0 2 2 0 2 1 1 0 4 0 0 0 3 0 1 6 1 2 1 2 1 1 1 1 3 3 1 1 1 1 1 1 1 1 0 0 2 0 1 2 2 2 1 1
"curious" 1 1 2 0 1 1 0 1 1 0 0 5 1 2 1 1 2 2 4 2 0 0 0 1 0 0 2 0 1 2 1 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 1 3 0 1 0 3 1 1 3 1 2 2 0 2 4 0 0 1 3 0 0 1 0 1 0 1 0 0 1 1 3 0 0 0 3 2 2 0 1 0 0 0 0 1 0 0 0 1 3 1
