"abrupt" "abusive" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bold" "capable" "certain" "cheerful" "civil" "concise" "confused" "contrary" "cool" "cruel" "curious" "deep" "dependent" "determined" "distant" "dull" "eager" "earnest" "elegant" "faithful" "flighty" "foolish" "friendly" "generous" "genteel" "gentle" "hasty" "hearty" "hospitable" "humane" "humble" "ignorant" "impatient" "impertinent" "indifferent" "intimate" "kind" "lively" "loud" "modest" "natural" "obliging" "particular" "pleasant" "polite" "productive" "profound" "proper" "proud" "prudent" "quick" "quiet" "respectful" "rude" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "solemn" "spirited" "thoughtful" "uneducated" "vain" "violent" "warm"
"abrupt" 0 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 2 0 3 0 0 1 0 0 0 0 0 2 0 0
"abusive" 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0
"affected" 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 2 0 1 1 0 2 0 0 0 0 0 0 0 0
"affectionate" 0 0 1 0 1 1 0 1 1 0 2 1 0 0 0 0 0 2 0 2 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 1 0 1 2 0 0 2 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0
"agreeable" 0 0 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 1 1 0 1 0 3 0 0 0 0 1 3 0 3 1 0 2 2 0 0 0 0 4 1 0 0 2 0 0 0 1 0 2 2 0 0 2 0 0 0 1 0 0 0 0 1 3 0
"amiable" 0 1 1 1 1 0 1 0 0 1 1 2 0 1 1 1 0 4 1 3 0 0 2 0 2 2 0 3 1 1 1 2 1 3 1 2 1 1 3 1 0 1 4 1 1 1 0 0 4 1 3 1 1 1 0 4 3 0 1 0 2 1 2 1 3 1 1 1 0 1 0 2 1 1 1 0
"anxious" 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 2 1 0 0 0 0 1 1 0 0 0 1 0 1 2 0 0 1 1 1 2 0 0 2 0 2 0 0 1 0 0 0 0 0 0 1 1
"awkward" 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 1 2 0 0 0 3 0 0 0 0 0 0 0 0 1 3 0 2 1 0 2 1 2 1 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0
"bold" 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 2 0 1 0 1 0 1 0 0 2 0 1 2 0 1 0 1 1 1 0 0 1 2 2 4 1 0 2 1 3 2 2 0 2 0 1 1 1 0 0 0 0 2 1 0 1 1 2 1 1 1 0 0 2 0 0 2 3 1
"capable" 1 0 0 0 1 1 0 1 1 0 2 0 0 0 1 0 0 3 0 1 0 1 0 0 3 0 0 1 0 1 0 3 0 0 1 1 1 1 2 2 0 1 1 0 2 1 0 1 2 1 2 0 2 0 2 1 0 0 1 0 2 0 2 0 3 0 1 0 0 0 0 0 0 2 1 0
"certain" 2 0 0 2 0 1 1 0 0 2 0 0 2 0 0 0 0 5 1 0 1 2 3 2 5 2 1 1 0 2 0 2 1 1 0 1 0 1 2 3 0 5 3 1 1 1 2 2 4 2 3 1 1 0 1 1 1 0 0 2 0 1 2 2 3 1 1 0 1 1 0 0 0 0 3 0
"cheerful" 0 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 0 2 0 2 0 0 1 0 2 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 2 1 2 1 0 2 0 1 2 1 0 2 0 1 1 0 0 0 0 1 1 0 5 1 0 0 0 0 0 2 0 2 0 0
"civil" 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 2 1 3 0 1 0 1 0 2 1 0 1 1 1 0 0 0 1 0 1 1 1 2 1 2 1 0 0 0 2 0 1 0 0 2 0 0
"concise" 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 1 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 2 1 0
"confused" 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 1 1 0 0 1 0 2 1 0 1 0 1 0 4 0 0 0 3 0 0 0 1 2 0 0 0 1 0 0 3 0 4 1 0 1 1 0 2 2 0 1 0 1
"contrary" 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 2 1
"cool" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 1 0 1 0
"cruel" 0 1 2 2 0 4 3 2 2 3 5 2 1 1 1 1 2 0 0 4 0 2 2 2 4 3 1 1 1 2 2 4 1 1 0 1 0 2 1 2 2 7 3 1 2 1 1 4 1 2 3 0 3 3 1 6 4 1 2 4 2 3 3 0 8 1 1 2 1 0 0 1 1 3 5 0
"curious" 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"deep" 0 0 0 2 0 3 1 0 1 1 0 2 0 0 0 0 0 4 0 0 1 0 0 2 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 2 0 0 0 1 1 1 1 1 1 0 0 1 2 3 0 2 0 1 0 1 1 4 2 1 0 0 1 1 1 0 4 2 1
"dependent" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0
"determined" 1 0 0 0 1 0 0 0 1 1 2 0 1 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 3 2 0 0 0 0 1 3 2 0 2 0 1 1 0 2 0 2 1 1 0 1 1 1 0 2 1 2 0 0 1 0 1 3 0 0 1 1 0 0 0 0 1 2 1
"distant" 1 0 1 0 2 2 0 0 0 0 3 1 1 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 3 1 1 0 0 2 2 0 1 0 1 1 0 0 1 1 2 1 0 0 0 0 0 0 0 0 2 0 1 1 0 4 1 1 1 0 2 0 0 0 0 0 0
"dull" 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 2 0 2 0 1 0 0 1 2 0 0 0 1 0 2 1 0 1 0 0 0 1 3 0 2 1 0 0 0 1 1 1 0 2 0 0 0 3 0 3 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 1 2 2 0
"eager" 1 0 0 2 0 2 0 1 0 3 5 2 1 0 1 0 0 4 1 1 1 2 1 1 0 1 1 1 0 0 1 2 0 1 1 2 1 1 1 2 0 4 4 0 0 2 3 1 3 1 4 0 0 1 0 2 2 1 1 3 0 1 2 0 4 2 0 0 1 0 0 2 0 2 3 1
"earnest" 0 2 0 1 0 2 0 2 0 0 2 0 0 2 0 2 0 3 0 1 0 0 0 2 1 0 0 1 0 2 1 1 0 0 0 0 0 1 0 1 0 3 1 0 0 0 3 0 2 0 1 0 1 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 1 1 2 0
"elegant" 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 3 0 0 1 1 0 0 0 0 0 1 0 2 2 0 1 0 2 2 0 0 1 0 0 0 0 3 0 0 1 1 0 0 1 1 2 1 0 0 0 0 0 0 0 0 1 0
"faithful" 0 1 0 0 0 3 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 2 1 1 2 0 0 0 1 1 0 1 0 0 2 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0
"flighty" 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 2 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0
"foolish" 0 0 0 0 1 1 0 3 2 1 2 1 1 0 2 0 1 2 1 0 0 0 1 1 0 2 3 0 1 0 0 1 1 1 0 0 0 0 1 3 0 4 2 1 1 0 4 1 0 1 2 0 1 0 0 3 1 0 1 2 1 1 1 1 5 0 0 0 0 1 1 0 0 1 2 0
