"accomplished" "active" "affable" "affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "candid" "capable" "careful" "careless" "certain" "cheerful" "childish" "clever" "cold" "complacent" "confused" "congenial" "considerate" "constant" "cool" "cordial" "cruel" "curious" "deep" "determined" "disdainful" "distant" "dull" "eager" "earnest" "elegant" "eloquent" "exact" "expressive" "faithful" "fearful" "fiery" "foolish" "friendly" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "honest" "humble" "immovable" "impatient" "indifferent" "industrious" "jealous" "kind" "languid" "lively" "loud" "loving" "merry" "mild" "modest" "musical" "narrow" "natural" "observant" "particular" "patient" "playful" "pleasant" "polite" "practical" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "restless" "rough" "selfish" "serene" "serious" "severe" "shy" "silent" "simple" "slow" "solemn" "spirited" "stable" "steady" "stern" "tender" "thoughtful" "tight" "timid" "unreasonable" "vague" "violent" "vivacious" "warm" "wild" "zealous" "worldly" "wise"
"accomplished" 0 0 0 1 3 3 2 0 1 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0 0 0 1 0 0 0 0 1 2 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 1 0 0
"active" 0 0 0 1 3 1 1 0 0 0 1 0 3 0 5 0 0 0 3 2 0 0 0 1 2 0 0 1 2 1 0 3 0 0 1 1 0 1 1 2 1 0 0 0 1 0 0 0 3 0 2 0 1 1 0 1 0 1 0 0 1 2 0 0 1 0 1 1 2 0 4 0 0 0 2 1 0 1 0 1 2 1 5 2 2 1 0 0 0 0 0 1 3 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 1
"affable" 0 0 0 1 0 2 1 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 2 0 0 0 0 0 1 0 1 0 1 0 3 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0
"affectionate" 1 1 1 0 3 1 1 1 5 0 1 0 1 1 4 2 0 4 1 1 1 1 0 2 1 2 0 5 0 1 0 2 1 1 1 1 1 1 2 3 0 1 0 1 0 1 1 3 1 1 2 1 0 1 0 0 3 1 2 1 4 1 1 0 2 2 1 1 1 0 3 0 2 2 0 3 1 1 1 2 0 3 5 0 1 0 2 1 0 2 3 2 3 3 0 0 1 0 3 0 2 2 1 2 1 1 0 0 1 2 1 0 1
"agreeable" 3 3 0 3 0 5 6 3 7 2 3 4 2 1 7 4 2 1 6 2 2 0 0 0 1 0 0 7 2 3 1 6 5 2 5 2 3 1 2 3 1 0 3 2 3 3 2 3 1 1 1 0 0 0 1 0 1 3 3 0 4 2 1 3 2 2 1 1 1 2 6 2 4 1 3 12 3 7 4 2 3 3 7 2 4 0 3 0 2 2 3 1 5 4 3 2 2 0 3 1 2 2 3 0 2 0 3 2 1 1 1 3 1
"amiable" 3 1 2 1 5 0 4 0 3 1 1 0 1 0 4 2 2 1 4 1 1 0 0 0 1 0 1 3 1 2 1 2 3 1 2 2 0 0 0 3 1 0 3 1 2 0 2 1 0 1 2 0 1 1 0 1 0 1 1 1 4 2 0 0 0 0 1 1 1 3 7 0 0 0 1 4 0 2 1 2 3 3 4 0 0 0 1 0 0 0 1 1 0 2 0 0 1 2 0 0 1 1 1 2 1 0 1 0 3 1 2 2 0
"anxious" 2 1 1 1 6 4 0 1 6 1 3 2 2 3 9 4 2 0 4 0 2 0 1 1 2 2 2 7 2 1 0 1 3 3 2 1 1 0 0 1 1 1 0 2 1 0 1 3 2 0 2 3 1 5 1 0 1 0 0 0 6 2 0 2 2 0 2 1 1 5 6 2 3 0 1 8 0 3 0 4 2 4 7 2 0 3 0 2 2 2 2 1 0 4 4 0 0 2 0 0 1 4 0 0 2 2 1 1 3 2 0 2 0
"bold" 0 0 0 1 3 0 1 0 1 0 0 2 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 3 1 0 1 1 0 0 0 2 1 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 2 1 1 0 1 1 0 2 0 0 1 2 0 1 1 0 0 0 1 0 3 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0
"bright" 1 0 0 5 7 3 6 1 0 3 0 1 4 0 10 5 2 2 13 2 1 1 3 2 3 2 2 12 7 2 3 12 6 4 4 1 0 1 1 2 0 2 3 3 2 1 2 5 1 2 3 1 1 5 0 3 1 6 0 0 9 2 1 4 1 1 1 0 2 3 14 2 9 2 0 11 4 3 1 2 8 9 11 0 4 3 3 2 3 2 1 1 6 2 3 3 1 3 2 2 1 5 2 1 1 1 2 0 5 4 1 2 1
"calm" 0 0 0 0 2 1 1 0 3 0 0 1 2 0 1 0 1 1 0 0 1 1 1 0 1 0 2 0 0 0 1 2 2 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 1 0 0 0
