"accomplished" "affectionate" "agreeable" "amiable" "anxious" "bitter" "bold" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "cold" "confused" "constant" "cool" "cruel" "curious" "deep" "determined" "devilish" "disdainful" "distant" "dull" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "haughty" "honest" "humble" "indifferent" "jealous" "juvenile" "kind" "lively" "loud" "mild" "modest" "moral" "natural" "observant" "original" "particular" "patient" "pensive" "pleasant" "polite" "presumptuous" "profound" "proper" "proud" "quick" "quiet" "restless" "rough" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "social" "solemn" "steady" "stern" "sullen" "tender" "thoughtful" "tight" "timid" "tough" "vague" "violent" "warm" "wild" "worldly"
"accomplished" 0 0 1 4 1 0 0 0 2 2 0 0 2 1 1 2 0 0 1 2 0 2 0 7 0 0 1 1 0 0 0 2 1 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 1 3 2 0 0 0 0 1 0 0 1 1 1 2 0 0 1 0 3 0 1 0 0 2 0 1 1 2 0 0 0 1 0 1 0 0 1 2 1 0 2 0 0 1 0
"affectionate" 0 0 0 0 0 1 0 0 5 2 0 0 3 0 0 3 2 2 1 0 0 2 0 1 1 2 0 4 0 1 1 0 0 0 0 0 2 0 0 5 0 0 1 2 3 0 2 1 0 3 1 0 1 0 0 3 0 0 2 0 0 0 0 2 2 0 3 0 5 0 1 0 1 0 2 5 0 0 0 2 1 2 0 1 1 0 0 2 1 1 1 3 0
"agreeable" 1 0 0 0 2 1 1 0 6 1 2 2 7 2 0 4 0 1 1 0 2 3 0 1 0 2 2 1 1 1 1 4 2 0 1 4 0 1 2 2 1 1 1 2 4 0 3 0 0 3 1 1 0 1 1 4 1 0 4 0 2 2 1 0 3 0 7 1 1 0 1 3 1 0 1 4 2 1 1 2 2 3 0 1 2 0 2 1 2 3 1 0 0
"amiable" 4 0 0 0 0 0 0 1 3 1 0 0 4 2 0 3 0 0 0 1 0 3 0 4 1 0 1 1 0 0 0 1 0 0 2 1 1 1 0 1 0 0 1 0 1 0 0 1 1 3 2 1 3 0 1 1 1 1 3 0 0 1 0 0 0 1 5 3 1 0 1 1 0 2 0 4 1 0 3 1 1 0 0 0 3 2 1 0 0 0 2 0 0
"anxious" 1 0 2 0 0 2 3 1 4 1 3 0 3 2 2 5 2 1 0 2 3 2 0 1 1 6 2 2 0 1 1 1 0 1 1 2 0 1 1 1 2 3 3 2 3 1 0 0 0 3 1 1 2 1 1 5 0 2 5 1 1 2 3 2 0 2 6 4 3 1 0 1 2 0 2 5 1 3 0 4 5 0 0 0 0 0 2 1 2 0 3 2 0
"bitter" 0 1 1 0 2 0 0 1 2 1 1 0 1 0 1 3 0 0 1 2 1 1 0 0 0 1 2 1 0 1 1 1 0 1 1 1 0 1 2 0 0 1 1 0 2 1 0 1 1 0 1 0 0 0 1 1 0 1 3 1 1 2 0 0 0 0 2 3 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0
"bold" 0 0 1 0 3 0 0 1 5 1 0 0 2 1 0 5 1 2 1 2 3 9 0 2 2 2 0 2 0 1 1 3 2 1 1 1 2 1 0 4 3 0 1 2 2 3 1 2 1 2 2 1 3 3 1 3 1 2 1 4 1 5 1 0 3 0 9 5 1 0 1 0 0 1 1 6 0 2 0 1 0 1 1 3 2 2 3 0 0 3 1 4 0
"brave" 0 0 0 1 1 1 1 0 3 1 1 0 0 2 0 2 0 0 1 1 1 2 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 3 2 1 1 2 0 3 0 0 1 0 0 0 0 0 0 0 1 1 2 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 2 1 1
"bright" 2 5 6 3 4 2 5 3 0 4 0 3 15 8 4 12 1 4 1 4 1 11 2 1 3 8 7 7 1 0 2 4 3 4 6 3 2 2 2 13 5 2 3 3 8 4 0 2 1 11 3 3 2 2 2 5 4 1 9 4 5 7 1 2 6 4 13 7 16 0 4 2 2 1 2 16 6 5 3 10 4 2 2 6 4 2 7 0 5 2 8 10 2
"calm" 2 2 1 1 1 1 1 1 4 0 0 1 5 3 1 5 1 1 4 3 1 6 0 2 2 2 4 1 0 0 0 0 2 3 1 0 3 0 0 3 1 1 1 1 3 0 3 0 1 2 1 1 1 2 2 1 1 0 2 2 3 4 0 1 0 0 3 0 6 0 0 0 3 2 2 2 1 2 0 4 0 0 0 1 2 2 0 0 2 2 0 3 0
"capable" 0 0 2 0 3 1 0 1 0 0 0 0 1 1 1 3 1 1 2 1 2 1 0 0 0 3 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 2 1 0 1 1 0 1 0 1 0 0 1 2 0 1 0 0 0 0 1 0 1 0 4 1 2 1 1 1 1 0 1 0 2 1 0 2 2 2 0 0 1 0 2 0 2 1 0 1 0
"careful" 0 0 2 0 0 0 0 0 3 1 0 0 2 1 0 2 0 0 0 1 3 0 0 1 0 1 3 2 1 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 1 2 1 1 0 3 0 0 1 1 0 2 0 0 2 0 0 1 0 0 0 1 4 0 1 0 0 0 1 1 2 1 0 1 0 1 1 1 0 2 1 0 1 0 2 0 1 0 0
