"active" "adventurous" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bitter" "bold" "bright" "calm" "capable" "certain" "cheerful" "childish" "chivalrous" "coarse" "cold" "confused" "constant" "contented" "cool" "cruel" "deep" "distant" "docile" "eager" "earnest" "enthusiastic" "excessive" "expressive" "fearful" "firm" "gallant" "generous" "genial" "gentle" "gloomy" "harsh" "heroic" "humane" "ignorant" "impatient" "indifferent" "inquisitive" "intense" "intimate" "invincible" "kind" "lifeless" "lively" "loud" "mild" "moderate" "moral" "narrow" "natural" "nervous" "passionate" "peaceful" "placid" "pleasant" "profound" "proud" "quick" "rough" "rude" "rugged" "saintly" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "thoughtful" "vain" "violent" "warm" "wild" "vivid"
"chivalrous" 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0
"coarse" 1 0 1 1 2 0 1 0 0 0 1 1 0 2 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0
"cold" 0 0 0 2 3 0 5 5 0 1 5 5 1 2 0 0 3 0 2 1 0 0 1 2 2 2 1 0 1 1 2 1 1 0 1 1 8 0 3 0 0 4 0 0 0 0 0 0 2 5 3 2 4 0 0 0 2 4 1 1 1 5 1 1 3 1 0 1 1 1 1 1 1 1 4 0 2 3 1 0 5 2 2 4 1
"confused" 0 0 0 0 1 0 0 1 0 1 1 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0
"constant" 1 0 1 0 1 1 2 0 0 0 3 0 0 1 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 2 1 1 1 0 0 1 0 0 1 0 0 1 1 0 1 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0
"contented" 0 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"cool" 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0
"cruel" 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0
"deep" 1 0 0 2 1 0 2 2 0 1 3 1 1 1 0 0 1 2 0 2 1 1 0 0 0 0 1 0 1 1 1 2 1 0 0 0 4 1 2 1 0 0 0 0 0 2 2 1 1 0 0 2 0 0 0 0 0 0 1 0 1 2 0 1 2 0 0 1 1 1 0 1 0 0 5 0 0 1 0 0 0 0 0 1 0
"distant" 0 0 0 0 0 2 1 2 0 0 1 1 0 1 0 0 0 2 1 1 1 0 0 0 0 0 1 0 2 0 1 0 1 0 0 1 2 1 0 0 0 0 3 0 0 0 0 0 2 0 2 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 1 1 0
"docile" 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"eager" 0 1 0 0 0 0 0 0 1 1 1 2 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 1 0 0 2 2 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 1 1 2 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0
"earnest" 1 1 0 0 0 0 0 0 0 2 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0 1 1 0 0 1 0 2 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 1
"enthusiastic" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0
"excessive" 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 2 0 0 1 0 0 0 0 0 1 0
"expressive" 0 0 0 0 1 0 3 1 0 0 2 0 0 0 1 0 0 2 0 1 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2 0 0 0
