"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "benevolent" "boisterous" "bold" "bright" "calm" "careful" "cautious" "certain" "cheerful" "cold" "complicated" "confused" "constant" "contemplative" "cool" "critical" "cruel" "cunning" "curious" "deep" "determined" "devilish" "dignified" "distant" "dull" "eager" "earnest" "elegant" "eloquent" "emphatic" "enthusiastic" "excessive" "expressive" "facetious" "faithful" "fearful" "fierce" "firm" "foolish" "friendly" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "hospitable" "humble" "humorous" "immovable" "indefatigable" "independent" "ingenious" "intense" "intimate" "kind" "lazy" "learned" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "pleasant" "poetic" "practical" "precise" "profound" "proper" "proud" "quiet" "reasonable" "respectful" "restless" "rude" "sentimental" "serious" "severe" "silent" "slow" "smart" "solemn" "spirited" "stable" "steady" "stern" "strict" "surly" "suspicious" "talkative" "thoughtful" "tight" "vain" "verbal" "violent" "warm" "wild" "wise"
"active" 0 0 0 2 1 1 0 0 0 0 1 0 0 0 1 0 3 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 2 1 0 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 3 0 1 2 0 0 1 0 1 1 0 0 0 0 0 2 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
"affected" 0 0 1 2 0 2 0 0 0 0 0 0 1 1 3 0 1 1 1 0 0 0 0 0 0 2 1 2 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 2 0 2 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 1 2 0 2 0 0 0 0 1 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 3 0 0 1 0 2 0
"affectionate" 0 1 0 1 1 2 1 1 0 0 1 0 0 1 4 2 3 1 0 1 0 0 0 1 1 0 1 0 0 0 2 0 0 0 1 1 0 0 0 1 0 2 0 1 0 3 0 1 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 3 0 0 0 2 3 1 0 1 1 0 2 1 2 1 0 0 1 0 1 1 2 1 2 0 0 0 0 0 1 1 0 1 1 0 1 2 0 0 0
"agreeable" 2 2 1 0 4 0 1 1 0 0 5 2 2 1 7 5 5 2 0 1 0 1 2 0 0 3 5 0 1 1 2 0 1 2 2 0 0 2 2 2 0 0 1 2 1 0 3 1 0 2 1 1 1 2 1 3 2 2 1 0 0 2 3 1 1 3 1 0 4 7 0 1 4 3 1 1 1 7 8 0 0 1 2 0 2 8 2 0 1 1 1 3 0 1 1 0 1 2 1 0 2 2 3 0 1 1 1 1 0 3 3 2 0
"amiable" 1 0 1 4 0 1 2 0 0 4 1 2 3 0 4 2 3 0 1 1 0 0 2 0 0 0 4 1 0 1 1 1 0 0 1 1 0 3 1 4 0 0 1 0 1 0 1 2 0 1 1 0 1 1 1 1 1 2 0 0 0 2 1 2 1 3 1 0 1 2 1 1 1 5 1 1 0 3 2 0 0 0 2 1 3 3 1 0 1 0 0 1 1 0 0 0 3 1 1 1 0 0 0 0 0 1 2 1 0 1 1 0 1
"anxious" 1 2 2 0 1 0 2 0 2 1 3 1 3 1 3 2 6 1 0 0 0 0 1 1 2 2 4 2 0 2 2 1 1 3 0 0 1 0 2 2 0 0 1 1 1 1 1 3 2 2 1 0 0 1 1 3 0 1 0 1 1 2 3 1 2 0 0 0 1 4 1 2 1 4 3 1 1 5 5 1 1 3 4 4 1 4 1 0 2 0 2 1 2 8 1 4 1 3 2 1 2 1 0 0 0 1 0 0 0 3 5 1 4
"awkward" 0 0 1 1 2 2 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 2 1 1 1 0 1 0 2 0 1 1 0 1 0 0 1 1 1 2 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 2 3 0 0 0 1 0 0 0 2 2 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"benevolent" 0 0 1 1 0 0 1 0 1 0 1 0 0 0 2 1 2 0 1 3 0 0 0 0 0 1 2 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 1 2 0 1 0 0 0 0 1 0 0 0 2 2 1 0 1 0 0 0 3 2 1 0 1 4 1 0 2 0 0 1 0 1 1 0 2 0 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0
"boisterous" 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 1 0 0 1 2 0 0 0 0 1 2 1 0 0 0 0 1 0 2 0 1 1 0 1 2 0 3 1 1 1 0 1 1 0 2 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 3 1 1 0
"bold" 0 0 0 0 4 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 3 1 0 1 0 0 0 2 1 0 1 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 1
"bright" 1 0 1 5 1 3 1 1 0 1 0 3 1 0 3 4 12 1 1 3 2 1 0 1 2 2 5 1 0 0 4 2 1 1 0 0 1 3 3 1 0 1 0 3 2 0 3 5 3 0 2 0 2 1 3 0 1 1 0 1 1 1 0 1 0 2 1 0 4 5 2 0 1 2 2 1 0 4 6 0 1 1 3 3 4 4 1 0 3 1 2 3 1 1 1 2 2 1 1 0 0 1 0 0 1 0 0 1 0 2 5 5 1
"calm" 0 0 0 2 2 1 0 0 0 1 3 0 2 0 1 1 1 1 0 1 0 2 0 0 0 1 3 0 0 1 1 0 0 1 0 1 0 0 1 1 0 2 0 1 1 0 1 2 1 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 2 2 1 1 2 1 0 0 0 3 3 1 0 0 3 1 2 0 0 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 1 3 0 3 0
"careful" 0 1 0 2 3 3 0 0 0 0 1 2 0 1 4 2 2 0 1 0 1 0 1 0 0 1 2 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 1 2 1 0 1 2 0 0 0 1 2 0 1 0 1 1 1 1 0 2 2 0 0 5 2 0 2 0 8 1 0 0 6 5 2 0 1 2 2 1 4 0 0 0 1 0 1 1 1 1 1 2 0 2 2 1 0 0 0 0 1 0 0 0 0 1 0 2
"cautious" 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 2 1 0 1 0 1 0 1 0 3 1 0 0 4 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 2 0 0 0 0 0 2 0 1 1
"certain" 1 3 4 7 4 3 0 2 0 0 3 1 4 1 0 4 6 0 2 1 0 1 1 1 1 8 8 1 2 1 1 0 1 2 2 1 2 4 1 0 2 1 1 1 0 1 0 2 2 0 1 2 1 0 3 1 1 0 0 2 0 1 2 1 0 2 1 0 2 6 0 4 3 5 2 1 0 11 7 1 1 1 6 1 4 8 2 0 2 0 1 4 0 3 4 1 4 1 2 0 1 1 2 0 2 1 1 1 1 6 4 2 1
"cheerful" 0 0 2 5 2 2 0 1 2 1 4 1 2 0 4 0 5 0 1 2 1 0 2 0 0 3 4 1 0 0 2 2 0 1 1 1 0 0 2 1 1 1 0 2 0 1 2 3 1 1 0 1 1 1 1 0 3 1 2 1 0 0 0 1 1 1 1 0 4 6 4 1 1 2 2 0 0 4 7 1 1 1 0 4 0 7 2 1 0 0 1 4 0 2 0 3 4 1 1 0 1 1 1 0 2 1 0 1 2 3 4 3 2
"cold" 3 1 3 5 3 6 1 2 1 1 12 1 2 1 6 5 0 2 0 5 2 3 1 2 4 6 11 1 1 2 7 2 2 2 1 2 2 4 2 2 1 5 2 3 2 0 4 5 3 0 1 1 1 1 4 2 1 2 1 0 1 1 3 5 4 3 2 0 5 16 5 2 6 4 4 0 0 9 7 2 0 1 6 5 5 13 1 0 7 3 0 2 3 7 4 5 10 1 0 0 1 1 1 1 2 1 1 4 1 5 10 5 2
"complicated" 0 1 1 2 0 1 1 0 1 0 1 1 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 2 0 0 0 0 1 1 0 1 1 0 2 0 2 2 0 0 1 0 0 4 0 0 0 0 0 0 0 1 2 0 1 0 1 2 0 0 1 1 0 0 1 0 2 1 0 0 0 0 1 1 2 0 0 0 0 0 2 0 0 5 1 0 1
