"active" "affectionate" "agreeable" "amiable" "anxious" "calm" "capable" "careful" "certain" "cheerful" "civil" "clever" "cold" "constant" "cruel" "deceitful" "deep" "dependent" "determined" "dignified" "distant" "dull" "eager" "earnest" "elegant" "excessive" "fearful" "foolish" "frank" "friendly" "generous" "gentle" "hasty" "honest" "ignorant" "impatient" "impertinent" "independent" "indifferent" "intimate" "invariable" "jealous" "kind" "lively" "narrow" "natural" "nervous" "noisy" "particular" "pleasant" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "restless" "selfish" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "steady" "thorough" "unobtrusive" "vain" "violent" "warm" "wild"
"active" 0 0 1 3 2 1 0 0 2 1 1 0 1 4 0 0 0 0 1 1 0 0 0 2 1 1 1 1 0 1 0 1 0 0 0 1 1 0 2 0 0 0 1 0 0 2 0 0 1 0 2 0 0 2 0 0 2 1 0 2 1 2 2 2 1 2 0 0 0 0 1 2 0
"affectionate" 0 0 2 5 0 3 4 0 7 1 2 2 4 1 0 2 0 2 1 2 0 1 4 0 2 0 1 1 1 0 2 1 0 2 1 2 0 2 2 1 1 0 2 3 1 5 1 0 6 1 4 0 3 1 3 1 2 0 1 3 0 5 1 2 0 0 1 0 1 2 2 1 1
"agreeable" 1 2 0 2 4 0 1 2 4 1 6 2 4 3 1 0 0 0 1 0 1 4 3 2 3 3 0 1 1 1 0 2 0 0 3 0 2 2 1 1 2 0 2 1 1 4 0 2 6 3 0 0 0 1 2 0 0 0 0 5 1 6 1 0 0 4 0 1 0 0 2 0 0
"amiable" 3 5 2 0 1 0 3 0 3 1 3 1 4 3 1 0 0 0 2 0 0 0 4 3 1 0 1 2 0 0 1 1 0 0 1 1 0 2 2 0 0 0 0 1 1 5 1 0 4 1 3 0 1 0 2 0 1 0 3 2 1 3 3 2 0 0 2 0 1 0 3 2 1
"anxious" 2 0 4 1 0 2 4 1 4 1 3 0 4 4 1 0 0 1 3 0 3 3 1 4 1 0 1 1 0 3 2 0 1 2 0 3 1 0 1 1 0 0 5 0 0 6 1 0 10 3 2 1 2 2 1 2 4 2 1 4 1 6 6 3 2 2 2 0 0 2 5 2 0
"calm" 1 3 0 0 2 0 0 0 4 2 0 1 3 1 0 1 1 1 3 2 1 0 0 2 1 0 3 0 0 2 0 1 0 1 0 0 0 0 1 3 0 0 1 2 0 2 0 1 2 1 0 1 2 1 2 1 4 0 0 1 1 4 2 2 1 1 2 1 1 1 1 0 0
"capable" 0 4 1 3 4 0 0 0 4 1 0 0 4 5 4 2 1 0 1 1 2 1 1 4 1 0 1 0 1 1 1 3 2 2 0 3 0 3 3 1 0 0 1 2 1 6 1 0 8 1 2 2 1 2 3 0 2 1 2 2 2 5 3 2 0 0 1 0 1 1 2 1 0
"careful" 0 0 2 0 1 0 0 0 2 0 0 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 2 1 0 1 0 0 2 0 0 1 0 1 0 0 0 1 1 1 1 3 1 0 0 0 0 0 0 0 1 0 0
"certain" 2 7 4 3 4 4 4 2 0 2 1 1 1 5 1 2 0 3 3 2 2 2 3 1 2 0 1 1 2 1 0 1 1 2 0 3 1 2 3 4 0 3 3 2 1 6 0 0 8 4 4 1 2 2 3 0 1 1 2 3 0 6 8 2 0 1 1 1 0 2 2 3 3
"cheerful" 1 1 1 1 1 2 1 0 2 0 1 0 3 2 0 0 2 1 1 0 0 1 1 2 0 0 0 0 0 0 1 0 0 1 0 2 0 2 1 1 0 0 2 0 2 0 0 1 4 0 2 0 0 1 3 2 1 1 2 5 2 6 1 2 2 1 2 2 0 0 3 2 0
"civil" 1 2 6 3 3 0 0 0 1 1 0 1 2 2 0 0 0 0 1 0 0 2 1 1 1 2 0 1 1 2 0 2 0 0 2 1 2 1 0 0 1 0 2 0 1 2 1 1 3 2 0 0 0 1 2 0 0 0 0 2 0 3 1 0 0 2 0 1 0 0 3 1 0
"clever" 0 2 2 1 0 1 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1 2 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 2 0 2 0 0 0 0 1 1 0 0 0 0 0
"cold" 1 4 4 4 4 3 4 1 1 3 2 0 0 3 0 0 1 1 1 1 3 1 5 3 1 1 0 1 0 2 1 2 0 1 1 0 0 3 2 1 1 0 2 2 2 4 2 1 8 2 0 0 1 3 2 0 2 1 2 3 2 4 2 1 0 1 1 0 1 1 4 2 0
"constant" 4 1 3 3 4 1 5 1 5 2 2 2 3 0 0 0 1 0 3 0 1 0 0 4 1 2 0 1 1 1 1 2 1 2 1 3 3 2 4 3 2 1 2 2 2 3 0 0 8 1 2 2 3 3 1 0 2 0 1 4 1 5 4 3 0 1 1 2 0 0 2 2 1
"cruel" 0 0 1 1 1 0 4 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 3 0 0 1 0 0 0 0 1 1 0 1 1 0 2 0 1 0 0 0 0 0 3 1 0 2 1 1 1 0 0 2 1 1 2 1 1 1 3 1 1 0 0 0 0 0 1 0 1 0
"deceitful" 0 2 0 0 0 1 2 0 2 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 2 0 1 0 0 0 0 1 0 0 0 0
"deep" 0 0 0 0 0 1 1 1 0 2 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 0 0 0 1 0 2 0 1 0 0 1 0 0 1 0 0 1 0 2 1 2 0 0 0 1 0 0 1 0 0
"dependent" 0 2 0 0 1 1 0 1 3 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0 2 1 0 0 0 0 0 0 0 1 0 0
"determined" 1 1 1 2 3 3 1 1 3 1 1 0 1 3 0 1 1 0 0 1 1 1 3 0 1 0 1 2 0 1 0 1 1 1 1 0 0 0 1 1 0 0 2 0 0 1 0 0 3 3 1 1 2 0 0 1 1 0 2 1 0 5 1 2 1 0 0 0 1 1 1 1 0
"dignified" 1 2 0 0 0 2 1 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0
"distant" 0 0 1 0 3 1 2 0 2 0 0 0 3 1 1 0 0 1 1 0 0 0 2 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 4 0 0 3 2 1 0 1 2 0 0 1 0 1 0 1 2 2 1 0 0 0 0 0 0 1 2 0
"dull" 0 1 4 0 3 0 1 0 2 1 2 0 1 0 0 1 0 0 1 0 0 0 3 1 0 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 2 2 1 3 0 2 3 1 2 0 0 1 1 0 1 0 1 1 0 6 1 2 0 2 0 0 0 0 1 1 0
"eager" 0 4 3 4 1 0 1 1 3 1 1 1 5 0 0 1 0 1 3 0 2 3 0 1 2 1 2 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 2 0 4 2 3 1 1 0 1 1 1 1 5 3 1 5 2 0 1 0 1 0 1 0 2 1 0
