"abrupt" "active" "affectionate" "agreeable" "anxious" "appreciative" "bitter" "boastful" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "clumsy" "coarse" "cold" "compassionate" "confident" "confused" "congenial" "cool" "courageous" "cruel" "curious" "dainty" "deep" "determined" "direct" "distant" "dull" "eager" "earnest" "elegant" "energetic" "expressive" "faithful" "fearful" "fervent" "fierce" "formal" "friendly" "gentle" "gloomy" "gracious" "harsh" "honest" "ignorant" "impatient" "indifferent" "intimate" "kind" "live" "loud" "merciful" "methodical" "moderate" "moral" "murderous" "narrow" "natural" "nervous" "observant" "original" "particular" "passionate" "peaceful" "persistent" "pleasant" "polite" "practical" "profound" "proper" "proud" "quick" "quiet" "reproachful" "responsible" "restless" "rough" "rugged" "shrewd" "silent" "simple" "slow" "social" "solemn" "stable" "steady" "stern" "studious" "submissive" "sunny" "thorough" "thoughtful" "timid" "vain" "vigorous" "violent" "warm" "wild" "wary" "wise" "worldly" "vague"
"abrupt" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
"active" 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"affectionate" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0
"agreeable" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 2 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 2 0 1 1 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 1 2 2 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 2 0 0 1 0
"anxious" 0 0 1 0 0 1 0 0 0 0 4 0 0 2 0 2 3 0 0 1 4 0 2 0 0 1 0 0 3 0 3 0 0 0 2 0 2 0 1 0 0 0 1 1 2 1 1 1 2 0 1 0 0 0 0 5 1 1 0 1 0 2 0 1 4 0 1 2 2 1 0 2 4 0 0 1 1 0 2 1 0 0 1 1 0 3 3 1 0 0 0 0 1 0 2 1 0 0 1 0 0 0 2 0 2 0 0 0 0
"appreciative" 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"bitter" 0 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 1 1 1 2 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0
"boastful" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"bold" 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0
"brave" 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 3 0 0 0 0
