"" "clownish" "curious" "eager" "effeminate" "humble" "ignorant" "narrow" "negligent" "simple" "dull" "passionate" "thorough" "spirited" "merciful" "rough" "zealous" "simples"
"clownish" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"curious" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"eager" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"effeminate" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"humble" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ignorant" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"narrow" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"negligent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"simple" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"dull" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"passionate" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"thorough" 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"spirited" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"merciful" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"rough" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"zealous" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"simples" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
