"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "awake" "awful" "bad" "beautiful" "blind" "bold" "bright" "busy" "calm" "certain" "charming" "cheerful" "childish" "cold" "comfortable" "cruel" "curious" "delighted" "difficult" "excellent" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "graceful" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "hopeful" "innocent" "kind" "little" "lively" "lonely" "lovely" "modest" "natural" "nice" "old" "open" "original" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "proper" "proud" "quiet" "remarkable" "rich" "rough" "sad" "satisfied" "sensible" "serious" "short" "social" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thoughtful" "tired" "tough" "uncomfortable" "unhappy" "unusual" "violent" "warm" "weak" "well" "worthy" "young" "youthful"
"affectionate" 0 5 0 6 0 0 1 2 1 4 0 0 5 0 2 3 0 0 0 3 0 0 0 0 1 1 0 2 1 0 1 2 0 5 5 11 0 1 0 9 1 5 2 3 0 1 3 14 1 3 1 0 3 1 9 1 0 2 0 0 8 1 1 2 0 3 5 0 1 1 1 0 1 0 5 0 3 1 0 5 0 0 1 0 2 0 2 1 1 1 1 1 1 11 1
"afraid" 5 0 4 15 7 4 4 4 10 14 2 6 15 4 2 14 4 9 5 11 1 4 3 4 7 5 2 10 4 2 6 8 4 11 18 52 1 6 3 43 5 17 10 7 1 10 10 60 4 6 3 2 12 4 46 15 5 3 4 6 29 3 8 3 2 14 13 3 6 6 5 5 6 6 24 1 12 10 5 10 4 6 6 6 4 5 3 6 7 6 5 2 4 38 2
"agreeable" 0 4 0 4 3 2 0 0 2 9 0 1 6 1 1 7 0 2 0 4 1 0 2 3 2 3 4 3 1 2 1 0 4 2 3 15 1 1 1 15 4 5 1 4 1 4 3 18 1 0 2 1 4 0 14 6 0 5 2 2 5 2 2 3 0 7 1 1 2 1 0 1 2 0 7 1 2 5 2 3 1 3 2 0 1 1 3 3 3 1 2 0 3 10 2
"alone" 6 15 4 0 4 4 3 3 8 14 3 4 9 1 4 8 6 4 1 14 0 5 1 5 5 5 2 8 8 5 3 1 4 10 9 40 1 2 4 37 7 15 12 4 1 11 6 54 2 6 1 2 12 0 39 5 4 10 4 5 19 3 2 3 2 22 11 4 5 11 3 3 3 4 11 4 8 10 1 7 1 3 6 2 8 5 5 5 3 1 1 2 1 27 1
"angry" 0 7 3 4 0 4 0 1 3 6 1 4 6 4 0 5 3 2 1 7 1 4 1 1 2 2 1 2 3 2 0 4 2 2 5 20 0 1 4 20 2 6 5 2 1 3 1 19 2 2 0 1 4 2 21 3 2 3 0 2 12 6 3 3 1 6 3 1 3 2 5 4 2 0 11 0 7 10 6 3 0 2 1 2 2 0 2 2 3 5 4 3 1 14 1
"anxious" 0 4 2 4 4 0 0 1 3 2 0 3 4 2 1 3 0 2 2 5 0 2 3 3 1 2 1 3 2 0 3 2 2 1 4 19 3 3 3 22 2 4 5 3 2 2 3 22 1 1 2 1 5 1 19 4 2 3 2 0 11 4 0 6 2 6 3 0 3 0 3 4 1 0 9 0 3 2 4 5 0 4 0 2 1 1 1 1 0 3 6 1 1 17 1
"awake" 1 4 0 3 0 0 0 2 2 3 1 2 4 1 2 2 0 2 2 5 1 1 1 0 2 1 0 1 4 1 0 2 1 1 2 12 0 1 1 8 1 0 1 0 1 2 1 14 0 1 0 1 3 1 12 4 0 1 3 1 3 1 1 1 1 3 2 0 1 2 1 1 0 0 4 0 4 3 1 5 0 2 2 3 3 1 2 2 2 1 3 1 0 8 0
"awful" 2 4 0 3 1 1 2 0 3 1 1 2 5 1 2 2 3 0 4 6 2 1 0 0 1 3 1 3 3 0 3 0 0 1 8 15 1 1 1 17 1 6 6 1 1 4 3 21 2 2 0 0 5 1 19 7 1 1 1 3 8 0 2 2 0 3 2 2 3 2 2 0 1 2 9 2 6 3 4 6 5 2 0 0 1 0 1 2 3 1 7 1 0 15 1
"bad" 1 10 2 8 3 3 2 3 0 8 1 4 5 5 2 5 1 4 1 11 0 0 3 3 1 2 3 0 5 3 1 0 2 3 9 27 1 2 2 32 6 7 10 3 1 4 3 32 4 3 0 0 2 2 30 6 3 5 3 0 17 2 4 2 3 11 4 3 8 2 3 2 0 0 20 2 6 1 2 7 4 6 2 1 3 4 3 3 3 2 4 5 1 24 2
"beautiful" 4 14 9 14 6 2 3 1 8 0 2 6 16 8 4 13 6 7 3 16 0 4 5 3 3 4 4 5 5 4 2 3 0 13 16 43 7 2 4 47 10 21 10 5 2 11 9 55 2 5 5 5 13 4 42 11 1 6 8 3 22 2 5 5 4 19 12 8 10 5 5 3 5 3 20 1 11 14 5 15 3 5 9 4 3 3 7 5 3 6 6 5 4 35 7
"blind" 0 2 0 3 1 0 1 1 1 2 0 2 4 3 1 0 0 0 1 5 1 0 2 0 3 1 0 1 2 0 1 1 1 2 4 8 0 1 1 14 1 3 4 1 0 1 5 20 1 3 1 1 2 0 12 3 1 2 2 1 7 0 0 0 1 5 6 3 1 2 1 1 1 0 6 1 7 3 1 2 0 2 1 0 1 1 0 0 1 1 2 0 0 8 1
"bold" 0 6 1 4 4 3 2 2 4 6 2 0 5 4 1 2 0 1 0 5 3 2 3 2 3 2 3 1 4 2 2 2 1 4 1 16 0 1 1 19 3 3 5 2 3 4 2 22 2 3 2 3 3 1 21 5 2 2 5 3 10 2 0 2 0 9 1 0 6 1 1 3 1 1 9 0 5 6 3 4 1 0 2 0 0 0 1 1 3 1 3 0 1 16 2
"bright" 5 15 6 9 6 4 4 5 5 16 4 5 0 10 4 15 3 8 4 12 2 4 1 5 6 4 4 11 6 3 4 2 3 13 19 42 2 3 5 44 5 19 10 8 5 10 11 56 3 8 2 2 5 3 43 10 1 6 7 5 21 2 9 6 4 13 16 4 8 4 5 3 4 1 19 3 13 11 10 11 3 4 4 5 0 3 3 6 2 8 9 3 6 33 3
"busy" 0 4 1 1 4 2 1 1 5 8 3 4 10 0 3 5 1 5 2 8 1 4 2 1 2 2 0 3 1 2 3 2 3 6 9 18 1 3 1 22 2 11 3 1 1 4 3 29 3 2 2 0 5 1 22 6 3 1 4 0 12 2 3 4 3 10 10 1 7 4 0 2 0 2 9 0 7 5 3 5 4 1 4 2 2 0 3 0 0 1 4 4 2 13 2
"calm" 2 2 1 4 0 1 2 2 2 4 1 1 4 3 0 5 2 3 1 5 1 3 1 1 0 1 0 2 2 2 1 2 0 3 2 10 1 1 0 14 2 6 0 3 2 2 2 17 1 1 2 2 1 1 11 3 0 0 4 2 7 0 3 1 0 3 6 1 2 0 1 0 1 2 2 0 3 2 0 5 2 1 2 1 0 1 2 2 2 0 2 2 1 8 3
"certain" 3 14 7 8 5 3 2 2 5 13 0 2 15 5 5 0 1 5 2 13 0 1 1 3 3 4 7 11 4 3 3 3 4 8 18 43 0 6 4 39 8 11 9 5 2 6 6 52 3 4 2 2 9 1 40 12 0 3 9 2 18 3 5 7 2 13 8 4 4 2 4 4 2 2 15 4 5 14 3 7 3 2 8 0 1 4 5 2 4 3 8 4 3 28 2
"charming" 0 4 0 6 3 0 0 3 1 6 0 0 3 1 2 1 0 0 1 8 1 2 1 4 1 1 1 2 3 0 1 1 0 1 4 13 5 2 1 11 4 3 2 0 1 3 3 17 0 0 2 1 3 2 10 6 1 3 0 2 7 0 1 1 0 5 2 3 2 0 0 1 1 2 8 0 3 2 1 3 3 2 0 2 3 0 1 3 0 0 2 1 0 8 1
"cheerful" 0 9 2 4 2 2 2 0 4 7 0 1 8 5 3 5 0 0 2 7 0 2 0 0 1 3 1 3 1 3 3 1 0 4 9 16 1 0 4 20 1 6 2 2 3 5 4 21 2 1 2 2 4 1 20 9 1 1 2 2 9 2 5 5 1 4 4 0 0 3 2 0 2 3 4 1 4 5 2 6 2 2 2 1 0 2 1 2 1 4 3 2 2 11 3
"childish" 0 5 0 1 1 2 2 4 1 3 1 0 4 2 1 2 1 2 0 4 0 2 1 0 0 2 0 2 2 1 1 1 0 2 4 11 0 0 0 11 1 6 7 0 2 4 3 16 2 1 0 2 2 2 14 7 0 1 1 0 5 2 1 0 1 2 4 3 3 0 2 1 0 0 6 0 7 4 0 5 2 4 3 3 0 2 0 2 0 2 3 0 2 11 1
"cold" 3 11 4 14 7 5 5 6 11 16 5 5 12 8 5 13 8 7 4 0 2 6 4 3 2 7 4 8 8 2 4 4 4 12 11 38 4 3 2 46 11 10 16 2 2 9 6 54 3 7 2 3 10 7 45 16 4 3 3 4 25 5 4 5 2 16 13 3 8 6 3 5 1 2 18 6 16 13 5 11 5 6 6 3 5 5 5 5 2 11 9 6 3 34 1
"comfortable" 0 1 1 0 1 0 1 2 0 0 1 3 2 1 1 0 1 0 0 2 0 0 3 3 1 2 2 5 5 0 1 2 4 0 3 13 0 3 1 11 0 5 0 3 0 2 4 15 1 0 0 1 3 1 12 1 2 1 2 2 4 0 0 4 0 1 1 3 1 2 1 1 1 2 6 0 3 1 2 2 1 2 0 0 1 1 1 2 1 3 3 1 1 13 0
"cruel" 0 4 0 5 4 2 1 1 0 4 0 2 4 4 3 1 2 2 2 6 0 0 0 1 1 0 0 0 1 0 0 0 1 2 4 13 1 0 0 15 4 4 6 1 3 4 4 13 0 3 0 1 5 1 11 2 2 2 1 0 6 1 2 3 0 6 5 0 3 0 0 2 1 2 2 1 4 5 0 3 0 2 3 2 1 1 2 0 0 2 4 1 0 6 2
"curious" 0 3 2 1 1 3 1 0 3 5 2 3 1 2 1 1 1 0 1 4 3 0 0 1 3 1 2 6 5 0 0 1 0 2 3 14 1 4 1 15 1 7 1 1 3 3 6 20 0 0 0 4 4 1 15 5 1 2 2 1 7 0 2 1 0 6 5 1 1 1 2 3 2 0 5 0 6 5 4 3 0 4 1 1 0 0 0 2 2 3 3 2 1 10 1
"delighted" 0 4 3 5 1 3 0 0 3 3 0 2 5 1 1 3 4 0 0 3 3 1 1 0 1 1 2 6 5 4 0 0 5 2 5 13 1 3 2 17 1 8 0 3 1 1 7 20 2 0 2 0 3 0 16 3 1 3 2 2 4 1 1 8 4 4 3 3 3 3 1 1 3 0 10 1 2 1 1 2 2 1 1 0 1 1 3 2 1 3 3 0 3 11 1
"difficult" 1 7 2 5 2 1 2 1 1 3 3 3 6 2 0 3 1 1 0 2 1 1 3 1 0 2 2 2 1 0 1 1 2 2 3 13 0 1 2 15 1 6 6 2 3 3 1 17 2 2 1 1 3 1 16 4 1 1 5 4 11 0 2 1 0 1 2 0 0 4 0 1 1 1 6 1 2 5 3 0 1 3 0 1 1 1 0 1 1 1 3 1 1 7 1
