"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awkward" "bad" "beautiful" "bold" "capable" "certain" "charming" "cheerful" "comfortable" "concerned" "confused" "cruel" "curious" "dangerous" "delighted" "delightful" "dependent" "determined" "devoted" "difficult" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "helpless" "ignorant" "important" "innocent" "interested" "interesting" "irritated" "kind" "little" "lively" "loud" "lovely" "modest" "natural" "old" "open" "pleased" "polite" "poor" "pretty" "private" "productive" "proper" "proud" "quiet" "respectful" "ridiculous" "rude" "satisfied" "sensible" "serious" "short" "smart" "strange" "strong" "stupid" "surprised" "sweet" "terrible" "thankful" "thoughtful" "tired" "unhappy" "unlucky" "violent" "warm" "weak" "well" "wonderful" "worthy" "young"
"affectionate" 0 1 1 0 0 0 2 1 0 0 1 0 2 0 1 0 0 0 2 0 1 0 1 0 0 0 1 2 2 1 1 0 1 0 2 0 0 0 5 2 6 3 1 1 1 1 0 0 2 1 4 2 0 0 0 2 2 1 2 0 2 0 2 0 1 1 1 0 1 0 1 1 0 3 0 0 1 0 3 2 0 2 0 0 1 0 1 0 2 0 0 1 3
"afraid" 1 0 2 4 4 0 9 0 1 0 2 0 1 2 0 0 3 1 3 2 0 2 1 0 3 0 6 1 2 3 2 1 5 1 3 2 2 4 12 0 15 6 0 1 0 0 2 0 0 2 10 1 2 0 0 1 5 4 7 2 7 2 2 2 3 1 2 0 4 1 3 3 2 6 1 3 1 2 6 2 0 0 0 2 4 1 5 1 3 0 1 1 12
"agreeable" 1 2 0 2 2 0 4 1 2 0 1 1 0 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 2 1 0 2 2 1 2 1 3 6 5 1 8 2 1 3 2 0 0 0 1 2 4 2 0 0 0 0 1 4 7 0 1 3 3 0 0 0 0 2 2 2 3 2 0 6 1 2 0 0 2 3 1 1 0 2 1 0 3 0 0 0 0 0 5
"alone" 0 4 2 0 3 1 5 2 2 1 2 0 1 3 2 1 2 0 7 1 1 1 1 2 3 2 6 2 1 2 2 3 3 2 2 6 2 8 17 5 17 7 1 4 3 0 2 1 0 3 12 0 2 0 1 2 5 2 9 1 7 2 1 2 3 3 1 0 2 1 4 6 1 9 0 7 2 2 7 5 2 1 0 1 6 0 2 0 3 1 0 4 11
"angry" 0 4 2 3 0 1 6 2 2 2 2 2 1 1 1 1 2 2 6 0 2 1 2 0 2 0 1 2 0 2 1 1 4 4 2 1 1 9 12 2 12 4 0 1 1 0 0 0 0 2 9 0 6 1 0 1 7 1 4 4 2 4 1 2 5 1 5 1 3 3 6 2 2 5 3 1 0 1 8 1 1 0 0 4 1 0 4 0 1 1 0 3 13
"anxious" 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 2 0 2 7 1 6 1 0 2 1 1 1 0 0 0 5 1 1 1 0 0 4 1 2 1 1 1 0 2 0 1 2 0 1 0 1 0 2 1 0 3 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 5
"ashamed" 2 9 4 5 6 1 0 3 4 0 4 3 6 2 2 0 2 2 6 1 0 1 1 0 4 2 5 5 4 2 3 1 8 2 3 3 3 9 21 2 26 7 1 7 4 0 2 0 1 3 12 3 3 0 2 2 7 7 11 3 9 2 3 1 0 4 1 3 5 1 5 7 4 17 1 5 2 2 10 6 0 1 1 4 4 1 5 1 3 3 3 0 10
"awkward" 1 0 1 2 2 0 3 0 0 2 1 1 0 0 1 1 0 0 2 0 0 0 1 0 0 0 0 1 1 0 3 1 0 3 0 0 0 0 5 1 6 1 1 3 1 0 0 1 1 2 3 1 2 0 1 0 1 1 2 0 2 2 0 0 0 1 2 0 0 0 1 2 0 2 0 1 0 0 2 3 0 0 0 1 3 0 1 0 1 1 1 0 6
"bad" 0 1 2 2 2 1 4 0 0 2 1 2 1 1 2 1 0 0 1 1 1 2 0 0 1 0 3 2 1 1 2 2 3 1 1 1 2 8 9 2 12 5 0 2 1 0 0 1 1 2 10 2 3 0 0 2 4 3 5 0 4 1 1 1 2 1 1 1 3 2 3 0 5 6 2 3 3 2 5 1 1 1 0 2 2 2 6 2 1 1 1 1 7
"beautiful" 0 0 0 1 2 0 0 2 2 0 2 0 1 2 1 0 0 0 0 1 1 2 2 0 2 1 0 1 2 1 4 1 0 1 0 3 0 5 6 2 5 4 0 2 0 0 0 0 1 2 4 0 2 3 3 0 1 0 2 0 1 2 1 0 1 0 2 0 0 0 1 2 1 1 0 1 0 0 4 2 1 0 0 1 1 1 1 0 1 1 1 0 6
"bold" 1 2 1 2 2 0 4 1 1 2 0 1 0 1 0 0 0 1 2 0 1 1 1 0 1 1 1 0 0 4 2 3 3 2 1 1 1 6 9 2 8 1 0 2 0 1 1 0 1 2 9 1 3 0 2 2 3 2 3 1 2 4 2 1 0 0 2 1 2 0 2 2 1 6 0 2 0 0 2 3 1 1 0 0 2 0 3 1 2 0 2 1 5
"capable" 0 0 1 0 2 0 3 1 2 0 1 0 2 0 0 2 0 1 3 0 0 2 0 0 1 0 0 3 0 0 2 0 0 1 1 3 0 3 4 3 6 1 0 2 1 0 0 0 0 2 5 1 0 0 1 2 3 1 1 2 2 1 1 0 1 0 0 2 4 0 2 0 2 3 0 3 1 0 3 0 0 0 0 1 3 0 1 0 2 1 1 1 7
"certain" 2 1 0 1 1 1 6 0 1 1 0 2 0 1 0 1 0 0 5 1 1 2 2 1 2 1 2 5 0 3 3 1 5 2 2 2 1 5 10 2 14 7 0 3 3 3 0 1 1 1 9 1 2 1 2 4 4 0 5 1 9 1 1 0 1 1 2 0 2 1 1 2 2 3 1 5 2 0 5 2 2 0 0 2 1 0 3 0 1 0 2 1 9
"charming" 0 2 1 3 1 0 2 0 1 2 1 0 1 0 1 0 0 1 3 1 0 1 1 0 1 0 2 2 0 1 1 0 1 1 1 0 1 3 8 1 9 3 1 2 2 0 0 0 0 2 5 0 1 3 1 0 3 1 2 0 3 1 1 1 1 2 0 0 1 0 2 4 2 1 1 1 3 1 5 2 0 0 1 2 0 1 0 1 3 0 0 1 3
"cheerful" 1 0 0 2 1 0 2 1 2 1 0 0 0 1 0 0 1 0 2 0 0 0 2 0 0 0 3 2 1 0 1 0 0 1 0 1 1 3 7 1 4 3 2 0 3 1 0 1 0 2 2 1 0 0 2 0 2 1 1 0 0 0 0 2 1 1 0 0 0 1 0 2 1 3 0 2 1 1 4 3 0 1 2 1 2 0 0 0 2 1 0 1 4
"comfortable" 0 0 0 1 1 0 0 1 1 0 0 2 1 0 0 0 0 0 3 0 0 1 0 0 2 0 0 2 0 0 2 1 0 2 1 1 0 1 3 0 4 0 0 1 0 0 0 1 1 0 2 0 0 0 0 1 3 0 1 2 3 1 0 0 1 1 0 2 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 2 0 0 4
"concerned" 0 3 0 2 2 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0 4 0 0 0 1 0 1 0 1 1 0 2 3 1 7 3 1 0 0 0 0 0 0 1 3 0 2 0 0 0 1 2 3 1 3 0 0 2 2 0 1 1 1 0 0 0 1 4 0 0 1 1 3 1 0 1 1 1 4 0 2 0 2 0 1 2 4
"confused" 0 1 1 0 2 0 2 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 2 0 0 1 2 0 1 1 2 7 3 4 0 1 2 2 0 1 0 0 1 6 0 4 1 0 0 2 2 0 0 4 2 1 0 2 0 1 0 3 0 2 1 3 4 1 3 1 0 3 1 1 0 2 3 3 1 0 1 3 1 2 0 7
"cruel" 2 3 0 7 6 3 6 2 1 0 2 3 5 3 2 3 2 1 0 0 0 2 1 0 2 0 3 4 0 1 2 3 7 2 2 4 1 5 21 1 22 7 2 2 2 2 2 2 0 2 16 1 1 4 4 1 7 2 5 3 8 4 1 3 6 4 4 2 3 3 4 4 3 6 1 4 6 2 8 4 0 2 1 0 6 1 5 0 6 1 0 5 16
"curious" 0 2 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 3 1 0 0 0 0 1 1 0 1 1 3 1 0 0 1 4 5 1 4 3 0 1 0 0 0 0 0 0 2 0 0 1 1 0 1 0 3 1 2 1 1 0 0 0 0 0 1 2 1 1 1 2 0 1 0 0 1 2 1 1 0 2 0 0 0 0 1 0 0 0 1
"dangerous" 1 0 0 1 2 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 3 2 1 5 2 0 1 0 2 0 0 2 0 3 0 1 0 1 2 2 0 3 0 1 0 2 1 2 0 0 0 0 0 1 1 0 2 0 1 1 1 2 0 1 1 0 1 2 0 0 0 2 0 0 0 3
"delighted" 0 2 1 1 1 0 1 0 2 2 1 2 2 1 0 1 0 0 2 3 0 0 1 0 2 0 0 3 1 0 1 2 2 1 1 3 1 4 5 2 6 2 0 1 0 0 0 0 0 1 3 0 1 2 1 1 4 0 4 0 3 1 1 1 1 0 1 0 2 1 0 2 2 3 0 1 1 1 3 2 1 1 0 1 1 1 2 0 2 0 0 0 5
"delightful" 1 1 1 1 2 0 1 1 0 2 1 0 2 1 2 0 1 0 1 1 0 1 0 0 0 0 2 0 0 2 1 0 0 3 1 2 1 3 3 1 5 3 0 1 0 0 0 0 0 1 1 0 0 2 2 0 4 1 3 0 3 1 0 1 3 0 1 0 1 0 2 5 1 3 0 0 1 1 5 1 0 0 1 2 0 0 3 0 2 1 0 0 4
"dependent" 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 3 1 0 0 0 0 2 0 0 1 1 3 1 1 1 0 2 0 0 0 0 3 0 0 0 1 2 1 0 1 0 1 0 1 0 2 0 0 0 0 0 1 2 0 1 0 2 1 0 0 2 1 0 0 0 2 0 1 0 1 0 0 1 3
"determined" 0 3 1 3 2 0 4 0 1 2 1 1 2 1 0 2 1 0 2 0 0 2 0 0 0 2 1 2 1 0 2 1 4 0 1 3 0 5 10 2 11 1 0 2 1 1 0 0 1 1 5 0 2 1 0 2 3 2 2 1 6 1 0 1 0 2 0 0 1 1 3 2 0 2 1 2 1 3 3 2 0 0 0 3 3 2 2 1 1 2 1 0 10
"devoted" 0 0 0 2 0 0 2 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 3 0 1 3 2 4 1 0 0 1 1 1 0 0 1 3 0 1 0 0 1 2 0 1 1 1 1 0 1 0 0 0 0 0 0 1 2 0 4 0 2 0 0 2 2 0 0 0 0 2 1 1 1 0 0 2 1 1
