"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "big" "blind" "bright" "busy" "careful" "certain" "charming" "clever" "cold" "comfortable" "cruel" "curious" "devoted" "difficult" "distinguished" "expressive" "fair" "faithful" "familiar" "fine" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "hopeful" "impatient" "important" "innocent" "interested" "kind" "little" "loud" "natural" "old" "open" "original" "patient" "plain" "pleasant" "pleased" "poor" "practical" "pretty" "private" "proper" "proud" "quiet" "remarkable" "rich" "ridiculous" "rough" "sensible" "short" "social" "strange" "strong" "surprised" "sweet" "tired" "unhappy" "violent" "warm" "weak" "well" "wise" "wonderful" "worthy" "young" "youthful"
"practical" 1 1 3 2 2 0 2 4 2 1 3 6 2 0 6 0 0 1 2 1 2 0 4 1 0 1 0 1 3 2 0 2 5 12 1 0 13 1 3 4 1 0 0 2 3 1 2 18 2 2 9 4 5 3 5 4 0 9 0 2 2 1 1 4 1 4 2 2 1 7 1 1 2 1 2 0 3 1 0 0 1 0 4 0 12 1
"pretty" 4 1 3 5 1 2 2 2 8 1 1 5 0 0 7 3 2 2 2 5 4 4 4 4 2 2 0 3 4 2 2 0 4 24 0 3 17 6 8 2 1 1 3 1 5 4 2 28 2 3 17 7 3 0 2 4 2 14 2 0 2 0 2 4 2 5 0 2 2 12 0 2 4 2 4 2 2 0 0 0 6 3 1 1 15 1
"private" 0 3 3 6 0 2 3 2 2 1 3 3 2 0 9 0 0 1 1 1 1 2 2 2 2 4 1 1 3 1 1 0 6 24 3 2 23 5 7 2 1 1 1 1 2 4 4 27 1 4 16 4 2 1 1 2 0 9 2 2 0 3 6 3 3 5 1 0 1 7 0 2 8 7 2 3 3 2 0 2 2 2 2 1 15 2
"proper" 0 4 4 4 4 5 2 3 3 1 0 5 2 3 7 1 2 3 2 2 0 2 2 3 3 3 2 3 3 3 1 0 6 19 6 2 15 2 2 1 2 0 2 1 2 3 7 22 1 3 18 7 1 2 3 3 3 7 1 0 3 0 3 6 1 1 4 0 4 11 1 3 5 5 4 1 2 2 1 3 2 1 4 1 12 3
"proud" 5 10 6 8 7 8 5 4 7 2 1 7 4 1 11 1 2 2 3 3 2 4 9 3 3 7 3 2 11 3 3 4 8 34 3 1 26 6 11 2 2 2 2 1 3 2 4 39 3 6 33 7 3 1 4 2 3 25 1 2 6 3 0 6 5 6 2 2 3 13 2 7 5 5 4 5 4 1 1 7 9 2 4 2 16 2
"quiet" 3 11 7 13 7 12 6 4 15 5 3 12 6 5 14 3 2 8 5 3 7 3 5 5 6 5 4 6 4 4 6 4 17 52 4 4 40 3 10 11 6 3 3 2 5 1 13 62 3 10 42 10 4 4 10 10 4 33 4 4 3 6 6 0 6 7 2 5 5 10 3 9 15 6 2 3 3 4 3 8 4 3 7 4 26 4
"remarkable" 0 2 3 4 3 2 3 3 2 1 0 0 1 3 4 2 0 3 0 4 2 0 1 3 2 2 1 1 3 2 1 2 4 19 1 1 18 0 5 3 0 0 1 5 4 3 2 21 1 3 17 4 3 1 2 4 2 8 1 2 3 1 5 6 0 3 0 0 4 10 1 1 8 2 3 1 2 1 1 4 1 3 1 0 9 2
"rich" 5 6 6 6 2 4 2 0 7 1 0 10 1 0 11 1 1 3 4 1 4 3 3 1 5 6 2 2 10 3 3 2 10 32 5 2 26 8 8 4 5 3 1 2 4 3 4 39 4 6 21 7 8 3 5 7 2 14 4 5 5 1 6 7 3 0 2 2 1 11 2 6 6 3 1 2 3 3 1 4 5 2 8 5 16 1
"ridiculous" 1 2 4 2 1 0 2 5 1 2 3 1 2 1 4 2 2 2 0 3 2 0 5 1 0 2 1 1 5 2 1 0 4 14 1 1 14 2 2 3 1 1 0 1 3 3 0 15 0 3 6 2 0 0 3 0 1 6 2 0 1 4 2 2 0 2 0 3 2 6 1 0 2 1 3 1 1 1 1 4 1 1 2 1 8 3
"rough" 2 5 1 3 0 0 0 2 3 1 0 5 1 1 4 1 2 2 0 1 2 1 3 0 1 1 0 1 5 1 3 0 5 13 0 1 13 0 4 3 0 0 2 0 2 0 1 16 0 2 8 3 1 3 4 2 0 7 2 2 0 0 2 5 0 2 3 0 1 5 0 2 5 1 1 1 1 2 6 1 1 0 4 0 4 1
"sensible" 1 5 3 3 4 1 3 1 2 2 1 2 0 2 7 2 4 3 6 3 2 2 4 1 4 5 2 0 2 2 5 3 6 25 5 0 18 6 5 3 2 0 2 1 2 4 7 24 1 2 17 5 1 0 4 4 3 12 1 2 1 4 3 5 4 1 2 1 0 10 2 4 6 3 0 3 1 4 1 4 6 3 3 3 9 1
"short" 6 11 9 12 10 8 10 10 11 5 4 12 5 7 28 3 9 6 8 8 11 8 11 6 10 11 7 5 8 5 5 4 17 66 4 2 60 7 13 12 6 3 6 3 6 6 13 81 7 17 57 17 6 5 11 12 7 32 7 12 7 11 13 10 10 11 6 5 10 0 4 8 25 12 6 10 8 7 2 7 13 6 13 7 36 4
"social" 1 1 1 2 2 1 3 1 1 1 2 0 0 1 6 0 1 1 0 1 4 0 3 1 1 2 3 2 2 3 0 2 5 13 0 0 11 3 1 2 1 0 0 0 0 0 3 13 0 0 9 1 1 1 0 2 2 5 1 0 0 1 2 3 1 2 1 0 2 4 0 4 4 2 0 2 0 0 0 1 1 0 1 1 8 0
"strange" 1 11 2 6 5 5 3 3 6 2 2 7 6 3 12 0 6 6 5 2 5 2 4 2 2 2 3 5 4 3 3 2 10 31 4 2 21 3 5 7 1 1 1 0 1 1 5 36 4 6 24 6 4 2 0 6 2 18 1 2 2 3 7 9 1 6 0 2 4 8 4 0 8 3 0 3 6 2 1 2 5 0 9 1 12 0
"strong" 4 10 4 12 7 3 4 10 11 3 5 10 4 2 16 6 7 13 2 10 4 4 3 2 6 6 9 7 2 4 5 3 13 51 4 2 52 7 9 8 2 4 4 2 3 4 9 63 3 12 41 21 4 3 5 7 4 26 2 4 8 5 5 15 8 6 2 5 6 25 4 8 0 7 5 3 2 3 2 13 8 3 11 4 25 3
"surprised" 2 5 4 7 1 3 4 2 6 1 0 2 5 2 9 1 1 4 2 2 3 2 1 2 5 4 2 3 2 2 3 1 11 22 3 1 21 2 6 4 1 2 1 1 1 1 4 26 2 6 17 8 1 3 3 6 3 12 1 2 7 5 5 6 2 3 1 1 3 12 2 3 7 0 0 3 2 2 3 2 4 1 3 2 12 1
