"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "big" "blind" "bright" "busy" "careful" "certain" "charming" "clever" "cold" "comfortable" "cruel" "curious" "devoted" "difficult" "distinguished" "expressive" "fair" "faithful" "familiar" "fine" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "hopeful" "impatient" "important" "innocent" "interested" "kind" "little" "loud" "natural" "old" "open" "original" "patient" "plain" "pleasant" "pleased" "poor" "practical" "pretty" "private" "proper" "proud" "quiet" "remarkable" "rich" "ridiculous" "rough" "sensible" "short" "social" "strange" "strong" "surprised" "sweet" "tired" "unhappy" "violent" "warm" "weak" "well" "wise" "wonderful" "worthy" "young" "youthful"
"sweet" 1 1 1 2 1 2 2 5 2 2 0 0 0 0 3 2 0 2 0 1 1 0 1 1 0 3 1 0 6 2 0 2 1 14 0 3 10 2 3 1 0 0 3 0 3 2 1 19 1 2 8 4 0 0 0 3 0 9 2 4 2 4 4 2 3 1 3 1 0 6 0 0 5 0 0 0 0 1 0 3 1 1 0 1 7 2
"tired" 4 7 3 8 2 3 2 1 0 1 0 2 1 5 8 1 1 4 4 2 5 2 2 1 2 3 0 2 2 1 0 3 7 18 1 1 15 2 3 2 0 0 2 1 2 4 5 19 0 2 15 2 2 0 1 3 3 12 0 2 3 1 5 3 1 2 1 1 3 10 2 3 3 3 0 0 1 0 1 4 5 0 1 2 8 0
"unhappy" 1 6 4 2 4 1 3 3 3 2 0 1 2 1 2 0 2 0 1 4 2 3 3 3 0 3 3 2 3 1 0 3 5 22 1 3 17 1 5 5 1 2 3 1 2 1 3 21 2 4 17 3 0 2 0 2 2 15 3 2 3 2 4 3 2 3 1 1 1 8 0 6 2 2 0 1 0 1 2 1 3 2 1 1 11 1
"violent" 0 0 0 2 1 3 1 0 0 0 1 3 3 0 5 1 2 1 2 1 0 1 2 1 1 1 2 0 3 2 0 0 4 9 3 1 11 0 2 4 2 0 0 0 1 2 4 12 0 2 11 2 2 2 4 1 1 3 1 0 2 2 1 4 1 3 1 2 4 7 0 2 3 2 1 0 1 0 1 2 0 1 1 1 4 1
"warm" 0 3 3 4 1 0 1 3 3 2 1 3 1 1 2 1 0 2 2 1 2 1 1 0 1 2 0 1 3 0 2 1 3 10 0 1 11 0 2 3 0 0 0 1 1 1 2 14 0 2 9 3 0 2 3 3 0 7 0 0 0 1 1 3 1 1 1 6 1 2 0 1 2 3 0 1 2 1 0 1 1 1 3 2 4 1
"weak" 4 3 3 5 3 4 2 6 4 2 1 4 5 3 10 2 0 7 1 3 2 2 1 2 0 4 4 1 4 0 3 5 9 21 4 3 22 3 6 3 2 3 2 2 0 3 4 30 0 7 21 8 3 1 2 1 3 16 0 0 2 3 7 8 4 4 4 1 4 7 1 2 13 2 3 4 1 2 1 0 5 3 3 3 9 1
"well" 5 4 2 7 3 1 3 3 6 1 0 5 2 4 5 1 4 6 2 2 2 5 6 1 2 5 1 1 3 3 4 0 7 27 4 0 23 5 10 2 2 2 2 0 1 1 6 31 2 7 23 3 2 0 3 4 4 16 1 6 2 2 9 4 1 5 1 1 6 13 1 5 8 4 1 5 3 0 1 5 0 3 2 6 11 1
"wise" 1 0 3 1 1 1 1 0 1 1 0 1 0 2 3 1 0 1 1 1 0 1 2 1 1 3 1 1 3 2 2 4 3 11 1 0 9 2 2 2 0 1 0 2 1 2 2 13 1 4 9 5 2 1 1 1 0 8 0 3 2 1 2 3 3 2 1 0 3 6 0 0 3 1 1 0 2 1 1 3 3 0 1 2 7 2
"wonderful" 1 9 7 6 3 2 3 3 9 2 4 9 0 1 11 2 5 6 2 1 5 3 4 3 2 2 4 4 4 2 3 1 12 25 2 3 31 2 8 5 3 2 0 2 3 0 3 31 1 10 21 8 3 4 3 8 3 16 4 1 2 4 4 7 1 8 2 4 3 13 1 9 11 3 0 1 1 1 3 3 2 1 0 2 16 0
"worthy" 2 0 3 2 2 3 2 3 5 0 1 2 0 1 5 2 2 4 3 0 0 1 3 0 5 5 0 0 3 4 3 2 5 15 1 0 11 4 6 4 3 2 0 0 3 1 6 17 0 2 14 3 0 1 1 4 0 12 0 1 1 1 2 4 0 5 1 0 3 7 1 1 4 2 1 2 1 1 2 3 6 2 2 0 6 2
"young" 7 14 15 21 13 9 6 9 24 3 8 16 5 7 32 4 6 17 14 8 24 7 15 11 10 14 10 12 15 12 6 8 29 92 10 8 78 15 18 16 6 7 6 8 8 13 13 108 5 18 74 23 8 3 14 19 8 50 12 15 15 12 16 26 9 16 8 4 9 36 8 12 25 12 7 8 11 4 4 9 11 7 16 6 0 5
"youthful" 0 1 1 3 1 0 2 1 2 3 0 2 2 1 3 0 3 3 3 1 1 0 4 0 0 2 0 3 3 0 1 1 3 11 3 0 6 0 5 2 0 0 1 0 1 1 4 12 0 3 7 1 2 2 0 0 1 5 1 1 2 3 2 4 2 1 3 1 1 4 0 0 3 1 2 0 1 1 1 1 1 2 0 2 5 0
