"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "awkward" "bad" "beautiful" "big" "blind" "bright" "busy" "calm" "careful" "certain" "cheap" "cheerful" "clean" "cold" "comfortable" "complicated" "curious" "decent" "delighted" "delightful" "devoted" "difficult" "elderly" "enthusiastic" "excellent" "excited" "expressive" "extraordinary" "fair" "faithful" "fat" "fine" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "important" "impressive" "innocent" "interesting" "kind" "little" "lively" "lonely" "loud" "natural" "neat" "nervous" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "professional" "proper" "proud" "quiet" "reasonable" "remarkable" "rich" "satisfied" "serious" "short" "smart" "stable" "strange" "strong" "surprised" "sweet" "tall" "thin" "tired" "unhappy" "unusual" "violent" "warm" "wise" "wonderful" "worthy" "young"
"affectionate" 0 2 1 1 0 2 0 1 1 2 2 0 0 1 2 0 0 4 1 2 1 3 1 1 0 2 0 1 1 0 1 0 0 0 1 3 2 2 4 2 0 1 0 8 0 10 2 3 0 0 3 1 0 1 1 9 0 0 1 3 2 0 3 10 3 1 0 3 1 2 0 3 1 0 0 2 1 2 4 3 0 0 5 1 0 2 4 0 1 2 0 0 0 0 2 0 0 1 0 6
"afraid" 2 0 2 3 2 4 2 1 0 4 5 1 1 5 3 1 2 9 2 2 1 10 4 2 1 2 5 6 2 2 2 0 2 4 1 10 3 0 6 8 2 2 5 22 1 29 2 4 2 3 5 4 2 1 4 32 3 2 9 4 0 2 5 30 11 1 2 3 0 8 4 8 8 3 3 4 6 1 6 4 1 2 16 5 3 9 5 3 2 7 3 1 1 1 4 6 1 1 3 22
"agreeable" 1 2 0 1 1 0 0 0 1 3 4 0 0 5 2 2 2 7 1 5 5 5 4 2 3 2 1 4 1 6 0 2 5 0 2 3 2 0 3 7 3 1 3 20 0 24 1 6 6 3 4 1 0 2 3 19 4 0 7 3 4 1 6 21 7 1 0 8 3 6 1 5 4 2 0 2 8 2 6 3 1 3 15 0 1 8 5 1 1 3 2 2 1 1 3 3 0 4 2 19
"alone" 1 3 1 0 2 2 1 1 1 4 2 1 0 3 1 1 1 3 1 0 1 5 5 1 1 0 0 2 3 2 2 1 4 0 1 5 1 1 0 10 1 4 2 15 2 15 1 2 3 0 2 0 1 0 2 20 1 4 3 2 1 1 2 19 7 2 1 1 1 8 2 4 1 0 2 4 7 2 3 4 2 1 7 1 2 6 3 0 3 2 4 1 1 0 3 2 2 2 0 11
"angry" 0 2 1 2 0 4 1 1 1 2 1 2 0 0 2 1 2 4 0 3 0 2 4 2 4 2 1 1 2 1 1 1 4 4 1 3 2 0 3 5 0 1 1 12 1 20 1 4 0 0 2 0 2 1 1 15 2 3 3 2 0 1 1 14 6 2 0 2 0 3 0 2 2 2 3 1 4 1 2 1 1 0 6 2 0 4 4 2 0 4 3 0 3 2 2 5 0 0 0 8
"anxious" 2 4 0 2 4 0 2 3 2 4 3 1 1 3 4 1 3 3 0 2 3 6 5 1 2 2 2 4 1 1 1 0 4 3 2 2 5 0 2 7 1 3 4 24 4 22 3 7 1 3 5 1 2 1 0 26 1 0 4 4 1 3 3 25 5 2 2 5 0 5 2 3 6 2 4 1 4 1 5 2 5 1 12 4 2 0 3 1 3 3 3 1 3 2 3 5 4 2 5 21
"ashamed" 0 2 0 1 1 2 0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 3 2 0 0 0 1 1 1 0 0 0 3 0 0 1 1 0 1 1 0 0 3 11 1 10 0 4 1 0 2 2 0 0 0 8 0 1 5 1 1 1 2 7 1 1 2 3 0 3 0 3 1 0 1 0 0 1 0 1 2 1 3 1 0 0 2 1 1 0 0 0 0 0 1 2 0 0 1 7
"awful" 1 1 0 1 1 3 1 0 0 2 0 0 0 1 0 0 3 2 0 1 1 4 2 1 1 0 1 1 2 1 2 1 3 1 2 3 0 1 6 2 0 2 4 11 0 11 1 4 2 1 1 1 1 2 0 13 1 0 3 3 0 2 0 10 4 2 1 1 0 7 1 0 1 1 2 0 1 0 1 2 2 1 7 1 0 1 3 1 1 1 2 1 0 0 1 2 1 1 2 11
"awkward" 1 0 1 1 1 2 1 0 0 2 3 0 1 1 0 0 0 0 0 0 0 1 2 1 0 0 2 0 2 0 1 0 1 1 0 3 0 1 2 1 1 1 0 10 3 9 3 4 0 0 0 1 2 1 1 11 2 1 3 1 0 0 1 9 2 1 0 2 0 3 1 1 2 0 1 2 0 0 0 1 1 1 2 0 0 1 2 0 1 1 1 0 2 1 1 0 0 0 2 4
"bad" 2 4 3 4 2 4 0 2 2 0 1 1 1 2 3 0 2 3 1 0 2 9 6 1 4 0 0 1 3 2 3 2 7 1 4 5 1 3 4 10 2 5 5 27 2 26 3 3 8 2 5 1 0 1 3 28 2 4 5 5 3 2 5 28 8 5 3 5 2 6 3 2 2 2 3 1 3 1 2 4 3 0 14 1 2 7 7 2 3 1 3 3 5 4 3 4 1 3 3 22
"beautiful" 2 5 4 2 1 3 1 0 3 1 0 2 1 10 1 2 2 5 2 2 1 14 3 2 4 2 1 7 2 2 3 1 3 1 1 5 1 3 6 12 1 2 3 27 2 29 2 5 2 0 4 3 2 4 4 26 5 2 9 0 2 1 6 29 9 1 1 6 2 5 3 3 7 1 1 2 5 2 4 7 0 1 12 4 0 6 3 2 7 3 1 0 3 2 2 8 3 3 3 23
"big" 0 1 0 1 2 1 0 0 0 1 2 0 2 2 3 0 2 3 1 0 0 3 3 0 0 1 0 1 0 1 1 2 2 2 0 4 1 1 3 4 0 0 1 12 0 10 1 1 1 0 1 1 0 0 1 10 0 1 2 2 1 1 3 11 5 2 0 3 0 2 0 3 0 0 3 0 3 1 0 1 0 0 6 4 1 3 1 0 2 3 2 1 0 0 0 4 0 0 0 11
"blind" 0 1 0 0 0 1 0 0 1 1 1 2 0 4 1 2 1 0 0 2 0 1 2 0 1 2 0 2 0 0 0 0 2 1 1 1 3 0 2 2 1 1 1 9 1 9 1 3 0 1 1 1 1 0 0 10 0 0 1 3 0 1 0 9 1 1 0 3 1 3 0 2 0 0 4 1 3 0 0 2 0 1 2 0 0 0 3 0 1 1 3 2 0 0 1 2 1 1 0 5
"bright" 1 5 5 3 0 3 1 1 1 2 10 2 4 0 2 3 1 3 1 4 3 12 3 1 2 3 0 3 1 3 2 3 1 1 1 4 4 1 6 13 3 5 3 20 1 24 1 6 2 0 3 1 1 2 2 22 4 2 5 2 2 2 4 27 11 7 2 6 2 6 0 8 3 0 3 4 4 1 3 6 1 3 12 2 1 4 5 1 5 3 4 1 2 2 2 5 1 1 1 20
"busy" 2 3 2 1 2 4 1 0 0 3 1 3 1 2 0 1 0 5 1 1 4 8 2 0 2 1 0 0 0 1 2 1 0 1 0 5 1 1 2 4 1 0 1 13 0 12 0 4 2 1 3 1 0 0 0 13 0 1 4 2 2 0 1 12 2 0 0 2 0 3 1 3 4 4 1 2 4 1 2 0 0 0 10 2 0 4 2 0 0 1 4 0 0 0 1 4 0 1 0 11
"calm" 0 1 2 1 1 1 0 0 0 0 2 0 2 3 1 0 2 1 1 1 0 1 0 1 1 0 0 2 0 0 1 0 2 0 1 2 4 2 1 3 1 2 0 9 0 11 0 5 1 1 0 0 1 1 0 9 2 0 2 1 0 0 2 7 5 4 0 3 0 1 1 2 3 2 1 2 0 0 1 1 1 1 5 1 0 2 4 0 0 1 4 0 0 0 3 0 0 0 1 5
"careful" 0 2 2 1 2 3 0 3 0 2 2 2 1 1 0 2 0 4 0 2 0 2 7 0 1 1 1 1 1 0 2 0 4 1 1 4 1 1 1 2 2 1 3 13 2 17 1 5 2 2 2 1 1 2 2 16 5 0 2 8 2 1 4 15 4 4 1 5 1 5 2 3 2 1 2 1 4 0 2 0 2 1 9 1 2 6 2 1 3 3 2 0 2 2 0 1 2 1 3 11
"certain" 4 9 7 3 4 3 0 2 0 3 5 3 0 3 5 1 4 0 2 4 3 6 6 0 8 1 4 5 1 1 2 4 4 3 0 7 4 1 8 6 0 2 3 28 2 34 1 4 4 1 4 1 2 6 2 37 2 1 6 5 1 2 5 33 9 3 1 7 1 9 1 4 11 2 1 4 8 2 4 3 3 4 15 1 2 8 5 3 5 5 3 3 0 2 6 4 1 3 0 24
"cheap" 1 2 1 1 0 0 0 0 0 1 2 1 0 1 1 1 0 2 0 2 0 2 1 0 1 1 0 3 0 1 0 0 1 0 0 0 0 1 2 5 0 2 1 9 0 10 0 2 1 0 1 1 1 0 1 6 0 0 0 1 1 0 2 8 3 1 0 1 1 3 1 2 3 1 0 1 2 1 2 2 0 2 4 2 1 2 1 1 1 1 2 0 1 1 0 1 0 1 1 8
"cheerful" 2 2 5 0 3 2 0 1 0 0 2 0 2 4 1 1 2 4 2 0 2 5 5 0 3 4 1 1 1 3 0 0 2 1 1 2 4 1 3 6 2 3 3 18 1 23 1 10 4 0 2 1 0 0 1 21 4 2 6 2 4 2 4 23 3 1 0 7 5 7 0 5 6 0 4 0 7 2 3 5 2 4 10 3 1 2 4 0 1 5 2 3 4 1 3 4 2 3 3 17
"clean" 1 1 5 1 0 3 1 1 0 2 1 0 0 3 4 0 0 3 0 2 0 5 4 0 3 2 0 3 0 0 0 0 3 1 1 2 4 0 1 1 2 0 2 10 0 11 0 3 2 0 2 1 0 0 3 14 1 0 4 1 3 0 2 11 3 1 0 4 0 3 0 2 3 3 0 0 4 2 0 0 0 0 5 3 1 2 2 0 0 1 3 2 1 1 1 1 0 2 1 10
"cold" 3 10 5 5 2 6 3 4 1 9 14 3 1 12 8 1 2 6 2 5 5 0 6 2 6 1 2 1 3 8 4 4 6 3 2 13 5 5 10 16 4 5 6 44 2 46 4 19 11 2 7 4 1 7 3 44 5 7 16 4 5 4 8 48 17 6 3 7 3 16 0 10 8 5 5 5 13 1 5 11 2 2 25 5 0 10 8 1 8 8 7 1 4 3 5 10 2 3 5 35
"comfortable" 1 4 4 5 4 5 2 2 2 6 3 3 2 3 2 0 7 6 1 5 4 6 0 1 1 5 4 3 2 0 1 2 7 3 2 2 4 1 7 4 2 1 6 28 5 28 0 9 4 1 2 3 1 3 3 29 4 0 10 7 3 2 6 24 9 3 2 8 3 9 2 1 4 3 4 3 8 2 3 3 5 1 13 3 1 4 3 0 1 5 5 0 4 2 3 3 3 2 3 24
"complicated" 1 2 2 1 2 1 0 1 1 1 2 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 1 1 2 3 1 0 1 1 2 0 1 3 1 1 0 0 9 0 9 1 3 2 1 1 0 0 1 0 6 0 2 4 0 0 0 1 7 3 4 0 2 0 1 1 0 0 0 2 0 0 1 1 1 0 0 4 0 1 2 2 0 0 4 1 0 1 0 5 1 1 0 1 4
