"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "attentive" "awful" "bad" "beautiful" "bitter" "blind" "brave" "bright" "busy" "calm" "careless" "certain" "cheerful" "cold" "compassionate" "confident" "confused" "cool" "cruel" "curious" "dangerous" "determined" "difficult" "direct" "eager" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "healthy" "honest" "ignorant" "important" "innocent" "interested" "kind" "little" "lonely" "loud" "natural" "old" "open" "original" "plain" "pleasant" "polite" "poor" "popular" "powerful" "pretty" "private" "prosperous" "quiet" "remarkable" "rich" "rough" "satisfied" "short" "strange" "strong" "sweet" "tall" "terrible" "thankful" "thin" "troubled" "unhappy" "unusual" "useful" "violent" "weak" "well" "wonderful" "worthy" "young"
"affectionate" 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 1 1 0 2 0 0 0 1 0 0 1 0 1 0 0 3 1 3 0 1 3 1 0 0 0 1 0 0 4 0 1 1 3 1 0 0 0 0 1 1 0 0 0 0 2 1 0 0 0 2 1 2 0 0 0 1 0 1 0 0 2 1 0 1 0 0 0
"afraid" 0 0 0 2 0 1 0 0 3 2 1 0 2 0 2 0 0 2 0 2 0 0 2 0 1 1 1 0 3 0 2 0 1 1 0 1 2 0 0 1 10 1 8 0 1 3 2 2 0 0 4 0 2 13 0 1 1 7 8 0 1 1 0 5 1 1 2 1 0 2 0 1 0 0 6 1 7 2 0 1 3 0 1 0 1 1 2 3 3 2 0 6
"agreeable" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 1 2 1 0 0 4 0 3 1 0 1 0 0 0 0 0 0 0 5 1 1 2 3 3 1 2 2 0 2 0 0 0 1 0 1 1 0 0 1 1 0 2 0 1 0 0 1 0 0 1 1 0 1 1 2 0 2
"alone" 0 2 0 0 3 2 1 1 4 2 2 2 2 5 0 0 1 2 0 3 2 0 0 2 4 2 2 1 1 1 0 0 0 2 2 0 0 1 4 0 12 1 10 1 2 4 1 1 2 1 3 1 0 11 1 1 1 10 3 1 3 2 1 9 1 0 4 1 1 2 3 1 0 0 4 1 3 2 0 1 1 0 1 1 0 1 1 1 0 1 1 3
"angry" 1 0 0 3 0 1 1 0 3 0 1 0 0 2 1 0 1 4 1 1 0 0 1 1 1 1 3 1 1 2 0 0 0 1 1 0 2 2 1 0 9 2 7 0 1 5 0 1 0 2 1 0 1 9 0 1 3 8 3 1 1 1 0 3 1 0 0 1 1 2 2 1 0 1 2 1 3 0 0 2 0 0 0 0 0 1 0 0 2 1 1 6
"anxious" 1 1 0 2 1 0 1 0 2 3 0 0 0 4 1 0 2 3 0 4 0 2 0 1 0 3 1 0 3 0 0 0 1 2 0 3 1 1 1 1 10 2 8 1 2 2 1 1 0 1 2 2 5 9 0 1 4 10 3 2 1 4 0 4 1 1 4 1 0 1 2 1 1 0 4 3 7 1 1 0 2 0 3 1 1 3 2 2 1 0 2 6
"attentive" 1 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 2 1 1 0 0 0 0 1 0 0 1 0 3 0 4 1 0 2 0 0 0 0 0 1 1 3 0 0 0 4 1 0 0 0 1 1 0 0 1 0 0 1 3 0 0 0 2 0 2 0 0 1 0 1 2 0 1 0 0 0 0 0 0 2
"awful" 0 0 0 1 0 0 0 0 2 0 0 2 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 3 0 4 0 1 0 0 1 0 0 0 0 0 3 1 2 0 5 1 1 0 0 0 1 0 0 0 0 0 2 1 1 0 0 0 1 2 2 0 0 0 1 0 0 0 0 0 1 0 0 0 2
"bad" 0 3 0 4 3 2 1 2 0 1 2 0 1 3 2 1 0 5 0 4 2 1 0 0 4 2 3 1 2 1 1 0 1 2 1 1 2 1 3 2 19 2 12 1 0 4 1 3 1 1 6 2 0 19 0 1 3 15 5 3 2 2 0 10 3 1 3 3 1 2 2 3 3 1 7 2 8 3 1 4 0 1 1 2 1 0 0 3 0 3 4 9
"beautiful" 0 2 0 2 0 3 0 0 1 0 0 0 1 7 0 0 1 2 1 3 2 1 3 1 0 2 1 0 0 1 0 2 1 3 2 1 0 0 3 1 8 1 10 1 4 4 1 0 1 1 2 0 1 11 1 1 2 7 4 1 1 2 1 10 1 1 2 2 1 3 2 1 0 1 2 3 7 4 1 0 0 0 0 1 0 3 0 4 2 2 1 6
