"active" "afraid" "agreeable" "alone" "angry" "anxious" "awake" "bad" "beautiful" "bitter" "blind" "bold" "brave" "bright" "busy" "careful" "careless" "certain" "cheerful" "cold" "comfortable" "cool" "cruel" "curious" "dangerous" "delighted" "difficult" "extraordinary" "fair" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "innocent" "kind" "little" "lonely" "loud" "mean" "natural" "old" "open" "ordinary" "original" "patient" "plain" "pleasant" "poor" "popular" "pretty" "private" "proper" "proud" "quiet" "reckless" "religious" "remarkable" "rich" "rough" "sad" "sensible" "serious" "short" "stable" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thoughtful" "tired" "unhappy" "unusual" "violent" "warm" "weak" "well" "wise" "worthy" "young"
"active" 0 1 0 1 0 0 0 0 0 0 3 3 1 6 4 2 1 4 2 3 0 3 2 1 1 0 0 0 3 1 0 0 0 1 5 11 1 17 0 2 1 1 0 0 1 0 7 0 3 0 1 11 6 0 0 0 2 1 7 1 0 0 2 1 3 1 0 1 1 2 0 0 1 3 3 3 9 3 0 1 5 2 1 1 3 2 3 2 0 2 2 6
"afraid" 1 0 2 2 2 2 1 6 1 1 2 5 4 2 1 1 2 4 3 4 1 1 1 3 1 0 1 0 0 2 1 1 1 1 5 20 0 24 2 5 5 6 1 0 2 0 19 2 1 1 4 17 7 1 3 1 0 5 7 2 0 3 3 5 6 0 0 0 2 2 4 1 2 5 1 3 2 2 3 1 5 1 1 2 0 2 2 1 2 1 5 12
"agreeable" 0 2 0 2 0 2 0 1 1 1 1 2 1 4 1 1 1 7 7 5 4 1 2 2 1 1 2 2 4 0 0 0 2 2 5 13 2 10 3 4 1 2 1 0 1 1 13 0 0 2 3 7 3 0 4 0 1 5 8 1 2 4 2 4 3 0 0 2 1 0 2 1 1 5 0 2 2 1 1 1 0 1 0 1 0 0 2 1 2 1 1 8
"alone" 1 2 2 0 2 3 4 5 3 3 3 2 3 7 7 3 4 6 3 9 1 4 3 1 1 2 4 3 3 4 7 2 3 4 10 30 1 23 4 8 5 2 1 0 2 5 28 7 2 5 6 25 12 3 5 1 5 4 12 3 1 5 0 3 14 1 1 4 5 2 4 3 2 12 2 12 8 4 0 5 5 5 0 2 3 2 5 3 1 3 2 14
"angry" 0 2 0 2 0 3 0 3 2 0 2 2 0 3 1 0 1 0 0 3 0 0 4 1 1 1 1 0 0 0 1 1 2 3 0 13 1 12 2 2 2 3 0 0 1 1 11 0 4 0 4 11 6 2 1 0 3 2 8 1 1 0 0 4 2 1 0 1 0 3 0 0 0 7 1 4 2 0 1 0 0 1 2 2 2 1 1 2 2 1 1 8
"anxious" 0 2 2 3 3 0 2 5 1 1 6 4 4 4 2 0 0 7 4 3 1 1 3 1 1 3 2 1 2 1 4 3 1 0 4 17 1 17 1 2 2 1 2 1 2 3 17 3 0 0 4 14 5 2 2 0 3 1 7 1 1 2 0 2 4 0 0 0 2 2 0 0 0 6 2 3 7 3 0 2 1 1 4 0 1 1 0 1 2 4 4 9
"awake" 0 1 0 4 0 2 0 3 0 1 1 1 0 7 0 1 1 3 4 5 2 0 1 1 1 0 2 2 0 2 2 0 1 3 2 11 0 12 3 4 0 3 0 0 0 2 12 3 2 1 1 13 6 3 0 1 1 2 4 0 0 2 1 1 5 0 0 1 2 1 1 0 2 2 1 3 3 2 0 2 0 2 0 1 2 1 1 0 0 0 1 4
"bad" 0 6 1 5 3 5 3 0 1 1 3 4 2 9 2 1 2 7 3 5 2 0 1 0 2 1 0 4 2 1 5 3 1 4 5 30 1 28 7 3 6 6 1 1 3 3 27 2 4 1 3 26 10 1 6 0 2 6 13 2 1 6 2 6 8 0 1 3 1 3 3 3 3 10 3 3 10 2 1 4 1 0 3 3 1 1 4 0 3 3 4 17
"beautiful" 0 1 1 3 2 1 0 1 0 0 2 0 2 5 2 0 1 5 3 2 1 0 1 1 0 0 2 1 0 0 2 2 0 3 2 12 3 10 3 6 0 1 1 0 0 1 13 1 2 3 1 9 2 0 2 1 0 4 11 0 1 4 2 5 5 1 1 1 1 1 1 0 1 0 0 3 2 2 4 1 1 1 0 1 0 2 0 1 1 1 1 8
"bitter" 0 1 1 3 0 1 1 1 0 0 0 2 0 1 1 1 0 2 4 3 0 1 1 1 1 1 0 3 0 0 1 1 1 1 3 9 1 10 3 2 1 3 0 0 1 2 6 0 3 1 3 8 2 0 2 0 0 3 4 1 0 1 1 3 3 0 1 2 3 0 0 1 0 5 1 3 2 0 2 1 0 2 0 0 0 1 1 1 0 1 0 6
