"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "certain" "cheerful" "clever" "cold" "comfortable" "delighted" "delightful" "desirable" "determined" "difficult" "eager" "excellent" "extraordinary" "fair" "fine" "foolish" "friendly" "generous" "gentle" "genuine" "glad" "good" "grateful" "great" "handsome" "happy" "honest" "impatient" "important" "independent" "interested" "interesting" "kind" "little" "lively" "lovely" "modest" "natural" "nice" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "private" "proper" "quiet" "reasonable" "respectable" "rich" "sad" "satisfied" "selfish" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thankful" "tired" "unhappy" "unlucky" "unreasonable" "useful" "valuable" "warm" "wonderful" "young"
"cheerful" 2 1 2 4 4 1 3 0 3 4 0 0 1 2 0 1 2 4 0 1 0 2 2 1 3 1 4 4 0 0 0 1 1 8 9 0 6 2 5 1 3 0 1 1 0 1 11 2 1 1 4 0 6 2 4 2 0 4 2 0 2 3 2 1 0 1 0 0 1 0 3 0 2 3 0 1 0 1 0 1 0 0 3 2 1 1 5
"clever" 1 1 3 6 1 1 1 4 7 0 0 1 0 1 1 0 0 1 0 0 2 0 2 1 3 0 5 1 1 0 0 3 0 4 13 3 9 2 7 1 0 3 0 0 1 3 11 1 0 2 2 2 3 1 4 0 2 6 2 0 4 0 1 2 1 0 2 2 6 5 4 0 5 1 1 1 0 0 1 1 1 0 3 0 1 2 5
"cold" 0 1 2 2 0 0 2 1 6 3 0 0 4 5 2 0 0 4 0 0 1 3 3 1 0 1 0 3 0 0 1 1 1 6 11 1 6 5 7 1 0 0 2 0 1 4 14 4 1 0 5 0 5 1 5 1 0 0 2 1 2 2 2 1 1 1 4 2 1 1 5 0 5 2 0 1 1 1 0 2 0 0 0 1 2 1 6
"comfortable" 0 5 5 5 4 3 6 1 2 3 1 0 2 4 4 1 4 0 2 3 4 4 0 3 3 1 4 7 0 2 1 3 1 7 17 1 16 3 12 2 2 1 4 0 2 6 21 3 2 0 7 2 9 2 5 2 0 6 1 2 1 3 0 4 1 2 5 0 1 3 9 1 8 5 3 1 2 0 3 1 1 1 5 0 3 0 9
"delighted" 0 0 3 3 0 1 3 1 1 2 2 0 1 2 0 0 0 2 0 0 2 0 0 0 2 0 5 2 1 0 0 1 0 4 8 0 8 2 5 1 1 0 0 0 1 5 9 2 0 0 3 1 3 2 2 4 1 6 2 1 0 4 3 1 3 1 2 0 2 4 4 0 6 0 1 2 1 0 0 1 0 0 4 1 3 1 8
"delightful" 1 1 2 4 2 1 5 2 3 1 1 0 1 0 1 0 0 3 0 0 0 4 0 5 2 1 3 3 0 1 1 1 2 9 14 2 12 0 8 0 1 4 0 0 3 3 14 0 2 2 5 0 5 2 4 3 1 4 5 2 0 0 2 1 0 2 3 1 1 2 2 1 4 0 5 1 2 1 2 0 0 1 3 2 2 0 7
"desirable" 0 2 1 1 3 1 3 1 4 1 0 1 2 4 0 2 1 4 2 0 0 2 2 0 1 1 4 2 0 3 0 3 0 5 9 2 10 1 6 1 0 2 1 0 0 4 10 2 0 2 1 0 5 2 3 3 0 5 2 1 4 1 1 1 2 0 1 2 1 3 2 0 3 2 0 0 0 1 0 1 1 1 1 0 1 2 8
"determined" 1 4 4 3 5 4 4 0 5 3 2 1 4 1 2 0 3 4 0 4 2 0 1 4 2 1 2 5 1 2 0 2 0 7 14 2 13 0 10 2 1 2 5 1 1 3 14 2 2 0 6 1 3 2 5 4 2 3 1 4 6 1 3 2 0 2 3 2 1 1 6 0 6 3 3 1 1 0 0 1 2 0 1 0 1 2 10
"difficult" 0 0 1 3 1 0 2 0 3 1 0 1 2 2 2 2 3 0 0 0 2 1 0 0 1 0 2 0 0 1 0 1 0 5 8 1 6 1 5 0 0 1 0 0 1 1 9 1 0 1 3 1 4 1 2 3 1 2 3 0 4 1 0 0 1 2 1 0 3 2 5 1 2 1 0 1 0 1 0 1 0 1 3 1 1 2 4
"eager" 2 1 4 3 2 2 3 1 3 2 1 1 3 1 1 1 1 3 0 5 0 4 0 0 1 0 5 6 0 2 0 1 2 6 13 0 11 1 8 0 3 3 0 1 1 3 13 2 1 2 5 1 8 0 4 3 0 6 5 3 1 0 0 2 0 2 2 1 1 4 3 0 3 0 1 1 0 1 1 0 0 0 4 1 2 1 7
