"afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "bad" "beautiful" "blind" "bright" "busy" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "delighted" "devoted" "difficult" "excellent" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "innocent" "interested" "interesting" "kind" "little" "lovely" "modest" "natural" "neat" "old" "open" "original" "patient" "plain" "pleasant" "pleased" "poor" "pretty" "private" "proud" "quiet" "remarkable" "respectable" "rich" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "strange" "strong" "suspicious" "sweet" "terrible" "thankful" "uncomfortable" "warm" "weak" "well" "wise" "wonderful" "worthy" "young"
"ridiculous" 2 0 2 1 2 3 0 6 0 2 1 0 1 3 2 1 0 0 1 1 2 1 1 2 2 4 2 5 0 1 5 1 1 0 2 13 0 0 11 2 2 3 1 1 0 0 0 18 0 1 2 1 8 4 2 0 1 0 0 10 2 2 1 4 2 2 3 0 0 2 1 3 10 0 4 2 2 0 0 1 0 1 0 3 3 4 9
"rough" 3 0 1 3 0 1 0 2 1 0 1 1 1 7 0 0 0 1 3 0 0 0 1 0 1 1 1 1 2 0 1 1 0 1 3 11 0 0 2 0 0 7 3 1 1 0 1 14 0 1 1 1 9 4 2 2 1 1 1 6 2 2 0 2 0 1 2 0 0 0 0 0 8 1 5 0 1 0 1 1 1 2 0 1 0 0 3
"satisfied" 3 2 2 3 1 1 0 6 1 0 3 0 1 6 2 1 0 2 4 0 0 0 0 2 1 2 0 1 0 2 1 0 1 0 4 13 3 3 9 1 5 3 2 2 0 0 1 16 1 1 1 0 10 3 1 0 1 2 2 7 4 0 3 6 1 1 1 2 0 0 1 2 8 1 3 0 2 1 0 0 0 3 3 1 0 3 10
"sensible" 2 4 1 1 1 3 1 5 1 0 3 0 0 1 1 1 0 0 1 0 1 2 2 2 1 2 0 2 0 1 1 0 0 1 5 10 1 0 6 1 3 3 0 2 3 1 1 9 0 0 1 0 7 2 1 1 2 1 4 5 2 1 0 2 3 3 2 1 0 1 0 0 0 3 2 1 1 2 3 0 1 0 1 0 1 0 7
"serious" 5 2 1 3 2 1 1 5 3 0 2 0 0 6 3 1 0 3 1 3 2 1 1 2 1 0 2 2 1 0 2 0 1 0 1 12 1 2 6 1 3 0 2 2 1 1 2 18 3 1 2 0 4 1 1 1 1 1 0 7 0 1 1 3 1 0 3 3 0 2 0 0 9 1 5 0 1 1 0 0 0 1 1 2 2 0 4
"short" 18 8 14 10 6 4 6 18 8 2 13 3 3 30 10 4 6 14 11 8 2 1 4 11 5 10 12 10 5 1 8 2 5 1 16 63 9 4 35 6 15 17 6 4 2 5 8 79 8 7 15 4 51 16 12 3 2 5 5 35 10 3 8 10 9 6 11 10 8 8 0 9 0 3 17 1 7 4 3 6 8 11 5 6 2 8 38
"strange" 2 4 5 1 4 2 0 6 3 1 5 1 1 6 2 1 1 3 3 2 2 0 2 4 0 1 3 4 1 2 2 2 1 0 6 20 3 4 14 2 4 1 7 1 1 1 2 23 1 1 4 0 12 7 4 1 7 4 3 6 2 3 6 6 2 1 3 0 1 1 3 1 3 0 9 2 1 1 3 2 0 2 1 1 2 4 10
"strong" 5 2 5 4 2 4 4 13 5 2 10 1 3 19 5 2 2 10 6 1 4 3 1 6 3 6 3 2 3 4 2 4 3 1 8 43 4 6 26 2 11 16 8 4 3 0 4 47 0 2 6 0 30 12 5 0 4 4 2 19 5 5 5 8 3 2 6 4 5 3 2 5 17 9 0 2 2 3 7 1 5 10 4 2 3 4 17
"suspicious" 3 0 5 1 1 0 0 5 0 1 1 0 0 2 0 0 2 2 1 0 0 1 0 2 1 0 1 1 1 0 3 0 1 1 1 13 1 4 9 2 1 2 3 0 0 2 0 13 0 0 2 0 6 6 0 1 0 1 1 3 1 2 1 3 2 0 2 2 0 0 1 0 1 2 2 0 2 1 2 1 3 3 2 0 1 1 8
"sweet" 4 1 3 0 2 2 1 5 2 1 3 1 0 6 1 3 1 4 4 3 1 1 3 0 0 1 2 2 1 0 2 3 1 0 7 18 3 1 11 4 5 3 2 2 1 2 2 18 2 2 4 1 11 6 2 1 2 0 0 12 2 1 1 3 0 2 3 2 1 2 1 1 7 1 2 2 0 2 1 2 2 1 1 1 0 1 10
"terrible" 3 3 1 0 1 1 4 4 2 1 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 2 11 1 1 5 0 1 3 1 2 1 0 0 7 3 3 2 0 6 1 3 1 0 1 0 5 1 0 1 3 1 0 1 0 0 1 2 1 4 1 3 1 2 0 2 1 0 2 2 1 1 0 6
"thankful" 4 2 2 3 0 5 0 4 0 1 3 0 2 3 2 0 0 3 3 1 0 0 0 2 0 2 1 4 0 1 1 0 3 2 2 15 1 2 5 3 3 5 1 2 2 0 4 15 2 1 1 0 12 4 2 1 1 3 1 10 2 1 1 3 0 0 3 0 1 0 3 0 3 3 7 2 1 2 0 1 2 1 1 1 1 1 9
"uncomfortable" 2 1 1 0 1 1 1 2 1 0 1 0 0 5 2 0 0 2 1 1 0 0 1 0 2 0 3 2 0 1 1 2 2 0 5 8 0 1 6 0 3 3 2 0 0 1 2 12 0 1 1 0 9 1 1 3 1 2 1 4 1 2 2 1 1 1 2 1 1 0 0 0 6 2 1 1 2 1 1 0 2 1 1 1 1 1 5
"warm" 2 0 2 2 1 1 1 5 0 0 2 0 0 5 0 0 0 5 1 1 0 0 1 2 0 3 1 0 2 1 1 1 0 1 4 10 1 1 11 2 2 5 0 0 1 2 0 14 0 0 3 0 11 2 0 0 1 2 0 6 0 1 1 1 3 2 3 0 1 0 1 0 8 0 5 3 2 0 2 2 0 2 0 0 0 1 3
"weak" 5 5 5 6 0 2 1 10 2 2 2 1 2 8 2 3 1 5 3 1 0 5 1 1 1 4 2 4 2 1 1 3 1 2 6 23 3 1 15 1 5 5 1 3 1 2 4 27 3 1 2 2 20 7 5 0 1 2 1 12 4 1 0 4 2 1 4 1 2 3 0 1 11 2 10 3 1 2 1 1 2 0 2 3 4 4 13
"well" 4 2 1 2 1 0 1 4 1 1 2 3 3 2 1 0 2 2 3 0 0 0 0 3 0 3 1 0 1 0 2 0 1 0 6 13 2 2 7 1 3 5 5 0 0 0 2 10 1 2 1 0 8 3 1 1 2 3 1 5 0 0 3 3 2 2 3 0 0 3 1 1 5 1 4 2 1 2 1 1 0 2 0 1 1 1 7
"wise" 1 1 0 0 1 1 0 2 0 0 4 0 1 5 1 1 2 3 2 0 2 2 1 0 1 0 0 2 0 0 3 1 0 0 3 10 1 0 9 0 1 3 2 0 0 1 4 15 0 1 2 0 10 2 0 0 1 1 0 5 0 4 0 0 1 0 1 3 1 1 0 2 6 1 2 0 1 1 1 1 0 3 1 0 2 3 4
"wonderful" 3 2 3 1 0 0 0 6 5 1 4 1 1 4 3 0 1 0 1 0 0 2 1 0 1 0 1 4 1 1 1 4 0 1 2 17 1 2 9 1 3 3 1 1 0 1 4 16 1 0 0 1 14 3 4 0 1 2 4 6 5 1 2 3 3 0 1 3 0 0 1 2 2 2 3 1 0 1 1 1 0 4 1 2 0 1 9
"worthy" 5 3 3 3 1 2 1 3 3 1 2 1 1 6 3 3 0 2 3 3 2 1 0 1 2 3 1 2 3 2 3 0 1 1 3 24 4 2 14 2 4 3 3 3 1 2 1 22 3 1 2 1 13 6 4 0 3 2 1 9 4 0 1 2 3 1 3 4 0 3 0 0 8 4 4 1 1 0 1 1 1 4 1 3 1 0 7
"young" 17 13 16 11 2 5 9 28 9 8 15 9 6 41 11 7 9 10 13 5 7 3 7 10 9 12 5 15 4 3 14 3 7 9 19 89 12 9 55 8 19 18 9 7 6 5 18 108 9 6 18 6 71 28 18 7 8 14 12 51 17 6 12 19 12 5 14 9 3 10 7 4 38 10 17 8 10 6 9 5 3 13 7 4 9 7 0
