"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awake" "bad" "beautiful" "bold" "bright" "busy" "capable" "careless" "certain" "charming" "cheerful" "clean" "clever" "cold" "comfortable" "decent" "delighted" "delightful" "determined" "difficult" "disappointed" "distinguished" "eager" "embarrassed" "excellent" "extraordinary" "fair" "faithful" "famous" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "harmless" "honest" "ignorant" "impatient" "important" "independent" "intelligent" "interested" "interesting" "jealous" "joyful" "kind" "liberal" "little" "lively" "loud" "lucky" "natural" "neat" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "proper" "quiet" "reasonable" "remarkable" "respectable" "rich" "sad" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "stubborn" "stupid" "surprised" "sweet" "thin" "tired" "uncomfortable" "unhappy" "unusual" "useful" "violent" "warm" "well" "wise" "wonderful" "worthy" "young"
"affectionate" 0 1 0 0 0 2 2 0 0 2 0 0 0 1 1 2 1 2 0 1 2 2 2 0 2 1 0 0 1 3 1 0 0 1 0 0 2 1 0 0 0 3 9 2 7 2 6 1 1 1 2 0 2 1 1 0 3 1 1 2 0 7 0 0 1 2 0 1 3 2 0 0 1 1 1 1 6 1 1 1 0 1 2 2 0 1 1 4 0 1 3 0 5 0 0 3 2 0 2 0 1 0 3 1 0 1 0 0 2 1 1 0 0 6
"afraid" 1 0 4 1 1 2 4 0 0 3 0 1 0 1 1 0 1 0 0 2 1 0 1 2 6 2 1 2 1 0 0 3 4 2 0 2 5 0 0 1 1 5 13 1 11 4 4 0 0 0 1 1 1 0 1 3 2 0 0 2 1 10 1 1 0 2 0 2 5 4 0 2 2 4 2 1 5 0 1 0 2 0 0 1 1 1 0 1 0 0 0 0 5 0 1 3 4 0 2 6 2 0 2 2 2 0 1 1 3 0 1 0 0 12
"agreeable" 0 4 0 0 2 3 1 0 3 1 1 0 1 0 1 1 4 0 0 1 0 2 1 1 4 0 0 4 1 0 1 2 2 3 0 3 4 0 0 1 2 5 11 0 13 3 6 0 0 0 1 2 0 0 1 1 0 1 1 1 0 14 2 1 1 2 2 1 5 1 0 2 3 2 2 0 3 1 1 2 1 1 0 0 0 2 1 0 0 0 0 0 6 1 0 2 1 0 0 1 1 0 3 4 1 0 0 0 0 0 0 0 1 11
"alone" 0 1 0 0 2 2 2 3 0 1 0 2 1 0 0 1 1 1 1 0 0 1 0 0 0 0 2 0 0 3 0 0 2 0 0 0 5 1 0 1 0 4 4 0 3 1 3 1 0 0 0 1 0 0 0 0 1 0 0 1 0 4 0 1 0 1 0 0 2 2 0 0 1 2 0 1 1 1 2 0 1 1 1 1 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 2 2 0 0 0 1 0 0 0 1 1 0 0 0 3
"angry" 0 1 2 2 0 3 1 0 0 0 0 1 0 0 0 2 0 0 1 0 1 0 0 1 2 0 0 0 0 3 0 0 1 0 0 1 4 1 0 1 0 3 6 0 7 1 3 2 0 0 0 2 1 0 0 0 0 0 0 3 0 4 0 0 0 2 0 0 4 3 0 0 3 2 0 0 2 1 3 1 2 0 0 0 1 2 0 0 2 1 1 1 2 0 0 2 0 0 0 1 2 0 0 1 0 0 0 1 0 0 0 1 1 3
"anxious" 2 2 3 2 3 0 2 1 2 2 1 1 0 2 0 1 3 0 1 1 2 4 0 0 3 2 1 2 0 2 2 2 1 5 1 1 7 1 1 2 2 3 7 0 10 3 6 1 0 0 0 2 0 0 0 0 0 1 2 3 1 10 0 0 0 2 1 0 4 4 1 0 2 2 1 0 3 2 2 2 1 3 2 0 0 2 0 2 1 1 0 1 6 0 0 5 1 0 0 2 3 1 1 2 0 1 1 3 0 1 1 1 1 7
"ashamed" 2 4 1 2 1 2 0 1 2 3 1 0 1 1 0 1 2 0 0 2 1 1 2 1 2 0 2 1 1 1 1 2 1 3 0 0 5 1 1 2 2 4 7 1 6 1 6 1 0 1 1 2 0 0 0 1 2 0 2 4 0 8 1 1 0 1 1 1 4 2 0 1 2 1 1 0 4 0 2 1 0 2 3 2 1 1 1 4 1 1 2 1 5 1 0 0 1 0 3 4 2 0 2 1 3 0 0 0 1 0 1 0 1 6
"awake" 0 0 0 3 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 2
"bad" 0 0 3 0 0 2 2 0 0 1 0 1 1 1 0 1 3 1 1 1 0 3 1 0 1 1 0 1 0 0 1 3 2 1 1 1 4 1 0 0 2 1 6 0 6 3 4 0 0 2 0 1 1 0 0 0 1 1 1 2 0 7 0 0 0 0 3 0 4 0 0 2 0 0 0 0 2 0 2 1 0 0 0 1 1 1 1 0 2 0 0 1 5 0 1 2 1 1 1 1 0 1 2 0 2 0 1 0 0 1 0 1 0 4
"beautiful" 2 3 1 1 0 2 3 1 1 0 0 2 0 2 1 2 3 1 0 2 1 1 0 1 5 1 1 1 1 2 1 1 0 3 1 0 7 1 1 1 2 3 7 0 9 2 6 1 0 0 1 2 0 0 0 2 2 0 1 0 0 7 0 0 1 1 1 1 4 3 0 0 2 3 0 1 3 2 2 1 1 1 1 3 0 2 0 2 0 0 1 0 4 0 0 0 2 0 2 2 1 0 2 0 0 0 1 0 3 1 1 0 1 9
