"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "awkward" "bad" "beautiful" "bitter" "bold" "bright" "busy" "calm" "careful" "careless" "certain" "charming" "cheerful" "cold" "comfortable" "cool" "cruel" "curious" "decent" "delighted" "difficult" "excellent" "extraordinary" "fair" "familiar" "fine" "foolish" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "independent" "innocent" "interested" "interesting" "kind" "little" "lively" "loud" "natural" "neat" "nice" "old" "open" "plain" "pleasant" "pleased" "poor" "popular" "private" "professional" "proper" "proud" "quiet" "remarkable" "rich" "ridiculous" "rough" "sad" "satisfied" "selfish" "serious" "short" "smart" "social" "strange" "strong" "surprised" "sweet" "terrible" "thoughtful" "tired" "uncomfortable" "unhappy" "unusual" "violent" "warm" "weak" "well" "wonderful" "worthy" "young"
"affectionate" 0 1 0 2 3 0 0 0 2 2 1 1 1 1 1 0 7 1 1 0 2 0 1 2 0 1 0 3 1 3 0 0 1 2 2 3 5 13 2 0 7 1 3 3 0 0 1 0 1 3 10 0 1 2 1 3 11 3 1 2 2 4 0 2 2 1 2 2 2 0 0 0 2 1 0 1 7 0 0 4 3 1 2 0 0 0 1 1 1 2 1 0 1 0 4 11
"afraid" 1 0 7 10 3 6 6 9 7 0 6 9 2 0 3 2 15 3 4 11 6 2 1 3 2 7 4 10 8 7 3 8 1 5 2 5 14 45 7 4 41 3 16 7 4 1 0 4 1 5 37 2 4 6 2 2 40 13 6 12 3 12 1 2 6 4 5 4 11 3 5 3 0 3 3 7 22 1 1 11 15 6 5 3 3 3 2 1 7 3 4 1 6 3 1 32
"agreeable" 0 7 0 5 3 5 1 4 3 2 3 7 5 1 1 1 7 2 4 7 9 3 0 4 0 5 1 3 4 5 4 4 2 4 1 5 8 24 2 2 25 2 8 2 5 4 0 3 1 7 30 2 4 6 4 1 20 6 3 8 3 10 1 4 4 3 4 8 4 7 3 1 1 2 3 4 13 0 1 5 11 3 4 2 1 1 0 1 0 0 3 2 4 2 2 23
"alone" 2 10 5 0 4 3 1 9 3 4 6 5 3 0 1 2 12 3 4 6 2 0 7 2 0 3 4 2 3 7 5 6 4 0 1 7 12 38 5 4 30 1 9 8 4 1 2 2 1 1 29 4 3 7 1 2 29 10 8 9 0 14 1 1 2 3 3 9 8 5 4 1 0 2 0 2 18 2 2 12 13 3 8 3 1 3 1 2 7 1 3 4 4 3 3 24
"angry" 3 3 3 4 0 2 0 9 1 2 3 5 0 0 0 1 7 3 3 5 2 1 6 4 1 1 4 2 2 2 3 2 1 2 3 5 10 18 2 3 20 1 6 4 2 2 1 1 4 2 21 3 3 4 1 1 18 6 3 8 2 10 1 2 1 2 2 9 1 1 4 0 4 3 1 4 7 0 0 7 11 4 4 2 2 2 2 2 2 2 2 0 4 1 2 19
"anxious" 0 6 5 3 2 0 1 8 5 0 2 4 4 0 1 1 10 3 5 0 7 1 3 3 1 2 5 2 7 2 0 3 2 2 1 8 10 23 3 3 20 3 5 7 5 0 1 1 1 3 24 2 3 1 2 1 18 8 1 9 3 7 1 3 1 4 3 7 2 3 2 2 1 0 1 3 17 0 2 5 7 3 3 5 3 1 2 1 3 2 3 1 3 2 0 17
"awkward" 0 6 1 1 0 1 0 3 2 0 1 3 2 0 1 0 1 2 1 3 1 0 0 2 1 2 0 0 3 3 0 0 1 0 1 2 4 8 2 0 6 0 3 1 4 1 0 1 1 1 9 0 0 1 1 0 7 0 3 2 3 1 0 2 0 1 2 3 2 2 1 1 0 2 0 3 7 0 1 3 3 2 3 0 1 0 0 1 1 0 2 0 1 1 0 6
"bad" 0 9 4 9 9 8 3 0 6 1 4 7 2 2 5 3 17 2 6 8 4 2 7 4 3 6 9 2 7 6 2 6 0 3 4 7 19 49 2 7 38 4 12 8 10 1 0 1 3 10 47 8 2 8 2 2 36 16 5 11 3 16 3 3 2 3 4 11 13 7 3 3 4 4 4 6 20 4 1 9 18 4 5 2 5 3 5 1 2 1 3 2 4 3 4 39
"beautiful" 2 7 3 3 1 5 2 6 0 0 0 7 3 4 1 2 12 4 2 8 5 5 1 4 1 2 3 5 5 6 3 5 2 1 2 6 13 32 4 2 32 6 6 7 3 1 2 3 2 3 31 3 2 9 1 0 32 9 4 9 3 13 1 5 4 2 6 4 3 3 2 4 0 1 3 2 13 0 2 6 8 5 8 2 4 1 0 2 2 2 3 3 3 3 4 25
"bitter" 2 0 2 4 2 0 0 1 0 0 3 2 0 0 0 1 2 0 2 4 1 1 1 1 2 0 0 1 2 3 1 0 0 1 1 2 4 11 2 1 8 1 2 5 0 2 1 0 2 1 10 0 1 1 0 2 7 0 0 1 0 6 1 1 3 1 0 2 1 2 1 0 1 1 1 0 2 0 0 4 5 0 1 1 1 0 0 1 0 1 2 0 0 0 3 7
