"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "awake" "bad" "beautiful" "bitter" "blind" "bright" "busy" "calm" "careful" "certain" "cheap" "cheerful" "clean" "clever" "cold" "comfortable" "cruel" "curious" "difficult" "eager" "excellent" "expressive" "extraordinary" "fair" "familiar" "fat" "fine" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "helpless" "honest" "impatient" "important" "innocent" "interesting" "kind" "little" "lively" "lonely" "loud" "natural" "neat" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "professional" "proper" "proud" "quiet" "remarkable" "respectable" "respectful" "rich" "rough" "sad" "satisfied" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thin" "tired" "troubled" "unusual" "useful" "violent" "warm" "weak" "wise" "worthy" "young" "youthful"
"active" 0 0 1 1 1 0 3 1 1 1 0 0 0 1 0 0 1 0 0 2 1 2 1 0 1 0 0 0 0 0 0 0 0 1 1 2 7 0 6 0 0 1 0 0 1 1 0 0 0 5 0 0 1 0 0 0 8 3 0 1 1 0 5 0 0 1 0 0 0 1 1 1 0 1 1 0 1 1 2 2 2 1 0 2 0 0 1 0 1 0 0 0 1 0 1 7 0
"affectionate" 0 0 0 0 0 0 2 0 0 1 0 0 1 0 1 0 1 2 1 0 1 2 1 0 0 0 1 0 0 0 0 0 0 1 1 2 6 0 5 1 2 0 0 0 0 0 0 0 1 4 0 0 0 0 0 1 5 2 2 0 1 0 2 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 3 0 2 1 0 0 0 0 1 0 0 1 0 1 1 0 0 4 1
"afraid" 1 0 0 3 3 2 4 2 8 5 0 1 4 1 6 2 4 0 3 2 4 6 1 2 4 1 2 1 1 1 0 2 1 0 3 5 17 1 17 0 3 2 0 3 1 0 1 1 2 20 2 2 3 3 1 0 20 5 2 0 1 2 13 1 1 2 1 2 1 3 5 2 0 1 4 0 2 1 12 4 8 1 3 2 1 3 1 1 2 0 6 1 3 1 3 20 0
"agreeable" 1 0 3 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 2 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 5 0 3 1 1 1 0 0 0 0 2 0 0 5 0 0 2 3 1 2 5 1 0 1 0 0 3 0 1 0 0 1 0 0 2 1 1 0 1 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 1 5 0
"alone" 1 0 3 0 0 3 2 1 3 5 2 0 2 1 3 0 0 0 1 1 1 6 2 2 2 3 1 2 3 1 1 1 0 1 3 2 17 0 15 1 3 2 4 2 0 0 1 1 1 14 3 2 3 2 1 2 18 4 1 1 1 1 8 0 1 2 3 2 1 6 0 2 2 1 2 2 2 2 11 5 5 2 3 2 3 0 2 1 3 0 5 1 4 0 3 18 2
"angry" 0 0 2 1 3 0 0 0 3 2 0 0 3 0 1 0 1 0 0 0 1 4 1 1 0 1 2 0 2 0 0 1 1 0 1 0 6 1 8 0 1 2 1 0 2 0 3 0 0 8 1 0 4 0 1 2 10 2 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 2 3 4 0 1 1 2 2 0 0 0 0 2 0 0 0 0 9 0
"anxious" 3 2 4 0 2 0 0 0 5 3 0 1 1 3 3 3 7 0 1 1 1 7 2 1 1 2 2 2 0 3 2 1 2 2 4 8 19 2 15 1 6 1 0 0 2 4 1 0 5 16 0 4 1 1 1 0 20 7 4 1 2 1 8 0 1 2 1 1 1 7 1 1 2 2 2 3 1 1 9 4 6 2 3 3 2 1 1 1 2 2 1 4 1 1 2 20 4
"awake" 1 0 2 0 1 0 0 0 0 1 0 0 2 2 1 0 0 0 2 0 2 2 1 0 0 0 0 0 0 1 0 0 0 1 0 4 4 0 3 0 3 0 1 1 0 0 0 0 2 5 1 0 3 0 0 0 4 2 1 0 1 1 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 1 5 0 3 0 0 0 1 1 0 0 0 0 1 0 2 0 1 3 0
"bad" 1 0 8 1 3 3 5 0 0 3 2 1 3 0 3 1 4 0 2 0 3 7 1 6 3 0 0 1 1 1 0 0 1 3 4 4 21 1 19 2 10 3 0 0 0 3 4 3 3 17 1 1 2 2 1 4 20 6 2 3 1 2 13 0 2 2 2 0 2 6 1 2 1 1 2 2 1 0 9 9 8 2 6 0 2 2 4 2 3 1 3 2 2 1 1 18 1
"beautiful" 1 1 5 1 5 2 3 1 3 0 0 1 3 2 3 0 5 0 4 1 4 5 3 0 2 0 1 0 0 2 1 1 1 1 6 2 15 1 15 2 9 5 1 1 1 2 3 1 6 14 2 1 0 0 3 3 19 3 2 0 4 1 8 1 2 0 1 1 3 4 0 1 2 4 1 2 0 0 6 1 8 1 3 0 2 1 0 1 1 0 2 4 3 0 2 18 0
"bitter" 0 0 0 0 2 0 0 0 2 0 0 0 1 1 0 0 0 1 1 1 0 3 0 1 0 1 0 1 0 0 0 0 0 1 1 1 7 1 6 0 2 1 0 0 0 0 0 0 0 4 0 0 1 0 0 0 8 0 0 1 1 0 5 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 2 1 0 2 0 0 1 0 0 1 0 2 1 0 0 1 3 0
"blind" 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 1 6 0 5 0 2 1 0 1 1 0 2 1 1 6 0 0 1 0 0 1 8 3 0 0 0 0 4 0 1 0 0 0 2 1 1 1 0 0 1 1 0 1 3 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 3 7 0
"bright" 0 1 4 1 2 3 1 2 3 3 1 1 0 2 1 0 5 1 2 2 2 7 2 2 1 1 2 0 1 1 1 1 1 1 1 1 12 1 10 0 2 2 0 2 1 0 2 1 2 13 0 0 3 1 0 0 15 5 2 1 1 1 5 1 3 1 2 1 1 4 2 1 1 1 1 2 0 0 4 3 5 1 1 1 1 2 1 0 1 0 3 0 2 0 3 11 0
"busy" 1 0 1 0 1 0 3 2 0 2 1 1 2 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 1 1 5 0 8 0 1 2 1 0 2 0 1 0 0 6 1 1 2 0 0 0 7 3 1 1 1 0 2 1 1 0 1 0 2 0 0 0 1 1 0 1 0 1 3 0 2 1 1 1 0 0 0 0 1 0 2 1 1 0 1 6 0
"calm" 0 1 6 0 3 1 3 1 3 3 0 0 1 0 0 0 2 0 2 0 0 4 1 1 0 1 1 0 1 1 0 0 0 0 3 2 8 0 5 0 4 2 0 1 0 0 0 0 2 8 1 2 1 0 1 2 8 1 3 0 1 2 2 0 1 1 0 0 1 3 0 0 0 0 1 0 0 0 4 2 3 1 1 1 2 0 0 2 1 0 0 2 3 0 1 5 0
"careful" 0 0 2 1 0 0 3 0 1 0 0 0 0 0 0 0 1 0 1 0 3 3 0 0 1 1 0 2 0 1 1 0 1 0 2 2 6 2 5 0 2 1 0 2 1 2 0 0 1 7 0 1 1 1 1 1 7 0 0 1 0 0 3 0 2 0 0 1 0 1 1 1 1 0 1 1 1 1 4 1 1 0 1 0 0 1 0 1 0 2 1 3 1 1 3 6 2
"certain" 1 1 4 1 0 1 7 0 4 5 0 0 5 1 2 1 0 1 2 1 2 12 1 2 1 1 1 1 0 3 0 3 1 1 3 3 17 1 17 2 5 5 0 2 1 1 2 2 3 21 1 2 3 1 1 3 17 5 3 1 2 1 12 1 1 1 0 4 1 8 1 2 0 0 2 1 0 0 8 4 10 1 4 2 1 2 3 0 0 3 4 2 0 2 2 17 0
"cheap" 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 2 1 3 0 0 0 0 1 0 0 0 0 0 0 1 1 2 6 0 7 1 1 1 0 0 0 0 0 1 0 5 0 0 1 0 0 1 3 1 0 0 1 1 5 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 2 2 0 0 0 0 0 6 0
"cheerful" 0 1 3 1 1 0 1 2 2 4 1 1 2 0 2 1 2 1 0 2 1 3 2 1 2 0 0 0 0 1 0 0 1 1 2 3 9 1 10 2 7 2 1 3 1 1 1 0 1 12 0 0 0 0 0 2 9 5 2 0 2 1 3 0 1 1 0 1 0 1 2 0 1 1 3 1 1 1 7 1 4 0 2 1 1 0 1 0 0 0 1 1 1 0 2 7 0
"clean" 2 0 2 1 1 0 1 0 0 1 1 0 2 0 0 0 1 2 2 0 1 3 2 0 1 1 1 0 0 1 0 0 1 1 4 2 8 1 7 1 3 3 0 0 0 1 1 1 1 10 0 1 0 1 3 0 7 0 0 1 2 0 8 0 0 2 0 1 0 1 1 1 1 1 0 2 0 0 2 2 2 0 2 2 0 1 2 0 1 1 1 2 2 0 1 9 0
"clever" 1 1 4 2 1 1 1 2 3 4 0 0 2 1 0 3 2 1 1 1 0 2 1 0 2 2 0 0 0 0 0 0 1 2 1 1 8 1 6 1 2 0 0 1 2 2 1 1 1 9 1 0 2 2 1 2 10 2 0 1 1 0 8 0 3 0 0 0 0 2 0 1 1 1 1 0 2 1 6 0 3 0 2 0 0 1 0 1 0 1 2 1 1 1 1 10 1
"cold" 2 2 6 1 6 4 7 2 7 5 3 1 7 2 4 3 12 3 3 3 2 0 4 3 0 4 4 1 1 2 1 3 2 2 8 8 28 5 33 2 9 8 1 0 2 1 2 4 5 27 1 7 10 1 5 7 34 10 4 2 1 3 18 0 2 2 1 5 1 8 2 1 3 3 3 4 2 2 13 8 12 2 7 2 4 6 4 3 0 3 6 6 5 1 5 26 3
"comfortable" 1 1 1 0 2 1 2 1 1 3 0 0 2 0 1 0 1 0 2 2 1 4 0 0 1 0 0 0 0 3 0 0 2 0 2 2 8 0 6 0 2 1 0 1 1 2 1 1 2 8 0 0 0 0 1 2 7 2 2 0 2 1 2 0 1 0 0 1 0 1 1 0 1 2 1 0 0 0 2 1 2 1 0 0 0 1 1 0 0 0 1 0 3 0 0 5 0
"cruel" 0 0 2 0 2 1 1 0 6 0 1 1 2 0 1 0 2 0 1 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 1 7 0 5 0 3 3 0 0 0 0 1 1 0 5 0 1 2 0 0 1 6 1 1 0 0 1 4 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 2 2 2 0 2 0 2 0 3 0 0 0 1 0 0 0 0 3 0
"curious" 1 0 4 1 2 0 1 0 3 2 0 0 1 0 0 1 1 0 2 1 2 0 1 0 0 0 0 0 1 2 0 1 0 0 1 1 9 0 7 0 1 2 0 2 1 1 1 1 0 6 2 0 0 1 1 2 9 0 0 2 1 0 4 2 1 2 2 1 0 2 3 0 0 1 2 1 1 1 6 2 4 0 0 2 0 0 0 1 0 0 3 0 0 1 2 10 0
"difficult" 0 0 1 1 3 1 2 0 0 0 1 1 1 1 1 1 1 0 0 1 2 4 0 0 0 0 0 0 1 0 2 1 0 0 2 0 7 0 6 0 0 0 2 1 2 1 1 1 0 9 1 1 2 2 0 2 9 1 1 1 1 0 4 0 2 1 0 0 0 2 0 1 0 0 0 0 0 1 3 2 3 1 2 2 0 0 0 0 1 1 1 2 0 0 0 9 1
