"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awkward" "bad" "beautiful" "blind" "capable" "cautious" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "concerned" "cruel" "curious" "delighted" "delightful" "desirable" "determined" "difficult" "disappointed" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "ignorant" "impatient" "important" "intelligent" "interested" "interesting" "kind" "little" "lively" "lucky" "mean" "natural" "nervous" "nice" "old" "open" "original" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "pretty" "private" "proper" "proud" "quiet" "reasonable" "remarkable" "respectable" "rich" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "sweet" "tall" "thankful" "uncomfortable" "unhappy" "unlucky" "unreasonable" "useful" "valuable" "violent" "warm" "weak" "well" "young"
"active" 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 2 1 0 0 0 0 0 1 2 0 0 3 1 1 1 0 0 1 1 0 0 1 3 1 0 0 1 1 1 0 1 0 0 1 1 1 0 3 1 1 0 1 1 0 1 0 1 0 0 0 2 0 1 1 1 1 0 1 0 1 0 0 0 0 2 0 1 0 0 0 3
"affectionate" 1 0 5 2 1 1 3 3 2 1 2 2 1 1 0 2 2 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 2 0 4 1 0 1 1 2 0 2 12 1 2 10 2 9 2 4 1 0 0 1 0 3 13 2 1 1 3 1 0 0 1 0 1 1 2 4 0 4 2 2 3 2 2 4 0 0 2 3 0 0 1 2 2 4 1 4 1 2 0 0 2 1 2 2 1 1 2 1 1 0 9
"afraid" 0 5 0 7 4 4 5 5 1 2 6 3 1 4 0 11 5 1 1 3 3 1 1 3 3 5 2 2 1 1 1 2 4 5 4 4 2 5 2 2 0 8 25 2 1 19 5 13 2 3 3 3 0 1 2 4 24 1 2 3 5 0 1 3 2 2 3 6 7 4 0 6 2 2 5 4 3 4 1 3 1 6 0 4 5 6 11 2 3 3 5 3 0 3 0 2 4 0 0 2 3 2 1 4 15
"agreeable" 1 2 7 0 4 2 6 4 2 4 3 4 2 3 1 11 6 0 2 9 5 0 2 2 2 5 4 3 2 2 3 1 9 0 6 4 2 5 6 0 3 7 22 0 4 23 9 16 2 0 2 2 2 3 4 3 20 5 1 0 3 1 1 3 2 2 2 6 10 7 2 3 6 5 4 6 0 1 3 3 2 7 1 0 10 4 12 1 4 5 9 2 2 1 0 3 1 1 2 2 2 1 0 1 19
"alone" 1 1 4 4 0 1 3 2 1 0 2 1 1 2 1 2 1 1 1 1 0 1 0 0 0 0 2 0 1 1 1 1 2 0 2 2 2 0 0 1 0 4 8 0 0 8 1 6 1 1 0 0 1 0 1 3 10 2 1 0 2 1 0 1 1 2 1 1 3 3 0 4 2 2 0 1 0 1 1 1 1 4 0 1 4 2 4 0 0 1 1 1 0 0 0 3 0 0 1 2 1 1 1 0 5
"angry" 1 1 4 2 1 0 4 2 0 1 0 2 0 1 0 6 0 0 0 0 0 1 0 1 1 4 1 0 2 2 1 0 1 3 2 5 0 1 1 0 0 1 9 1 1 10 3 5 1 1 0 1 1 0 0 1 13 3 0 1 1 0 3 1 4 0 0 2 3 2 0 1 2 1 3 2 2 2 0 0 2 2 0 2 2 3 5 1 1 2 3 0 1 1 2 0 1 0 0 1 1 0 0 0 8
"anxious" 0 3 5 6 3 4 0 2 1 3 4 3 1 2 1 5 3 2 1 3 3 0 0 1 3 3 0 3 1 2 3 3 4 2 3 4 2 1 1 3 2 4 18 2 0 16 6 11 1 2 2 1 0 1 2 3 16 4 1 1 1 0 0 1 1 0 0 0 4 5 0 3 1 1 0 5 3 3 0 3 2 2 2 1 7 3 7 1 2 0 4 1 2 1 2 1 1 1 3 1 2 1 2 1 12
"ashamed" 0 3 5 4 2 2 2 0 1 0 1 0 1 2 0 2 1 2 0 2 3 2 0 0 0 3 0 0 0 1 4 2 2 3 2 0 0 1 0 1 0 3 12 1 0 11 1 6 0 1 0 2 0 1 2 1 9 2 0 1 3 0 1 3 0 0 1 2 6 0 0 2 2 0 3 3 1 5 0 2 0 3 1 2 6 4 4 1 1 3 1 0 1 0 1 2 2 0 0 1 0 0 0 0 7
"attentive" 1 2 1 2 1 0 1 1 0 2 1 1 0 2 0 2 2 1 1 3 3 1 1 1 1 1 1 1 0 1 2 0 0 0 3 0 0 1 0 0 0 2 6 0 0 7 3 3 0 1 1 0 0 1 3 3 6 1 2 0 0 1 0 0 0 1 0 1 2 3 1 2 0 1 1 3 0 0 0 1 2 1 0 0 2 0 3 1 1 0 2 1 0 1 0 2 0 1 1 0 1 0 1 0 5
"awkward" 0 1 2 4 0 1 3 0 2 0 0 2 1 1 0 3 2 0 1 1 2 1 1 1 2 2 1 1 1 1 0 0 1 1 3 2 0 0 1 0 0 1 6 0 2 8 3 5 1 0 0 0 0 0 1 1 6 2 2 0 1 0 0 1 0 0 0 3 1 1 2 2 0 2 1 3 1 1 1 3 3 1 0 0 1 1 1 1 0 1 2 0 0 0 0 1 0 0 0 0 1 1 0 0 4
