"afraid" "agreeable" "alone" "anxious" "big" "calm" "certain" "cheerful" "cold" "comfortable" "difficult" "eager" "excellent" "fair" "faithful" "fine" "firm" "foolish" "furious" "glad" "good" "great" "handsome" "happy" "hard" "honest" "ignorant" "impatient" "little" "natural" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "proper" "quiet" "religious" "remarkable" "rich" "sad" "satisfied" "secure" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "terrible" "thankful" "unhappy" "useful" "violent" "weak" "wise" "wonderful" "young"
"afraid" 0 2 0 1 3 1 3 1 2 0 0 1 1 0 0 2 1 0 1 2 6 9 1 0 1 1 0 0 6 1 1 3 2 2 2 1 3 2 1 1 1 0 0 1 1 1 2 0 0 4 1 1 2 4 1 1 1 0 1 0 0
"agreeable" 2 0 0 3 2 0 0 0 1 1 0 0 3 1 0 1 1 0 0 2 8 8 1 2 2 0 0 1 7 2 2 1 0 4 3 0 2 1 1 0 1 1 0 1 0 0 1 3 0 3 3 3 0 2 1 1 0 0 1 0 2
"alone" 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 1 5 5 0 0 1 1 0 1 5 0 0 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 2 0 0 1 2 0 1 0 0 2 1 0
"anxious" 1 3 0 0 2 0 0 0 2 1 1 0 1 2 0 0 2 0 0 1 6 7 0 0 1 0 0 0 7 0 2 1 0 0 1 0 5 1 1 0 0 0 0 0 0 0 0 3 0 1 2 5 1 0 0 1 1 1 0 0 0
"big" 3 2 1 2 0 1 2 2 1 2 1 2 1 1 0 3 3 1 1 1 9 17 3 2 5 2 3 0 13 1 4 1 1 2 2 2 5 5 1 1 0 1 1 0 1 1 1 2 0 3 10 3 1 2 0 0 0 0 0 1 5
"calm" 1 0 1 0 1 0 1 1 0 0 0 2 1 1 1 2 1 1 0 1 7 13 0 2 1 0 1 1 12 0 2 5 1 1 2 1 0 2 3 1 0 0 2 1 1 0 2 3 0 2 7 0 3 1 1 3 2 1 2 0 3
"certain" 3 0 2 0 2 1 0 2 2 0 0 2 1 3 2 0 0 1 1 3 9 13 1 1 2 2 1 0 12 1 3 1 2 0 1 0 4 3 1 2 1 1 2 5 2 2 3 1 1 3 1 3 4 3 1 0 1 1 3 1 0
"cheerful" 1 0 1 0 2 1 2 0 1 0 0 0 0 2 0 1 0 0 1 2 6 5 0 1 0 1 0 0 6 0 1 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 2 0 1 2 1 1 2 0 0 0 0 1 0 1
"cold" 2 1 0 2 1 0 2 1 0 0 2 1 0 0 0 2 0 0 1 0 5 5 1 0 1 0 1 0 7 0 2 1 1 0 2 0 2 1 0 0 0 0 1 0 0 1 0 2 0 1 2 1 2 1 0 0 1 1 0 0 1
"comfortable" 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 4 7 0 2 0 1 1 1 6 0 3 2 0 1 0 1 3 1 1 1 0 0 0 1 1 0 1 1 1 2 2 2 1 3 0 1 0 0 0 1 3
