"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awful" "bad" "beautiful" "bright" "busy" "careful" "certain" "cheerful" "cold" "comfortable" "confused" "cool" "curious" "delightful" "devoted" "difficult" "distinguished" "excellent" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "honest" "hopeful" "important" "innocent" "interested" "joyful" "kind" "little" "natural" "neat" "old" "open" "plain" "pleasant" "pleased" "poor" "powerful" "practical" "pretty" "private" "professional" "proper" "proud" "quiet" "remarkable" "respectable" "rich" "rough" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "thin" "tired" "troubled" "unhappy" "unusual" "useful" "warm" "weak" "well" "worthy" "young" "youthful"
"active" 0 1 2 3 1 1 1 2 2 3 3 1 0 3 3 5 0 3 0 0 2 1 1 0 2 1 4 1 1 2 1 5 0 0 6 14 2 13 1 4 0 1 1 0 1 1 0 1 18 4 0 11 5 1 1 0 5 2 1 5 2 3 1 2 5 3 2 1 0 1 0 7 3 8 3 1 0 0 0 3 1 1 1 0 0 2 10 0
"affectionate" 1 0 4 3 1 3 1 2 0 1 5 4 5 4 1 4 2 1 1 1 1 5 1 0 5 2 3 1 2 3 1 3 1 3 11 17 2 19 2 8 2 1 0 0 1 1 1 4 22 3 3 17 7 2 3 2 10 1 1 3 0 3 2 0 5 1 4 4 2 2 2 7 0 2 4 0 3 1 1 5 2 2 1 3 1 1 13 2
"afraid" 2 4 0 10 9 9 5 4 2 2 9 8 14 7 3 6 4 5 6 2 2 10 3 6 7 3 7 3 5 3 3 7 7 2 16 52 4 40 5 17 6 4 4 2 2 4 3 9 55 16 0 38 11 5 8 4 31 3 2 8 4 3 2 2 15 3 4 3 2 5 3 17 7 12 5 4 0 7 3 6 2 5 1 10 4 2 26 1
"agreeable" 3 3 10 0 3 5 6 3 1 2 6 8 7 3 2 7 4 6 4 2 1 7 3 4 3 1 5 2 2 3 3 13 2 3 13 39 1 34 7 13 2 0 3 2 2 5 1 4 45 6 0 24 11 6 12 1 19 2 7 10 4 2 2 3 7 3 6 5 3 4 2 13 8 5 3 3 5 4 3 4 2 4 1 5 3 1 23 2
"alone" 1 1 9 3 0 2 3 1 2 1 9 9 8 5 2 5 2 7 3 3 1 4 3 3 3 0 4 1 2 4 4 8 2 2 8 37 1 29 4 9 5 5 0 1 5 1 2 5 45 5 0 26 9 4 2 2 15 2 2 2 3 1 1 3 11 3 1 1 1 3 1 10 10 6 3 2 2 6 2 1 2 3 3 2 2 2 25 1
"angry" 1 3 9 5 2 0 2 4 1 1 6 4 3 1 2 5 0 3 1 2 2 3 0 1 2 1 2 0 4 2 1 2 2 0 7 25 3 18 2 5 4 0 1 0 0 4 1 4 23 5 0 11 5 1 4 2 13 1 3 1 3 2 0 2 2 0 2 1 3 1 1 4 2 4 3 1 1 1 2 2 2 1 2 2 0 1 14 0
"anxious" 1 1 5 6 3 2 0 3 4 1 7 4 6 5 2 9 4 4 4 2 2 7 4 2 5 0 8 1 1 1 4 2 2 3 9 27 2 25 7 14 4 5 3 3 2 2 2 6 34 6 1 20 6 5 8 4 11 0 3 5 5 3 4 2 7 1 6 4 0 4 2 11 5 4 2 5 6 1 2 4 1 3 3 2 4 3 16 3
"ashamed" 2 2 4 3 1 4 3 0 0 0 6 7 6 4 1 2 2 6 2 2 1 5 0 0 3 0 3 1 3 2 2 4 3 2 7 21 1 16 2 10 1 3 2 2 2 2 1 3 23 3 3 15 5 1 2 0 11 0 0 8 1 1 0 3 5 0 0 4 1 3 0 8 2 3 3 2 0 2 2 4 0 2 0 2 1 3 9 0
"attentive" 2 0 2 1 2 1 4 0 0 1 2 0 5 2 0 4 2 3 3 2 2 3 1 0 1 2 1 1 0 0 3 1 1 2 4 11 2 13 4 0 3 1 1 2 3 0 0 2 17 4 0 13 4 3 0 1 5 1 0 2 1 3 1 3 4 1 0 1 1 2 2 6 4 5 0 0 0 0 2 1 0 1 2 0 0 2 4 0
"awful" 3 1 2 2 1 1 1 0 1 0 3 1 2 1 3 1 0 7 0 0 1 0 1 0 1 0 3 0 4 0 3 3 1 0 6 12 2 12 2 2 1 0 0 1 1 0 0 1 16 1 0 13 3 1 3 1 5 0 0 1 0 2 4 2 6 0 0 1 0 2 2 7 0 3 2 0 1 2 0 0 1 1 3 1 1 1 6 1
"bad" 3 5 9 6 9 6 7 6 2 3 0 4 8 6 4 15 1 10 4 3 2 13 2 1 6 5 8 1 7 4 7 10 6 0 14 53 4 39 9 9 12 5 2 4 3 9 2 7 57 13 5 45 15 4 4 2 20 3 3 9 6 5 4 2 12 3 6 6 5 4 2 20 8 11 5 3 3 6 5 4 3 1 5 7 4 0 30 4
"beautiful" 1 4 8 8 9 4 4 7 0 1 4 0 13 5 2 9 9 7 4 3 2 8 6 5 5 4 7 2 3 6 6 10 2 4 11 39 1 41 9 15 3 5 5 3 4 5 4 4 47 12 5 34 8 6 8 2 18 3 1 13 4 2 1 10 12 2 2 7 1 7 1 15 11 9 7 9 4 6 3 4 2 2 7 4 2 0 30 4
"bright" 0 5 14 7 8 3 6 6 5 2 8 13 0 15 4 10 5 13 10 1 3 12 8 4 5 2 5 0 5 2 8 16 3 5 16 48 3 45 11 18 4 5 5 3 6 4 6 9 56 14 6 45 12 6 11 3 25 2 3 10 4 2 2 8 11 0 4 9 3 6 2 14 12 9 6 8 2 6 4 3 2 3 5 3 4 7 28 5
"busy" 3 4 7 3 5 1 5 4 2 1 6 5 15 0 6 6 6 4 5 1 2 7 3 1 5 1 4 3 4 1 4 8 1 5 12 34 2 31 7 16 4 4 2 1 2 3 2 5 39 2 4 24 10 3 8 1 15 1 2 7 3 2 2 3 4 3 2 6 2 2 1 10 5 9 7 3 2 4 2 6 0 4 4 3 0 3 16 1
"careful" 3 1 3 2 2 2 2 1 0 3 4 2 4 6 0 4 1 0 0 2 0 5 1 2 3 1 3 1 3 2 1 4 1 1 5 17 0 14 1 8 0 1 1 2 1 2 1 1 19 2 2 12 4 1 5 2 9 1 1 3 1 2 1 0 6 2 2 3 0 3 2 7 5 1 1 1 1 3 0 2 2 1 3 3 0 2 6 1
"certain" 5 4 6 7 5 5 9 2 4 1 15 9 10 6 4 0 5 4 0 3 4 4 0 2 7 5 7 2 5 8 12 12 3 2 13 42 3 33 11 12 7 4 4 3 8 2 4 8 52 15 6 40 10 5 13 1 12 0 5 11 5 4 2 5 15 1 5 5 5 3 3 13 7 7 5 3 5 0 4 2 4 3 2 5 5 3 30 3
