"active" "admirable" "affectionate" "agreeable" "alone" "annoying" "anxious" "awful" "beautiful" "bitter" "blind" "bold" "bright" "busy" "calm" "capable" "certain" "cheerful" "childish" "clean" "clever" "cold" "confused" "cool" "cruel" "dangerous" "delighted" "delightful" "dependent" "depressed" "devoted" "difficult" "disappointed" "distinguished" "eager" "enthusiastic" "evil" "excellent" "expressive" "fair" "familiar" "feminine" "fine" "firm" "fortunate" "furious" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "hard" "harmless" "helpless" "ignorant" "impatient" "innocent" "interested" "interesting" "kind" "little" "lively" "loud" "lovely" "modest" "natural" "nervous" "old" "open" "original" "passionate" "patient" "peaceful" "plain" "pleasant" "pleased" "poor" "powerful" "practical" "pretty" "proud" "remarkable" "rich" "romantic" "rough" "rude" "sad" "satisfied" "secure" "selfish" "sensitive" "serious" "short" "sincere" "strange" "strong" "surprised" "sweet" "tall" "terrible" "terrific" "thin" "unfair" "unhappy" "unusual" "valuable" "violent" "warm" "weak" "well" "wonderful" "young" "worthy" "useful" "youthful"
"active" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 1 0 0 1 0 0 0 3 0 0 2 0 0 0 1 0 0 0 0 0 1 2 0 2 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0
"admirable" 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 3 0 1 0 2 2 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0
"affectionate" 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 2 2 1 2 0 1 1 0 0 0 1 1 1 0 0 0 3 1 0 1 0 0 0 2 0 0 1 0 0 0 1 0 2 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 1 2 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 2 2 0 0 0
"agreeable" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 2 0 3 2 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 1 0 1 0
"alone" 0 0 1 0 0 0 1 0 3 6 3 0 0 2 1 2 0 0 0 0 0 3 0 1 0 0 0 0 0 0 3 0 0 1 0 0 0 3 1 0 1 1 0 1 1 1 2 2 2 4 0 4 5 1 0 1 2 1 2 0 1 0 3 0 0 4 0 2 0 1 1 0 0 0 2 0 0 0 3 3 0 0 0 0 1 0 0 1 0 3 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 1 0 0 0 0 1 1 1 0 1 0 2
"annoying" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"anxious" 0 0 1 0 1 0 0 0 1 1 0 1 0 2 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 1 1 3 1 0 0 0 1 1 1 0 0 1 3 0 0 2 0 1 0 2 2 0 1 0 1 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 1
"awful" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"beautiful" 0 0 0 1 3 0 1 0 0 2 2 0 1 1 2 3 1 3 1 1 0 2 1 0 0 1 1 0 0 0 2 0 0 1 1 1 1 3 1 5 1 0 1 0 0 1 0 4 1 4 0 7 7 1 0 0 0 0 1 0 0 0 4 0 0 7 0 2 0 6 1 0 0 1 2 1 2 2 5 1 1 0 0 0 2 0 0 1 4 0 0 0 0 0 2 0 3 0 1 4 1 2 1 2 1 2 0 0 3 0 0 1 3 2 1 1 1
"bitter" 0 2 0 0 6 0 1 1 2 0 3 0 0 2 1 5 0 0 0 0 0 5 1 1 0 0 0 0 1 0 3 1 1 1 0 1 2 3 1 2 0 0 0 2 0 1 3 4 1 4 1 8 6 1 1 2 2 0 5 1 0 2 3 0 1 3 0 2 0 2 1 0 1 1 1 0 0 0 6 2 0 0 0 0 0 0 0 1 2 2 1 2 0 0 2 1 2 0 0 1 0 0 1 0 0 1 0 0 0 2 1 2 2 1 1 0 3
"blind" 1 0 1 0 3 0 0 0 2 3 0 0 1 0 0 1 0 3 0 0 0 1 0 0 0 0 0 1 0 1 2 1 1 0 0 0 1 3 0 1 2 0 0 0 0 0 2 4 1 6 1 4 4 0 2 0 2 0 1 0 0 1 6 1 1 4 0 0 0 5 0 1 0 0 1 0 1 0 3 1 0 0 0 0 1 0 0 2 1 0 0 0 1 1 0 1 2 1 0 1 0 1 0 0 0 3 0 0 0 0 0 0 2 1 0 0 1
"bold" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"bright" 1 0 0 1 0 0 0 0 1 0 1 0 0 1 2 1 0 2 1 0 0 1 1 0 1 0 2 0 0 0 1 0 1 0 1 0 0 0 0 1 2 0 0 0 1 0 0 3 1 0 0 1 3 0 0 1 0 0 0 0 0 0 5 0 0 3 0 1 0 0 0 1 0 0 1 0 1 0 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 2 0 1 1 1 3 0 0 1 0 0 3 0 1 2 1 0 0 0 2 0 1 0
"busy" 0 1 0 0 2 0 2 0 1 2 0 0 1 0 2 3 0 0 1 0 0 1 2 0 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 2 0 0 1 0 2 0 3 1 0 0 1 0 1 0 0 1 0 1 0 0 2 0 2 1 0 3 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1
"calm" 0 0 1 1 1 0 2 0 2 1 0 0 2 2 0 1 0 0 1 0 0 5 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 2 2 2 0 0 1 3 1 0 1 1 4 0 6 6 0 0 0 1 1 2 1 1 1 6 1 2 2 0 2 2 2 2 0 0 0 2 1 2 2 3 1 1 0 1 0 0 0 1 0 2 4 0 1 0 1 4 1 5 1 1 2 0 1 1 1 0 4 1 1 3 1 1 0 2 2 1 0 0
