"affectionate" "afraid" "agreeable" "alone" "angry" "awful" "awkward" "bad" "beautiful" "big" "bright" "busy" "certain" "charming" "cheerful" "childish" "clean" "cold" "confident" "confused" "conscientious" "cool" "curious" "dangerous" "devoted" "difficult" "excellent" "expressive" "extraordinary" "fair" "fine" "firm" "friendly" "generous" "gentle" "genuine" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "healthy" "important" "innocent" "kind" "liberal" "little" "lovely" "modest" "natural" "neat" "nice" "noisy" "old" "open" "ordinary" "original" "passionate" "pathetic" "pleasant" "pleased" "polite" "poor" "powerful" "pretty" "private" "proud" "quiet" "remarkable" "respectful" "responsible" "rich" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "social" "strange" "strong" "sweet" "sympathetic" "tired" "troubled" "unhappy" "unusual" "violent" "warm" "weak" "well" "wise" "wonderful" "worthy" "young" "youthful"
"affectionate" 0 1 0 0 2 0 1 2 0 0 2 0 2 3 0 2 1 1 0 0 1 1 2 0 1 1 1 2 1 0 0 1 2 2 2 0 3 4 1 1 1 2 2 2 1 0 2 1 0 8 1 0 2 1 2 0 4 3 0 0 0 1 0 0 0 4 0 1 1 0 2 0 0 1 0 2 0 0 0 1 3 1 3 2 0 0 1 0 1 0 0 1 2 1 0 0 2 8 1
"afraid" 1 0 1 2 0 1 0 1 2 1 3 1 3 0 1 2 0 2 0 2 1 0 0 2 2 0 0 0 1 2 0 0 1 2 0 0 2 8 0 0 5 2 0 2 0 1 1 2 0 10 2 0 0 0 1 0 4 4 0 1 1 0 0 0 0 5 1 3 0 0 3 0 1 0 0 1 0 0 1 0 3 0 1 7 1 3 1 0 1 0 1 0 0 2 0 1 1 7 1
"agreeable" 0 1 0 1 1 0 0 1 2 0 2 2 2 2 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 0 1 2 2 0 1 2 2 0 1 0 0 0 1 0 5 0 0 0 1 1 1 2 1 1 1 0 1 0 0 1 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 2 1 0 0 1 0 0 0 0 0 1 0 0 0 4 0
"alone" 0 2 1 0 1 0 1 2 4 0 7 1 4 1 1 1 0 1 0 1 2 3 3 0 1 4 1 3 0 2 2 1 0 1 1 1 1 14 0 1 11 1 3 4 1 2 1 1 1 17 1 1 7 1 3 0 9 7 2 1 2 0 0 1 1 8 1 2 1 4 6 2 2 0 0 0 0 1 1 2 5 1 4 3 2 1 0 1 1 1 2 1 0 0 2 3 0 10 0
"angry" 2 0 1 1 0 0 0 2 2 0 1 2 0 1 1 1 0 2 1 0 0 0 3 1 0 3 1 3 0 0 0 1 1 3 1 0 0 6 0 0 2 1 2 1 0 0 0 1 0 6 0 1 1 0 1 2 5 2 1 0 2 2 0 1 1 3 1 1 0 3 2 1 0 2 1 1 1 1 3 3 1 0 1 2 1 0 0 1 1 1 1 1 0 1 0 1 3 7 2
"awful" 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 0 1 3 0 0 3 0 1 1 0 1 0 0 0 4 0 0 1 0 0 0 4 0 0 0 0 0 2 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 1 2 1 0 0 0 0 0 0 0 0 2 0 0 0 2 1
"awkward" 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 2 3 1 0 3 0 0 1 0 0 0 0 0 3 0 0 1 0 2 0 2 1 0 0 0 0 1 1 1 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2 0
"bad" 2 1 1 2 2 2 1 0 3 0 1 1 1 1 2 0 1 1 1 1 0 0 2 3 1 3 0 2 2 2 0 1 3 1 1 1 3 13 0 1 9 1 1 2 1 0 2 3 1 12 1 0 2 0 1 0 9 0 1 0 0 1 3 1 0 8 0 1 1 0 3 1 0 2 0 0 0 0 0 0 6 1 3 5 3 2 0 1 1 0 1 0 2 2 0 0 0 9 0
"beautiful" 0 2 2 4 2 0 0 3 0 1 3 0 3 1 1 0 0 1 0 0 1 0 1 1 1 2 0 1 1 1 0 0 3 1 0 1 1 8 0 0 5 2 1 3 0 0 1 0 0 8 1 0 0 1 1 0 6 1 2 0 1 1 0 0 0 4 0 1 0 1 3 1 0 0 2 0 1 1 1 1 5 0 1 4 1 2 1 2 1 0 1 1 0 1 0 0 0 7 1
"big" 0 1 0 0 0 0 0 0 1 0 4 0 2 1 1 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0 1 0 2 0 0 0 1 5 1 0 6 1 0 0 1 0 0 0 1 4 0 1 1 0 1 0 6 3 0 0 0 1 1 0 0 4 1 1 1 2 2 0 1 0 2 0 0 1 0 0 1 0 2 2 1 0 2 0 0 0 0 2 1 1 1 1 0 3 0
"bright" 2 3 2 7 1 1 1 1 3 4 0 2 5 4 3 4 2 5 0 2 1 1 2 0 0 1 1 1 1 1 2 0 2 1 1 1 6 19 4 2 14 3 3 7 2 0 0 4 1 21 0 0 3 1 4 0 11 5 2 2 0 2 1 1 0 12 1 2 1 3 4 2 0 0 3 1 1 2 0 2 8 2 7 6 0 1 1 0 2 2 1 3 2 1 2 2 1 12 1
"busy" 0 1 2 1 2 0 0 1 0 0 2 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 5 0 0 3 1 0 0 0 0 0 1 0 5 0 1 1 0 1 2 3 2 0 0 0 0 0 1 1 2 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 2 2 1 0 0 0 0 1 1 0 0 0 0 1 1 3 0
"certain" 2 3 2 4 0 1 0 1 3 2 5 1 0 3 1 2 2 1 0 1 1 1 2 0 2 3 0 0 1 2 0 1 3 1 2 1 5 17 1 3 11 1 1 7 1 1 2 1 1 21 1 2 3 1 0 1 14 8 0 1 1 0 0 2 1 8 0 2 2 1 2 1 0 1 3 1 2 1 1 0 6 2 7 6 5 2 3 2 2 0 0 2 0 2 2 3 1 10 1
"charming" 3 0 2 1 1 0 1 1 1 1 4 0 3 0 0 2 1 0 0 0 0 0 1 0 0 2 1 1 1 0 0 0 0 1 1 1 3 4 1 2 4 1 1 4 0 0 0 1 2 6 0 0 1 2 2 0 2 3 0 1 0 1 0 0 1 4 0 0 0 0 1 0 0 1 0 1 0 0 0 1 3 1 2 1 2 0 1 0 1 0 0 1 1 0 0 0 1 3 1
"cheerful" 0 1 1 1 1 0 0 2 1 1 3 0 1 0 0 0 1 1 0 1 0 0 0 2 0 1 0 0 0 1 0 1 1 0 0 0 1 7 0 1 3 0 0 1 2 0 0 1 0 7 0 0 1 0 0 0 5 0 2 0 1 2 2 0 0 2 1 1 0 2 2 1 0 0 0 0 0 0 1 0 3 1 3 3 0 0 0 1 1 1 1 0 1 2 0 0 1 5 0
"childish" 2 2 0 1 1 0 1 0 0 0 4 0 2 2 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 2 4 1 0 1 1 3 1 0 0 0 0 0 4 0 0 1 0 1 0 4 1 0 1 0 1 0 0 0 2 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 1 3 1
"clean" 1 0 0 0 0 0 0 1 0 0 2 0 2 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 5 0 1 4 1 0 2 0 0 0 0 0 6 0 1 1 2 0 0 1 1 1 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 3 1 3 1 0 0 1 0 0 1 0 0 1 0 1 0 1 4 0
"cold" 1 2 0 1 2 1 0 1 1 2 5 1 1 0 1 0 1 0 1 2 1 0 1 0 1 1 1 0 0 3 0 1 3 1 0 0 2 12 0 1 9 2 0 1 0 1 0 1 0 10 1 2 1 1 2 2 9 7 0 1 1 0 1 1 1 7 1 2 0 3 2 1 0 0 2 2 3 2 2 0 4 1 4 3 1 0 1 0 1 2 2 2 0 5 0 4 2 7 0
"confident" 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 5 0 0 4 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 2 1 0 1 0 0 2 1 0 1 0 1 0 1 1 0 1 1 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 1 0 0 2 2 3 0
