"afraid" "agreeable" "alone" "anxious" "ashamed" "awful" "bad" "beautiful" "blind" "bright" "busy" "careful" "certain" "cheerful" "clean" "cold" "comfortable" "curious" "determined" "difficult" "dumb" "excellent" "expressive" "extraordinary" "fair" "familiar" "fine" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "helpless" "honest" "ignorant" "impatient" "innocent" "little" "lively" "lonely" "mean" "natural" "neat" "nice" "old" "open" "plain" "pleasant" "pleased" "polite" "poor" "powerful" "pretty" "private" "proud" "quiet" "remarkable" "rich" "ridiculous" "satisfied" "sensible" "serious" "short" "strange" "strong" "stupid" "surprised" "suspicious" "sweet" "terrible" "thoughtful" "tired" "uncomfortable" "violent" "warm" "weak" "wonderful" "worthy" "young"
"afraid" 0 4 4 4 2 3 6 6 1 8 0 3 5 2 2 3 0 3 1 3 0 2 2 3 0 2 5 1 1 5 14 2 15 1 2 5 0 2 1 1 1 23 1 2 4 2 2 2 21 10 0 4 2 2 10 2 2 4 3 7 0 5 1 3 2 3 8 1 6 2 6 2 0 2 1 3 2 1 2 2 1 1 12
"agreeable" 4 0 0 2 1 1 4 1 0 4 0 1 4 1 1 3 1 1 1 2 0 1 1 1 0 0 2 0 0 5 12 0 9 1 2 2 0 1 1 0 1 9 3 0 1 1 0 0 8 3 1 3 1 1 5 0 0 0 3 2 1 2 1 0 1 2 4 1 2 1 3 2 0 1 0 1 1 0 1 2 1 0 8
"alone" 4 0 0 3 1 3 3 2 3 3 1 1 4 1 1 4 0 0 1 3 1 0 2 1 1 2 2 1 1 3 11 3 8 2 1 5 1 2 1 3 1 16 2 1 0 0 0 0 13 6 0 1 1 0 4 1 2 2 3 2 0 3 1 0 1 2 4 5 4 1 1 1 2 0 1 1 1 4 0 0 2 0 11
"anxious" 4 2 3 0 0 1 2 1 1 4 1 0 3 2 0 5 0 2 1 1 2 0 0 2 0 2 0 0 1 3 9 0 6 1 0 2 1 1 0 1 0 13 1 1 0 3 0 1 10 5 2 4 0 0 4 1 1 3 1 7 2 1 0 0 1 1 4 1 5 1 0 0 0 1 0 0 0 1 1 0 2 0 4
"ashamed" 2 1 1 0 0 1 3 2 0 3 2 1 0 0 2 2 1 1 0 1 0 0 1 2 2 1 1 0 1 3 8 2 6 0 3 2 0 2 0 1 2 9 0 0 0 1 1 0 7 1 1 2 0 1 2 0 3 1 2 2 1 1 1 0 1 0 3 2 5 2 0 1 2 1 2 1 1 0 1 0 1 0 4
"awful" 3 1 3 1 1 0 2 2 0 4 1 1 1 1 1 3 1 0 0 2 1 0 0 0 0 2 1 1 0 2 8 2 8 3 1 2 2 2 1 1 2 12 0 1 0 0 0 0 9 2 1 2 1 1 5 2 0 2 3 4 0 3 0 0 2 2 3 2 1 0 1 0 1 2 2 1 1 0 1 1 1 0 5
"bad" 6 4 3 2 3 2 0 1 3 8 3 1 6 3 2 4 1 4 2 1 0 3 1 2 5 3 3 2 2 6 27 1 24 4 2 11 0 2 1 2 1 27 3 2 1 4 3 2 29 10 2 2 3 3 11 2 5 4 4 10 1 3 0 2 2 2 8 4 10 3 5 2 3 4 1 4 0 4 0 7 0 1 14
"beautiful" 6 1 2 1 2 2 1 0 4 5 1 0 2 0 0 7 1 3 0 3 0 1 1 1 0 0 5 1 1 4 11 1 13 2 3 3 1 0 3 0 1 16 0 1 1 3 1 2 12 5 1 3 3 1 7 1 2 2 7 6 1 3 2 1 1 1 3 2 4 0 1 0 1 1 1 2 2 0 0 1 6 0 12
"blind" 1 0 3 1 0 0 3 4 0 1 0 1 3 1 0 3 0 0 0 2 0 0 2 0 1 0 1 1 1 0 7 0 5 0 0 1 1 1 1 0 0 8 0 0 0 2 0 0 6 0 0 1 1 0 3 0 2 0 0 2 0 1 0 0 1 0 4 1 2 0 0 0 0 1 0 0 0 0 0 0 1 1 6
"bright" 8 4 3 4 3 4 8 5 1 0 2 0 5 2 1 6 3 2 3 6 1 1 2 3 1 1 6 0 1 1 14 1 16 2 2 4 1 3 1 0 2 20 1 3 1 2 2 0 17 9 0 2 1 1 10 0 1 1 5 8 3 3 1 2 1 3 5 7 6 2 2 1 3 1 2 1 2 2 3 1 3 0 9
"busy" 0 0 1 1 2 1 3 1 0 2 0 1 3 2 3 1 2 2 1 2 1 1 0 1 0 2 0 1 1 1 6 1 8 2 1 2 0 0 1 0 0 12 0 0 2 1 2 0 6 2 0 1 1 1 4 1 1 3 0 2 2 2 1 1 0 1 3 2 1 1 2 0 2 1 1 0 2 1 1 0 1 0 6
"careful" 3 1 1 0 1 1 1 0 1 0 1 0 2 1 1 0 0 2 1 0 0 0 0 1 0 0 1 0 1 2 7 1 2 0 0 1 1 0 0 0 1 8 0 0 1 1 0 0 3 2 0 1 0 0 3 1 0 0 0 1 0 3 1 0 0 0 2 0 0 0 1 2 0 1 1 2 1 0 0 0 0 1 2
"certain" 5 4 4 3 0 1 6 2 3 5 3 2 0 6 2 8 2 3 5 4 0 1 1 2 2 5 4 3 3 8 25 0 27 4 4 6 2 7 4 2 4 35 2 1 2 3 3 2 24 10 0 6 1 3 12 2 5 8 5 6 5 6 3 1 1 6 11 10 9 1 8 4 0 3 0 3 2 2 1 2 4 5 15
"cheerful" 2 1 1 2 0 1 3 0 1 2 2 1 6 0 4 0 2 1 0 2 0 1 0 0 1 1 0 0 2 2 9 0 9 1 1 2 0 1 1 0 2 11 0 0 3 2 0 0 10 6 0 3 2 1 3 2 1 3 0 3 0 3 0 1 0 1 2 3 1 1 2 0 0 0 0 1 1 1 2 0 0 1 5
"clean" 2 1 1 0 2 1 2 0 0 1 3 1 2 4 0 2 3 2 0 0 1 1 0 1 0 1 1 0 1 4 9 3 6 1 2 0 0 0 0 0 1 11 0 0 1 2 1 0 9 3 1 4 2 0 3 2 4 3 1 0 2 4 1 1 1 1 6 2 0 1 1 2 1 2 2 0 2 0 2 0 0 0 4
"cold" 3 3 4 5 2 3 4 7 3 6 1 0 8 0 2 0 4 2 2 4 1 1 0 1 1 1 3 1 1 6 28 3 21 2 3 4 0 2 1 1 2 26 1 2 3 5 1 0 24 12 2 3 1 2 12 1 4 0 5 8 3 5 0 0 2 3 7 6 8 0 1 2 3 4 2 1 2 4 3 2 2 1 15
"comfortable" 0 1 0 0 1 1 1 1 0 3 2 0 2 2 3 4 0 0 1 3 1 0 0 3 1 0 1 0 1 2 9 2 8 0 1 1 0 1 0 0 3 10 0 2 0 3 2 1 8 2 0 3 1 1 8 1 2 0 1 3 2 1 1 0 0 1 4 3 0 1 1 2 2 2 1 0 1 0 1 0 1 0 5
"curious" 3 1 0 2 1 0 4 3 0 2 2 2 3 1 2 2 0 0 2 0 1 0 0 2 0 1 4 2 2 3 12 0 10 0 1 3 1 0 0 1 1 16 0 0 0 1 2 1 13 5 0 3 1 0 4 0 1 2 0 4 1 1 4 3 0 2 3 1 3 0 2 0 1 0 0 1 1 3 1 3 2 0 7
"determined" 1 1 1 1 0 0 2 0 0 3 1 1 5 0 0 2 1 2 0 1 0 1 0 1 0 2 1 1 1 1 5 0 6 1 1 0 1 0 1 0 0 8 1 1 1 1 2 2 6 3 0 1 1 1 4 0 0 2 1 1 2 1 1 1 0 1 2 2 1 0 1 0 0 0 0 1 0 0 0 1 0 1 5
"difficult" 3 2 3 1 1 2 1 3 2 6 2 0 4 2 0 4 3 0 1 0 0 0 1 1 2 1 3 1 1 1 15 3 14 1 1 3 2 2 0 1 1 15 1 0 1 3 1 1 11 5 1 1 1 0 7 0 2 0 3 5 1 2 1 2 0 3 2 4 3 1 1 1 1 2 1 1 1 1 2 0 2 0 13
"dumb" 0 0 1 2 0 1 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 1 0 4 4 1 3 0 0 1 0 0 0 0 0 6 1 2 0 2 0 0 5 3 1 0 0 0 0 1 0 1 1 2 2 0 1 1 1 1 3 3 1 0 0 1 0 1 0 0 0 0 0 1 0 0 3
"excellent" 2 1 0 0 0 0 3 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 2 0 1 0 3 0 6 0 2 1 0 0 0 0 0 6 0 0 2 0 1 1 5 1 0 1 2 0 0 0 1 3 1 1 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 2 1 0 1 0 0 0 3
"expressive" 2 1 2 0 1 0 1 1 2 2 0 0 1 0 0 0 0 0 0 1 0 0 0 3 0 0 2 0 0 1 4 0 7 2 1 1 0 0 0 1 0 6 0 0 0 0 0 0 5 1 0 0 0 1 1 0 1 1 0 1 1 2 0 0 2 1 3 3 3 0 1 1 0 0 0 0 1 1 0 0 1 1 5
"extraordinary" 3 1 1 2 2 0 2 1 0 3 1 1 2 0 1 1 3 2 1 1 1 0 3 0 0 1 2 0 1 5 9 1 6 1 1 2 1 0 1 0 1 13 0 1 0 4 1 4 10 4 1 3 1 1 4 0 1 3 1 3 4 1 1 0 1 1 3 2 1 1 0 0 1 0 2 0 1 1 1 1 0 1 6
"fair" 0 0 1 0 2 0 5 0 1 1 0 0 2 1 0 1 1 0 0 2 0 0 0 0 0 1 0 1 0 1 6 1 4 0 0 2 0 1 1 1 0 6 0 0 0 2 0 0 6 2 0 0 0 0 1 1 1 0 1 2 0 0 0 0 0 0 0 3 3 1 0 0 1 1 0 2 0 0 0 1 0 0 3
"familiar" 2 0 2 2 1 2 3 0 0 1 2 0 5 1 1 1 0 1 2 1 1 1 0 1 1 0 1 1 0 1 4 1 5 2 0 3 0 1 1 1 0 8 1 1 1 2 0 1 7 2 1 1 0 1 1 1 2 2 2 1 0 2 0 1 1 0 2 2 1 1 1 0 0 1 0 2 0 0 0 0 1 1 7
"fine" 5 2 2 0 1 1 3 5 1 6 0 1 4 0 1 3 1 4 1 3 0 2 2 2 0 1 0 4 1 2 11 0 9 0 4 3 2 2 1 1 1 12 0 1 0 0 4 2 11 5 0 0 2 2 5 0 2 2 3 3 0 2 2 1 1 2 5 1 2 0 3 1 1 0 2 1 5 1 2 1 4 0 9
"friendly" 1 0 1 0 0 1 2 1 1 0 1 0 3 0 0 1 0 2 1 1 1 0 0 0 1 1 4 0 1 1 7 0 3 0 1 0 2 1 0 1 1 10 1 1 0 2 2 2 6 2 0 0 0 0 4 0 1 1 2 1 0 1 1 1 0 1 1 2 1 0 2 0 1 0 1 0 1 1 1 1 1 1 4
