"admirable" "afraid" "bad" "big" "bright" "capable" "cold" "concerned" "curious" "delighted" "determined" "eager" "excellent" "familiar" "famous" "fine" "gentle" "glad" "good" "gorgeous" "gracious" "great" "happy" "hard" "honest" "ignorant" "innocent" "little" "modest" "nice" "old" "open" "ordinary" "patient" "plain" "pleasant" "pleased" "proper" "quiet" "reasonable" "rich" "rough" "short" "strange" "strong" "sweet" "terrible" "thorough" "violent" "well" "wise" "young" "troubled"
"admirable" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"afraid" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 1 0 0 1 0 0 2 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0
"bad" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 5 0 0 7 0 1 1 0 1 6 0 1 0 1 1 0 0 1 1 1 1 1 3 0 1 2 0 0 1 0 0 0 1 2 0
"big" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 3 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 1 0
"bright" 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0
"capable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 2 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0
"cold" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0
"concerned" 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"curious" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 3 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 1 0 0 2 0
"delighted" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 1 2 0 0 0 1 0 2 0 1 1 1 0 0 1 1 1 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0
"determined" 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"eager" 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 2 0 0 2 1 2 0 0 2 3 0 0 0 1 1 0 0 1 0 0 0 1 2 0 2 0 0 1 0 0 0 0 3 1 0
"excellent" 1 0 1 0 0 0 0 1 2 1 1 1 0 0 1 0 1 2 5 0 1 6 1 1 1 0 1 5 0 1 0 1 1 1 1 1 1 0 0 0 2 0 1 0 0 2 1 0 0 0 1 1 1
"familiar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 3 0 0 0 2 0 1 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0
"famous" 0 1 1 0 0 0 0 1 0 2 1 0 1 0 0 0 1 0 1 0 1 3 0 0 0 1 0 3 0 1 1 1 0 0 1 1 2 0 1 1 2 0 0 2 0 0 0 0 0 0 2 1 0
"fine" 0 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 1 4 0 0 3 0 1 1 2 1 4 0 0 2 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0
"gentle" 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 3 0 0 1 0 0 3 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 1 2 1
"glad" 1 1 0 0 0 1 0 0 1 0 0 1 2 0 0 1 0 0 4 1 0 2 1 1 2 1 1 5 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 3 0 0 0 1 1 0 0
"good" 1 2 5 2 0 1 0 0 3 0 0 2 5 3 1 4 2 4 0 0 2 16 1 4 4 5 3 15 2 1 4 5 2 2 0 1 2 3 1 2 7 2 6 4 2 4 1 3 2 1 2 8 2
"gorgeous" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0
"gracious" 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 2 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0
"great" 1 1 7 3 2 2 2 1 1 2 1 2 6 3 3 3 3 2 16 1 1 0 1 3 2 5 2 17 1 2 3 6 1 1 1 3 2 2 1 3 7 2 6 4 1 3 2 1 0 1 5 6 1
"happy" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"hard" 1 0 1 1 0 0 0 0 1 0 0 2 1 0 0 1 0 1 4 0 1 3 1 0 0 1 2 2 0 0 0 1 1 0 0 0 0 1 0 0 1 0 3 0 1 1 0 2 1 0 1 1 0
"honest" 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 2 4 0 0 2 0 0 0 0 1 4 0 1 1 2 0 0 0 0 0 0 0 0 2 0 1 1 1 1 0 0 0 0 0 1 0
"ignorant" 0 0 0 0 0 2 0 0 0 1 0 0 0 2 1 2 0 1 5 1 1 5 0 1 0 0 0 4 2 0 2 2 0 0 0 0 0 1 0 0 2 1 1 1 1 2 0 1 1 1 1 1 0
"innocent" 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 3 0 0 2 1 2 1 0 0 3 0 0 0 2 1 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0 0 1 0 0
"little" 1 2 6 2 2 2 2 1 2 2 1 3 5 1 3 4 3 5 15 1 1 17 1 2 4 4 3 0 1 2 4 6 2 1 1 3 2 3 1 3 8 2 5 3 2 3 2 1 1 1 6 4 1
"modest" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
"nice" 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 0 1 2 0 0 1 0 0 2 0 0 0 1 0 0 1 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0
"old" 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 2 0 1 4 0 0 3 0 0 1 2 0 4 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0
"open" 0 1 1 0 0 0 1 1 0 1 1 1 1 2 1 3 1 1 5 0 1 6 0 1 2 2 2 6 1 1 1 0 0 1 1 1 2 0 0 0 2 2 2 1 1 2 0 0 0 1 2 2 0
"ordinary" 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 2 0 0 1 1 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0
"patient" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1
"plain" 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"pleasant" 0 0 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1 0 1 3 0 0 0 0 0 3 0 1 0 1 0 0 1 0 1 0 0 1 3 0 0 0 0 0 0 0 0 0 2 0 0
"pleased" 0 1 1 0 0 0 0 1 0 1 1 0 1 0 2 0 1 0 2 0 1 2 0 0 0 0 0 2 0 1 0 2 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0 0 1 2 1 0
"proper" 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 0 1 0 1 0 3 0 0 1 0 1 0 0 0 0 0 0 0 1 1 2 0 1 1 0 1 0 1 1 1 0
"quiet" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0
"reasonable" 0 1 1 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 2 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 2 1 0
"rich" 0 0 3 0 1 0 0 1 0 2 1 2 2 0 2 0 1 0 7 0 2 7 0 1 2 2 1 8 0 2 1 2 1 1 1 3 1 1 0 1 0 1 3 2 1 0 0 0 0 0 3 2 1
"rough" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 2 0 0 0 1 0 2 0 0 0 2 0 1 0 0 1 1 0 0 1 0 2 0 0 2 0 0 0 2 1 0 1
"short" 0 0 1 2 0 1 0 0 2 0 0 2 1 0 0 1 0 1 6 1 0 6 0 3 1 1 1 5 0 1 0 2 0 0 0 0 0 2 0 0 3 2 0 0 0 1 1 2 1 1 3 4 0
"strange" 0 1 2 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 4 0 0 4 0 0 1 1 2 3 0 0 2 1 0 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 1 1 0
"strong" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 1 1 1 0 2 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"sweet" 1 0 0 0 0 1 0 0 1 0 0 1 2 1 0 0 0 3 4 1 0 3 1 1 1 2 1 3 1 0 0 2 1 1 0 0 1 1 0 0 0 2 1 0 0 0 0 0 0 2 1 1 0
"terrible" 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"thorough" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 0 1 0
"violent" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0
"well" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 2 1 0 0 2 0 0 0 0 1 0 0
"wise" 0 1 1 1 2 1 1 1 0 1 1 3 1 0 2 2 1 1 2 1 1 5 0 1 0 1 1 6 0 1 0 2 0 0 1 2 2 1 1 2 3 1 3 1 0 1 0 0 0 1 0 2 0
"young" 0 1 2 1 0 0 1 0 2 0 0 1 1 1 1 0 2 0 8 0 0 6 0 1 1 1 0 4 1 0 0 2 1 0 0 0 1 1 1 1 2 0 4 1 1 1 1 1 1 0 2 0 0
"troubled" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
