"active" "afraid" "agreeable" "alone" "anxious" "artificial" "ashamed" "bad" "beautiful" "bright" "busy" "capable" "careful" "careless" "cautious" "certain" "cheerful" "clever" "cold" "comfortable" "cool" "cruel" "dangerous" "decent" "delighted" "delightful" "desirable" "determined" "difficult" "eager" "excellent" "extraordinary" "fair" "fine" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "impatient" "important" "interesting" "jealous" "kind" "little" "lively" "lovely" "lucky" "natural" "nice" "observant" "old" "open" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "powerful" "pretty" "private" "proper" "quiet" "reasonable" "remarkable" "respectable" "rich" "rough" "sad" "satisfied" "selfish" "sensible" "serious" "short" "sincere" "strict" "strong" "surprised" "suspicious" "sweet" "tired" "unhappy" "useful" "valuable" "warm" "well" "wise" "worthy" "young"
"active" 0 1 2 0 2 0 1 1 0 1 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 2 1 1 1 2 0 0 2 0 1 3 5 1 2 1 1 0 0 1 0 0 5 0 0 0 1 0 0 2 1 0 0 1 1 0 1 0 1 0 2 1 3 0 1 0 1 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 0 1 0 1 0 3
"afraid" 1 0 5 3 2 1 1 4 0 1 0 0 1 1 1 4 1 3 0 2 0 1 0 1 2 0 3 0 1 2 4 1 2 4 1 1 5 9 1 7 2 4 0 0 0 1 2 9 1 1 2 2 1 0 4 5 2 2 2 0 0 3 0 0 0 2 1 1 0 2 1 0 0 3 0 2 2 5 1 1 1 3 0 2 0 1 1 1 0 1 0 1 4
"agreeable" 2 5 0 2 5 1 1 8 2 2 0 0 3 2 2 5 1 2 6 2 1 2 4 2 5 4 5 5 1 4 5 5 3 5 2 3 8 25 0 24 6 18 2 1 4 1 5 26 3 2 0 6 3 2 10 10 2 4 6 2 2 11 1 3 0 7 2 2 0 0 3 0 2 7 2 8 4 16 0 0 8 4 1 1 0 3 4 1 7 1 1 2 14
"alone" 0 3 2 0 2 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 2 1 0 3 1 1 2 7 0 6 3 4 0 1 0 0 1 7 0 1 1 2 1 1 3 1 1 1 2 0 0 3 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 1 0 3 0 0 2 0 2 0 0 1 0 0 0 2
"anxious" 2 2 5 2 0 0 1 2 2 2 0 3 0 0 1 2 2 2 1 1 0 1 3 1 1 1 3 2 2 2 2 1 1 6 3 4 2 14 1 10 3 8 2 1 4 2 2 14 2 0 1 3 3 1 3 2 2 1 1 0 1 3 1 3 1 2 1 3 1 0 2 0 0 2 2 4 2 10 1 1 4 1 1 3 0 1 1 1 2 0 1 1 7
"artificial" 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 1 1 0 0 2 2 0 3 1 1 0 0 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 3 0 3 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1
"ashamed" 1 1 1 1 1 1 0 2 1 0 1 1 0 0 0 1 1 1 0 3 0 0 2 1 1 0 1 1 0 1 1 0 1 4 0 0 5 8 0 7 1 5 0 1 1 0 0 9 1 0 0 2 2 0 3 1 2 0 2 2 0 3 0 0 0 0 2 0 1 0 0 1 2 2 0 2 2 3 0 0 1 0 0 2 2 1 0 1 0 0 1 0 4
"bad" 1 4 8 1 2 0 2 0 1 0 2 0 1 2 1 2 1 1 4 4 1 0 1 1 1 1 1 4 0 3 4 3 4 7 1 0 9 20 0 16 0 8 2 0 3 0 5 17 1 0 0 2 2 0 6 6 1 5 4 1 0 10 2 4 0 6 3 1 2 2 0 1 0 3 0 4 5 10 0 0 3 2 0 1 1 1 1 0 2 2 0 2 13
"beautiful" 0 0 2 1 2 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 2 1 0 1 0 0 1 2 0 0 4 0 0 2 5 0 3 2 3 1 0 1 0 0 5 1 1 0 1 2 3 2 0 2 1 0 0 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 2 0 0 1 1 1 1 1 1 1 0 1 0 0 1 3
"bright" 1 1 2 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 2 4 0 2 1 4 0 0 1 0 2 5 0 1 1 2 1 0 3 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 4 1 0 2 0 0 0 0 0 1 0 0 1 0 0 1
