"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awful" "bad" "beautiful" "big" "blind" "bold" "bright" "busy" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "compassionate" "cool" "cruel" "curious" "dangerous" "decent" "devoted" "difficult" "dumb" "excellent" "exhausted" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "graceful" "grateful" "great" "handsome" "happy" "hard" "healthy" "honest" "ignorant" "impatient" "independent" "innocent" "interested" "interesting" "kind" "little" "loud" "mean" "modest" "natural" "old" "open" "patient" "plain" "pleasant" "pleased" "poor" "popular" "practical" "pretty" "private" "proper" "proud" "quiet" "reasonable" "remarkable" "respected" "rich" "ridiculous" "rough" "satisfied" "sensible" "sentimental" "serious" "short" "social" "strange" "strong" "surprised" "tall" "thin" "thoughtful" "tired" "troubled" "unhappy" "violent" "weak" "wonderful" "worthy" "young"
"affectionate" 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 6 1 1 4 0 2 1 0 1 0 1 0 1 0 0 1 5 0 1 0 0 4 1 0 0 0 0 3 0 3 1 0 0 1 4 0 2 1 1 1 0 2 0 0 0 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 3
"afraid" 1 0 1 2 2 1 1 0 1 4 1 0 3 0 2 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 2 0 1 1 8 0 2 8 1 3 0 0 0 1 0 0 3 1 1 1 10 0 0 2 1 5 1 0 2 3 1 7 0 1 1 0 0 1 3 0 0 1 1 0 1 0 0 0 0 2 0 1 3 0 1 0 1 0 0 1 0 1 1 0 6
"agreeable" 0 1 0 3 0 1 1 0 0 0 0 2 0 1 1 0 2 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 0 0 2 0 0 1 9 1 0 9 1 2 0 0 0 0 1 0 0 0 3 0 11 1 1 0 2 5 1 0 2 1 1 4 0 0 1 3 4 2 3 0 3 1 2 1 1 0 2 0 0 4 1 1 1 3 0 0 0 0 1 0 1 0 1 2 3
"alone" 0 2 3 0 1 3 1 0 2 2 2 1 0 0 5 0 2 2 0 1 3 0 0 0 1 2 1 1 1 1 1 0 2 1 1 1 0 1 3 0 2 3 10 2 1 9 2 1 2 0 0 1 2 0 3 2 0 1 13 0 1 2 2 5 2 1 2 1 0 5 1 1 0 3 1 5 6 1 3 1 1 1 0 0 1 0 2 3 0 1 3 2 1 0 0 0 1 0 0 1 2 2 7
"angry" 0 2 0 1 0 1 0 0 1 3 0 0 0 0 0 0 2 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 2 4 0 1 3 0 1 1 0 0 1 0 0 1 1 0 1 2 0 0 1 0 1 0 0 2 0 1 4 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 1 0 2 0 0 2 1 0 0 0 1 0 0 0 1 0 1 2
"anxious" 0 1 1 3 1 0 0 0 2 1 0 1 0 0 2 0 1 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 0 0 1 1 8 1 0 5 1 2 0 0 0 1 1 0 1 0 0 1 9 0 1 1 2 5 0 2 1 1 1 4 0 0 0 1 0 0 3 0 0 0 2 1 0 1 1 0 0 4 0 0 3 2 0 0 0 0 2 1 0 3 1 0 3
"ashamed" 1 1 1 1 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 2 1 0 1 0 2 0 0 0 0 0 0 1 6 0 1 0 2 2 1 0 1 2 0 3 0 0 0 1 1 1 0 0 2 1 2 2 0 1 0 0 0 1 0 1 2 0 1 0 0 0 1 0 1 0 0 1 0
"attentive" 0 0 0 0 0 0 1 0 0 3 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 5 0 0 4 1 1 0 1 3 0 1 0 0 0 0 2 5 1 0 0 1 2 0 1 3 1 0 1 0 0 0 0 0 1 2 0 1 0 0 0 0 1 0 0 0 2 0 2 2 0 1 0 1 1 0 0 2 0 0 1 2
"awful" 0 1 0 2 1 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 2 0 1 1 0 0 1 0 0 1 0 0 1 4 0 0 1 0 2 0 0 1 0 0 2 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 1 0 0 0 0 0 2 1 0 0
"bad" 1 4 0 2 3 1 3 3 0 0 1 0 3 1 4 2 5 0 1 0 1 4 1 1 2 3 1 1 1 2 0 2 0 2 4 3 3 1 5 0 4 2 18 0 1 12 3 4 3 2 4 1 2 0 3 2 1 3 22 3 3 0 2 13 6 3 4 3 2 14 1 3 1 1 0 2 4 1 3 0 2 3 2 3 0 1 0 8 0 2 8 1 4 0 2 3 0 1 0 1 1 2 16
