"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "careful" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "concerned" "cruel" "delighted" "delightful" "desirable" "determined" "difficult" "disappointed" "eager" "excellent" "extraordinary" "fair" "fine" "friendly" "generous" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "ignorant" "impatient" "important" "independent" "interested" "interesting" "jealous" "kind" "liberal" "little" "lively" "lovely" "lucky" "natural" "nervous" "nice" "noisy" "old" "open" "ordinary" "pleasant" "pleased" "pleasing" "poor" "positive" "pretty" "private" "proper" "proud" "quiet" "reasonable" "respectable" "rich" "ridiculous" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "stupid" "surprised" "sweet" "tall" "thankful" "thorough" "uncomfortable" "unhappy" "valuable" "violent" "warm" "well" "young"
"busy" 0 0 1 0 0 1 1 0 0 0 0 1 0 0 2 1 2 1 1 2 0 0 1 0 0 2 1 2 2 0 0 2 4 1 1 0 3 6 1 4 2 6 1 0 0 0 1 0 0 1 1 1 1 5 0 0 1 0 0 0 1 4 4 0 3 2 0 4 1 0 0 0 0 1 0 1 2 0 2 1 1 0 2 2 0 1 1 0 0 1 0 1 1 1 1 0 0 0 2 0 6
"calm" 1 3 1 0 3 2 2 1 1 0 1 0 0 0 4 0 2 1 3 3 0 0 1 1 0 3 2 1 0 1 2 0 2 2 0 1 2 5 0 5 1 5 1 1 0 0 0 0 1 2 0 1 2 8 2 2 0 2 0 0 1 1 3 0 1 0 1 4 0 1 1 0 1 2 4 0 1 0 4 1 0 0 1 5 2 1 0 6 0 2 1 0 1 1 1 3 0 1 0 0 5
"capable" 0 4 2 1 1 0 4 0 0 1 0 0 0 0 4 0 1 0 4 4 2 4 3 1 0 1 0 1 1 0 1 1 2 1 1 3 4 15 3 9 2 6 1 2 0 3 3 3 0 0 0 1 1 10 2 1 1 6 1 1 0 7 6 1 1 1 2 1 1 1 1 2 2 3 2 4 1 0 1 0 2 2 2 3 2 0 1 4 1 2 1 0 0 0 0 4 1 2 1 1 8
"careful" 0 0 3 2 0 1 1 0 0 0 0 0 0 0 2 1 0 1 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 2 3 0 3 1 2 0 0 0 1 2 0 1 0 1 2 0 4 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 2 0 2 0 0 0 0 1 0 0 1 0 0 5
"certain" 2 7 5 4 4 3 4 3 3 5 2 4 4 2 0 2 2 1 1 3 0 1 1 3 0 3 0 2 3 1 3 2 3 1 0 1 10 15 2 15 0 11 0 2 0 3 3 2 4 5 3 3 2 19 2 1 3 6 0 1 0 4 12 1 4 4 2 10 1 5 0 4 1 3 1 4 3 2 3 1 2 1 3 10 2 1 4 4 0 8 3 1 1 1 4 3 0 2 3 0 15
"charming" 0 0 3 5 0 1 3 2 0 2 1 0 0 1 2 0 1 0 1 1 1 0 4 4 0 1 0 2 2 2 0 0 3 1 0 1 7 9 0 7 1 6 1 0 1 0 1 0 2 0 0 2 1 7 1 0 3 3 2 1 1 5 3 0 3 6 1 4 1 3 0 0 0 2 0 0 1 2 1 0 0 2 0 4 0 2 0 2 0 0 3 0 2 1 1 0 1 2 1 1 6
"cheerful" 1 1 0 1 1 0 1 0 0 0 2 2 1 0 2 1 0 0 3 3 0 0 0 0 0 1 1 0 1 0 1 1 2 0 1 0 1 9 1 8 2 6 0 1 0 2 2 2 1 2 0 2 2 9 0 2 1 0 0 0 1 5 2 1 0 1 2 4 0 1 1 2 0 3 1 1 0 0 6 2 2 1 5 3 2 1 1 2 1 1 0 0 1 2 1 1 1 3 2 0 6
"clever" 0 2 0 2 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 2 0 2 0 0 1 0 2 5 0 4 0 0 0 0 1 0 0 0 0 2 1 1 0 4 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 0 1 2 1 0 0 0 0 1 2 0 0 0 1 4 0 2 0 0 0 1 1 0 0 0 0 0 2
"cold" 1 4 2 4 0 2 4 2 1 1 1 3 4 1 1 1 3 0 0 2 2 0 2 2 1 1 1 1 5 1 2 0 5 2 1 2 1 13 2 11 7 5 0 1 1 0 2 3 1 3 0 2 1 9 2 1 0 4 2 1 1 6 4 1 2 3 1 2 1 3 1 0 0 2 2 2 2 1 4 1 2 2 3 3 1 1 1 5 1 0 0 2 0 0 1 2 1 4 2 2 10
"comfortable" 2 1 5 1 0 2 5 0 0 0 2 3 4 0 3 1 3 0 2 0 1 1 4 3 2 1 2 1 3 1 0 1 4 3 1 0 6 13 6 14 5 9 2 1 0 1 4 1 1 0 0 4 1 17 0 2 1 4 1 1 1 6 4 2 2 3 2 5 0 0 0 5 0 2 2 4 3 1 3 2 2 1 3 5 4 0 4 3 0 2 1 1 1 0 1 5 3 0 2 0 13
