"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "careful" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "concerned" "cruel" "delighted" "delightful" "desirable" "determined" "difficult" "disappointed" "eager" "excellent" "extraordinary" "fair" "fine" "friendly" "generous" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "ignorant" "impatient" "important" "independent" "interested" "interesting" "jealous" "kind" "liberal" "little" "lively" "lovely" "lucky" "natural" "nervous" "nice" "noisy" "old" "open" "ordinary" "pleasant" "pleased" "pleasing" "poor" "positive" "pretty" "private" "proper" "proud" "quiet" "reasonable" "respectable" "rich" "ridiculous" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "stupid" "surprised" "sweet" "tall" "thankful" "thorough" "uncomfortable" "unhappy" "valuable" "violent" "warm" "well" "young"
"nervous" 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 2 0 0 2 1 2 1 1 0 0 0 0 0 2 0 0 0 1 0 0 0 2 5 1 3 2 2 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 2 0 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 2 1 1 0 1 2
"nice" 0 0 1 1 1 1 2 1 1 1 0 0 1 0 1 1 0 0 1 1 2 1 1 3 0 0 0 1 0 0 0 1 1 1 1 0 0 4 0 4 1 2 0 0 0 0 0 0 0 0 0 2 0 3 0 0 1 3 0 0 0 1 3 0 1 0 0 1 1 1 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 3
"noisy" 0 0 2 2 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0 1 2 4 0 2 2 2 1 0 0 0 1 1 1 2 1 0 0 3 0 0 0 2 0 0 0 2 0 0 0 0 0 3 0 1 2 0 0 1 0 0 0 0 1 0 0 1 0 2 0 2 0 0 0 1 1 0 0 0 0 0 0 1 0 0 4
"old" 2 2 5 5 3 1 7 4 3 3 4 1 7 0 4 5 5 1 6 6 3 3 4 3 4 3 1 3 3 4 3 3 5 1 1 4 11 26 4 23 8 15 1 2 1 1 5 2 0 5 2 2 3 25 1 1 3 8 2 1 2 0 4 2 3 6 1 7 2 6 2 3 3 3 1 6 5 1 4 1 5 4 3 10 0 5 6 5 3 2 3 1 2 1 2 1 4 2 2 4 15
"open" 2 6 3 1 2 3 4 3 2 4 4 3 6 0 12 3 2 0 4 4 1 2 2 5 0 6 1 2 6 0 2 3 7 2 1 2 5 20 3 17 3 19 0 2 0 1 1 3 1 3 1 3 1 16 3 1 2 6 0 3 0 4 0 2 4 2 1 8 1 2 3 3 2 4 2 2 5 0 8 1 4 1 1 6 2 1 4 3 1 3 3 2 3 1 3 1 0 4 4 0 11
"ordinary" 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 1 2 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 2 1 3 2 2 0 0 0 0 1 1 0 1 0 0 1 4 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 1 1 0 0 0 2 0 0 1 0 1 0 0 0 1 0 2 1 0 0 0 0 1 0 1 0 1 1 0 0 2
"pleasant" 0 1 0 3 1 1 3 1 1 1 3 1 1 0 4 3 0 1 2 2 1 1 1 3 1 3 1 2 2 2 1 1 3 2 1 0 4 6 1 9 2 5 0 1 1 0 0 0 1 1 1 2 1 9 0 0 1 2 0 1 0 3 4 0 0 3 1 5 1 1 0 0 0 0 0 2 2 1 1 0 0 1 0 3 0 0 2 1 0 1 1 2 1 0 1 1 1 2 1 0 5
"pleased" 1 2 3 8 3 0 6 2 1 1 2 0 1 1 4 6 1 1 3 3 1 0 5 3 2 1 1 2 4 5 0 1 4 0 0 0 12 15 2 14 3 11 1 0 3 0 2 1 3 2 0 4 1 16 1 1 3 7 1 0 0 6 2 0 3 0 3 4 2 4 0 3 1 2 0 4 2 3 2 0 0 0 4 11 2 0 2 5 0 2 3 2 1 2 3 4 2 0 3 1 12
"pleasing" 1 2 1 4 0 0 0 0 0 0 0 1 2 1 2 1 2 1 1 2 0 0 1 3 1 0 0 2 1 2 0 0 3 0 0 0 4 5 0 7 3 2 0 0 0 1 1 0 1 2 0 2 0 5 0 1 1 3 0 0 0 1 1 0 1 3 0 3 0 2 2 0 0 1 1 1 1 2 3 0 0 0 3 1 2 0 1 1 0 3 2 0 0 0 0 1 0 3 2 0 5
"poor" 0 7 5 2 5 2 2 2 5 2 4 4 1 0 10 4 4 1 2 5 1 3 1 3 0 2 2 2 5 1 2 1 6 2 1 3 10 21 3 17 3 12 1 3 1 1 2 2 3 3 3 3 2 21 2 1 1 7 1 1 3 7 8 1 5 4 3 0 3 4 2 4 1 5 0 2 5 3 8 0 1 1 2 10 0 2 6 4 0 4 5 0 0 2 2 5 0 3 1 1 17
"positive" 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 2 0 1 0 1 0 3 2 1 0 0 2 0 0 1 1 4 1 5 0 2 0 0 0 1 0 0 0 1 0 0 0 5 0 0 2 2 0 1 0 2 1 0 1 2 0 3 0 2 1 2 0 2 0 1 0 0 1 1 1 1 1 5 0 0 0 1 0 1 0 2 0 0 1 1 0 1 2 1 3
"pretty" 2 2 3 6 2 2 5 0 2 3 0 1 1 2 5 3 1 0 3 0 2 1 2 4 1 2 0 2 2 2 2 1 2 0 0 1 7 13 0 10 6 7 1 0 0 1 1 1 1 3 1 1 0 9 1 1 3 3 2 1 1 6 2 0 1 4 2 4 2 0 1 1 1 0 0 0 3 4 3 0 1 3 1 4 1 3 1 3 1 1 5 1 1 1 4 3 1 2 0 2 11
"private" 0 2 0 2 3 2 1 1 0 0 0 1 1 1 0 0 1 1 1 0 0 1 0 0 0 1 0 2 2 1 0 0 2 0 0 0 1 6 0 8 2 4 0 0 0 1 1 1 1 2 1 1 0 6 1 0 0 5 0 0 2 2 3 1 0 0 2 2 1 1 0 2 0 2 1 1 1 0 3 1 3 1 1 3 0 2 0 2 0 2 1 0 0 0 0 0 0 2 2 0 7
"proper" 2 4 1 0 2 1 2 1 2 2 0 0 2 0 4 0 2 1 0 5 1 1 1 1 0 1 2 1 3 3 2 3 1 0 2 0 4 13 5 15 0 9 1 2 0 0 1 1 0 2 0 2 0 14 1 2 2 5 1 0 0 3 3 1 0 3 0 4 2 1 2 0 0 1 1 2 1 1 1 1 2 1 1 6 5 1 4 1 0 1 2 0 1 0 1 3 0 1 2 0 6
"proud" 0 0 3 0 0 1 1 1 0 0 0 1 2 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 3 5 0 6 0 4 0 0 0 0 1 1 0 1 2 0 1 5 1 0 0 1 0 0 0 3 2 0 0 1 0 1 0 1 0 0 0 1 2 0 0 0 0 0 1 1 0 4 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 4
"quiet" 0 3 2 2 2 1 1 2 0 2 1 2 3 0 3 2 3 0 2 2 0 2 0 0 0 0 1 1 1 0 0 0 3 1 1 2 1 9 0 6 2 3 0 0 1 2 0 2 1 1 0 1 1 10 1 1 2 3 1 0 1 3 4 0 0 2 1 5 2 0 2 1 1 0 1 0 1 0 3 0 0 0 2 6 1 1 0 1 0 1 2 0 0 1 1 1 0 3 3 1 7
"reasonable" 2 2 0 0 0 1 4 0 1 0 0 4 2 0 1 0 1 1 2 2 0 1 0 2 0 1 0 0 1 1 2 0 1 2 1 0 0 5 1 5 0 5 1 1 0 2 0 1 0 1 0 1 1 7 1 1 0 2 0 0 0 1 2 0 0 0 1 0 0 0 1 1 2 1 0 0 0 1 3 1 1 0 2 3 2 0 0 3 0 1 0 0 0 0 0 2 0 1 1 0 5
"respectable" 0 0 1 4 0 1 1 1 0 2 1 0 4 0 4 0 1 2 2 4 0 2 3 1 1 0 0 1 1 2 0 2 2 0 0 1 4 10 1 8 2 2 0 0 2 0 3 2 0 2 1 1 1 9 1 1 0 3 0 0 0 6 2 2 2 4 1 2 1 0 1 2 0 0 0 0 2 0 0 1 2 3 4 6 0 0 3 3 0 4 1 1 0 1 2 2 3 1 0 0 6
"rich" 1 2 2 1 0 0 4 1 1 1 2 1 1 0 3 1 0 1 2 3 1 0 1 0 2 1 3 0 1 2 2 2 6 1 0 0 4 9 0 9 5 5 0 0 0 1 1 1 1 3 1 2 0 6 1 0 2 3 1 2 0 5 5 0 2 2 1 5 0 3 1 1 0 1 0 2 0 2 5 0 1 0 1 2 1 2 3 4 0 1 0 1 1 1 2 2 2 2 1 2 6
"ridiculous" 1 2 0 3 0 0 2 0 1 1 0 0 0 0 2 2 0 0 1 1 0 0 0 3 1 0 0 1 1 2 2 0 1 0 1 0 4 5 0 4 1 3 2 0 0 0 1 0 2 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 1 3 2 3 0 4 0 1 0 0 1 0 2 0 2 0 0 0 1 1 1 1 0 0 0 0 2 0 0 1 1 2 0 1 0 1 5
"satisfied" 2 3 1 2 3 1 4 1 1 1 2 4 1 0 3 1 6 0 4 3 0 1 0 2 2 2 3 1 5 2 2 1 4 1 0 1 2 12 0 12 4 14 1 0 0 2 1 1 1 5 0 3 0 10 1 2 0 2 0 1 1 4 8 1 1 2 3 8 1 3 3 1 0 3 3 0 5 2 0 2 4 1 4 3 3 1 4 4 1 3 2 1 1 1 1 4 0 4 1 2 8
"secure" 0 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 2 0 1 2 0 0 0 2 0 1 0 1 3 1 1 1 1 1 0 0 1 3 0 5 1 3 0 0 0 1 1 0 0 0 0 0 0 4 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 2 0 3 0 1 3 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 3
"selfish" 0 1 1 0 2 3 1 1 0 0 1 0 2 1 2 0 2 0 2 2 0 1 0 1 0 2 1 1 5 1 0 1 1 0 0 1 2 7 0 10 2 9 0 1 0 0 2 1 0 1 1 0 1 10 0 0 0 3 0 0 0 5 4 1 0 0 0 1 1 1 3 2 1 0 1 2 1 0 4 3 0 0 2 5 0 0 1 2 1 1 0 0 1 0 1 0 1 1 1 0 5
"sensible" 1 1 4 4 0 2 2 0 1 2 0 0 2 0 1 2 1 1 2 1 0 1 3 1 0 2 0 2 1 1 1 1 1 0 1 2 1 9 0 9 2 6 0 0 1 0 1 1 0 2 0 0 0 6 1 0 0 3 0 1 1 4 1 0 1 0 0 1 1 3 1 1 1 0 0 3 0 0 1 0 0 0 2 2 0 2 3 3 1 2 1 1 0 0 1 1 1 1 0 0 5
"serious" 2 3 2 5 1 0 4 0 0 1 2 1 2 1 3 0 5 2 3 3 0 1 2 0 1 1 0 3 3 1 0 1 4 1 2 1 5 16 1 13 0 10 0 0 2 2 3 0 2 3 0 4 0 11 2 1 1 5 1 0 0 3 1 0 0 4 3 2 1 1 1 1 0 2 2 4 1 1 4 1 2 2 0 5 1 1 3 4 1 4 0 1 1 1 3 4 2 3 1 0 9
"short" 2 4 4 7 10 5 3 4 2 4 2 5 3 2 10 4 3 0 3 5 2 5 4 3 1 5 0 4 4 2 3 0 7 2 0 4 13 25 3 23 3 17 0 2 3 2 4 2 3 4 3 4 3 28 2 1 3 8 1 1 2 10 6 0 3 11 1 10 5 4 3 6 4 6 3 6 2 1 3 3 5 2 5 0 1 1 3 7 1 5 3 2 2 3 4 5 3 2 4 2 20
"sincere" 2 2 1 0 1 0 3 0 1 1 0 2 2 0 2 0 2 0 1 4 1 1 0 2 1 2 1 0 0 1 2 2 1 0 1 0 0 4 3 6 1 7 1 1 0 0 1 0 1 2 0 1 0 5 1 3 1 3 1 0 0 0 2 1 0 2 2 0 0 1 0 5 0 1 2 0 1 1 3 0 0 0 1 1 0 0 1 3 0 0 1 0 1 0 2 4 0 1 2 0 4
"smart" 2 0 1 4 0 0 2 2 0 3 1 1 0 0 1 2 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 2 1 1 2 2 7 0 8 2 6 0 0 0 0 0 1 0 1 0 0 0 4 0 0 1 2 1 1 2 5 1 0 0 0 0 2 0 3 2 1 0 1 0 0 2 1 1 0 0 2 1 1 0 0 2 1 0 1 1 0 0 1 0 1 0 1 0 0 7
"strange" 2 4 3 3 1 1 2 0 2 2 1 0 1 0 4 0 1 1 1 4 0 0 2 0 1 3 1 1 2 0 1 0 1 0 1 1 4 9 3 12 1 8 0 0 2 0 0 1 1 1 0 1 0 9 1 1 0 2 0 0 0 6 4 2 2 2 1 6 0 1 0 4 1 0 0 3 3 0 4 0 1 3 3 3 1 2 0 2 0 4 1 2 1 1 2 3 1 2 0 0 5
"strong" 0 5 0 5 4 3 7 2 0 1 0 6 4 2 4 2 2 4 5 3 0 0 4 0 0 5 2 2 5 3 2 2 2 1 1 2 6 18 3 15 3 10 1 0 3 0 3 1 2 2 0 2 2 15 3 1 3 8 1 2 0 5 3 1 1 5 1 4 1 3 2 1 1 1 3 3 4 0 4 0 2 3 4 7 3 1 2 0 0 4 0 1 1 1 4 5 1 1 0 0 13
"stupid" 0 1 2 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 0 0 0 0 1 1 4 0 4 1 3 0 1 0 1 1 0 0 1 1 0 0 5 1 0 0 2 0 0 0 3 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1
"surprised" 1 2 5 4 1 2 2 4 0 2 1 2 2 2 8 0 1 2 0 2 0 0 3 1 0 1 0 2 2 1 0 0 2 0 0 1 4 7 0 8 1 5 1 1 1 1 1 0 0 0 1 3 0 8 1 0 0 3 0 1 1 2 3 0 1 2 3 4 1 1 2 1 1 1 1 4 1 0 3 1 1 2 4 5 0 1 4 4 1 0 1 1 0 1 1 1 0 3 0 0 8
"sweet" 0 2 3 4 1 0 1 2 1 4 0 1 1 0 3 3 0 0 0 1 0 0 0 4 0 1 0 2 1 1 1 1 3 1 0 2 6 6 1 6 2 6 1 1 0 0 0 0 1 0 1 2 0 5 2 2 1 3 0 0 1 3 3 0 1 3 2 5 0 5 1 2 0 2 0 1 0 2 2 0 0 1 0 3 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 5
"tall" 0 0 1 2 0 1 2 0 0 1 1 0 0 0 1 0 0 0 2 1 0 0 0 0 0 1 0 1 2 0 0 0 3 0 0 0 0 1 1 5 1 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 1 0 0 0 1 2 0 2 2 0 0 2 1 0 0 0 0 0 1 1 0 1 0 0 1 1 2 0 0 2 1 0 1 0 0 0 0 1 2 0 0 1 0 1
"thankful" 1 0 0 1 0 1 2 0 0 0 1 1 0 0 1 2 1 0 0 1 1 0 2 1 0 4 0 1 1 0 0 1 2 1 0 1 2 4 1 5 1 4 0 0 0 0 1 0 0 0 0 0 0 3 0 0 2 0 1 0 0 2 3 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 1 2 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0
"thorough" 0 0 0 1 2 0 0 0 0 0 1 1 0 0 1 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 0 3 0 2 0 0 1 1 0 0 0 0 0 1 1 3 0 0 1 0 0 0 0 1 1 0 0 2 0 2 0 1 0 0 0 1 0 1 1 1 1 1 0 0 1 3 0 1 1 1 1 1 0 0 0 0 2 2 0 0 1 0 2
"uncomfortable" 2 0 1 3 2 1 3 0 0 0 1 1 0 1 4 1 1 1 1 1 0 2 1 0 1 3 0 0 0 1 1 0 0 0 0 0 3 6 1 6 1 6 0 0 2 0 1 0 0 2 1 1 1 6 0 0 2 1 0 0 0 2 3 1 1 3 0 2 1 4 0 1 1 1 0 2 2 1 1 0 1 1 3 4 2 0 2 4 0 1 0 1 1 2 0 1 1 1 1 1 4
"unhappy" 1 3 2 2 3 1 4 0 1 0 0 3 4 0 3 0 1 0 2 5 1 1 1 1 1 2 1 0 2 1 1 1 2 0 0 1 2 10 4 9 2 9 0 3 1 1 2 0 2 1 0 2 1 11 1 2 2 5 2 0 0 1 1 0 1 4 1 5 1 3 0 3 0 1 2 2 2 2 4 0 0 1 4 5 4 1 3 5 0 1 1 2 0 2 1 0 0 0 2 0 8
"valuable" 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 1 1 0 1 3 1 1 1 0 2 0 0 0 0 1 0 0 2 0 0 0 2 4 0 5 3 1 0 0 1 0 3 1 0 0 0 1 1 4 0 0 1 0 1 0 0 4 0 1 1 2 0 0 0 1 0 0 0 0 0 3 2 0 0 0 1 1 2 3 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1
"violent" 1 2 2 2 0 0 5 2 1 1 0 1 2 1 2 2 3 0 4 0 1 0 1 2 1 1 0 1 2 2 2 0 3 2 1 1 2 8 0 7 2 3 0 0 0 3 1 0 0 2 0 2 0 7 0 1 1 3 1 1 1 2 4 1 2 0 3 3 1 2 2 1 0 3 1 1 2 1 4 1 1 1 3 2 1 1 2 1 0 3 1 0 1 0 1 0 0 0 2 1 8
"warm" 2 1 1 0 1 3 2 0 0 2 2 0 1 0 3 1 2 0 2 2 0 1 0 1 1 1 0 1 1 1 0 1 4 1 0 0 1 6 4 8 2 5 0 1 0 3 0 0 0 2 0 3 1 7 0 0 3 4 0 0 0 2 4 0 1 3 2 1 2 0 2 2 0 3 1 0 1 0 1 0 1 0 1 4 2 0 0 0 0 0 0 1 0 1 1 2 0 2 0 0 7
"well" 1 0 1 1 0 0 2 1 1 0 0 0 1 0 0 1 0 0 2 0 2 1 1 0 1 0 0 1 1 1 2 0 1 0 0 1 1 4 0 2 2 1 0 0 0 1 0 0 0 1 0 0 0 3 0 0 1 0 1 0 0 4 0 0 0 1 0 1 1 2 0 0 0 1 0 0 2 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1
"young" 5 8 9 9 5 6 11 5 3 8 6 5 8 5 15 6 6 2 10 13 1 2 8 8 3 5 2 6 8 5 3 3 10 4 2 4 17 41 5 34 11 25 3 2 1 5 6 4 5 8 5 5 3 39 3 3 2 17 2 3 4 15 11 2 5 12 5 17 3 11 7 6 4 7 5 6 6 5 8 3 5 5 9 20 4 7 5 13 1 8 5 1 0 2 4 8 1 8 7 1 0
