"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "bad" "beautiful" "bold" "bright" "busy" "calm" "certain" "cheerful" "childish" "cold" "comfortable" "cruel" "curious" "delighted" "delightful" "difficult" "excellent" "extraordinary" "fair" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "innocent" "interested" "kind" "little" "natural" "neat" "old" "open" "plain" "pleasant" "pleased" "poor" "pretty" "private" "professional" "proud" "quiet" "remarkable" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "strange" "strong" "stupid" "surprised" "sweet" "terrible" "thankful" "thoughtful" "tired" "uncomfortable" "unhappy" "useful" "warm" "weak" "well" "wonderful" "worthy" "young" "youthful"
"affectionate" 0 6 5 4 2 1 1 2 6 4 1 3 1 2 6 3 2 1 5 3 1 3 3 2 1 3 1 2 2 2 1 6 5 16 1 2 18 3 10 3 1 5 0 5 21 4 2 18 3 1 2 3 8 6 2 1 1 9 0 2 2 3 3 5 10 1 6 1 3 5 1 2 1 1 1 4 1 1 1 3 6 2 8 0
"afraid" 6 0 13 9 6 8 4 5 15 17 7 17 7 6 21 9 7 8 7 6 8 10 7 10 5 9 4 8 11 7 13 13 25 57 3 7 63 6 28 7 5 9 4 13 84 16 1 69 11 6 15 10 32 20 7 3 6 23 6 4 5 6 6 8 39 12 13 3 13 11 4 3 9 6 8 12 4 4 6 9 12 4 41 3
"agreeable" 5 13 0 2 5 3 1 1 8 10 1 5 4 2 8 4 4 5 6 5 1 7 9 6 6 5 3 1 6 3 6 3 15 32 2 3 33 2 14 4 3 3 3 6 44 13 2 38 3 3 7 2 16 8 1 3 2 7 3 6 0 2 5 4 16 5 4 3 8 11 1 4 4 4 9 2 3 2 3 4 5 2 19 1
"alone" 4 9 2 0 2 4 2 6 6 7 3 7 2 2 8 8 2 1 3 3 3 1 0 7 2 3 2 5 6 3 3 6 13 24 2 0 25 2 12 5 1 3 0 7 34 6 1 30 7 1 2 3 11 6 4 1 3 9 1 0 3 0 7 3 2 9 14 1 1 4 0 1 4 1 2 3 3 1 5 7 5 5 17 1
"angry" 2 6 5 2 0 2 3 2 5 2 1 4 1 0 1 2 0 1 3 1 0 0 0 2 0 2 0 0 1 2 1 3 5 10 0 1 12 2 5 3 2 2 0 1 12 1 1 11 2 0 1 1 5 1 0 1 1 3 1 1 0 0 1 2 5 2 4 2 3 3 0 1 1 1 3 2 0 0 2 1 2 2 6 0
"anxious" 1 8 3 4 2 0 2 4 7 5 4 3 2 4 9 2 4 6 4 2 4 3 3 4 1 3 0 2 3 4 2 4 9 24 3 2 22 3 11 3 2 2 2 3 31 4 0 26 8 2 5 3 12 5 1 2 1 4 2 2 1 0 3 3 15 7 4 1 4 3 1 2 5 1 6 2 3 3 2 3 2 3 8 3
"ashamed" 1 4 1 2 3 2 0 4 5 2 1 6 3 3 4 3 0 3 1 0 1 0 0 0 2 2 2 1 2 1 4 3 3 17 0 3 13 1 6 4 0 2 0 1 19 5 2 14 5 0 4 2 11 3 0 2 1 6 1 0 1 2 2 2 13 4 3 0 6 1 0 1 2 2 2 4 1 2 2 0 1 0 10 0
"awful" 2 5 1 6 2 4 4 0 2 2 2 4 2 4 6 2 1 1 2 1 3 1 1 2 0 2 0 1 1 3 3 3 3 13 3 2 16 0 6 2 2 1 0 2 18 1 1 15 6 0 2 1 7 3 1 1 0 5 1 0 0 0 4 2 7 3 3 0 5 4 1 1 0 0 2 3 0 1 0 2 2 0 12 1
"bad" 6 15 8 6 5 7 5 2 0 9 3 12 4 1 10 4 1 6 6 8 3 6 4 8 3 6 3 0 9 3 2 6 16 46 3 2 31 4 17 8 7 5 6 12 54 9 3 44 9 3 9 4 25 15 5 6 6 10 2 4 1 4 4 4 23 9 11 6 10 7 4 0 3 6 7 11 2 0 3 6 6 3 24 2
"beautiful" 4 17 10 7 2 5 2 2 9 0 5 12 1 7 11 7 6 5 5 7 1 5 7 7 4 3 4 5 6 3 6 6 17 42 2 2 38 2 23 12 4 6 2 5 51 6 2 38 9 4 11 3 27 12 3 0 8 13 0 3 2 1 7 2 17 11 8 5 6 11 2 2 4 2 6 5 3 0 8 10 6 6 22 4
"bold" 1 7 1 3 1 4 1 2 3 5 0 2 0 1 5 2 0 1 2 0 4 2 0 2 1 2 4 3 4 0 2 3 6 14 2 3 14 2 6 4 2 1 0 2 20 3 1 14 4 2 3 1 8 3 0 1 0 10 0 2 5 0 2 2 6 1 6 1 2 1 2 1 3 0 3 1 0 1 2 2 0 1 7 1
"bright" 3 17 5 7 4 3 6 4 12 12 2 0 3 5 6 8 11 5 5 2 3 4 6 5 1 5 2 4 9 7 5 8 18 44 2 4 36 8 22 7 3 5 3 8 55 14 4 38 8 6 10 8 20 16 3 1 9 15 2 2 6 3 7 9 22 8 6 5 9 15 4 1 3 6 7 7 4 2 2 7 6 1 20 3
"busy" 1 7 4 2 1 2 3 2 4 1 0 3 0 0 4 1 3 4 3 2 7 2 3 2 3 3 2 3 6 0 1 0 7 21 4 0 18 4 5 2 0 2 3 4 21 4 0 21 7 0 6 3 8 4 3 1 2 2 1 0 2 2 1 1 11 8 9 0 5 4 2 0 0 3 1 3 1 1 0 3 2 3 9 0
"calm" 2 6 2 2 0 4 3 4 1 7 1 5 0 0 4 2 1 2 1 2 1 2 2 1 1 2 1 5 3 3 3 6 7 19 1 1 14 3 9 4 1 4 1 2 24 4 1 16 7 0 2 3 9 3 1 0 5 8 1 0 2 0 2 1 6 2 4 1 1 4 1 1 0 2 3 2 3 2 2 4 2 0 11 2
"certain" 6 21 8 8 1 9 4 6 10 11 5 6 4 4 0 5 3 5 7 2 6 10 2 4 9 12 7 8 11 2 9 7 13 53 1 6 48 5 19 7 5 5 2 11 61 11 4 51 14 7 5 6 19 11 4 2 7 14 6 1 3 3 5 5 22 12 11 1 8 8 3 6 6 3 5 4 3 6 7 3 7 2 27 7
"cheerful" 3 9 4 8 2 2 3 2 4 7 2 8 1 2 5 0 3 5 3 3 0 5 3 2 0 3 2 5 4 2 2 3 14 27 2 1 20 2 13 2 2 5 1 6 33 7 1 25 6 3 4 7 16 9 2 3 2 11 2 1 1 1 5 3 10 9 6 1 1 5 0 1 2 1 6 4 1 2 3 4 3 0 13 1
"childish" 2 7 4 2 0 4 0 1 1 6 0 11 3 1 3 3 0 1 3 3 1 2 2 2 2 2 1 2 4 2 1 1 8 15 1 1 15 1 7 5 1 3 0 4 22 1 2 19 6 2 2 1 9 6 0 0 4 5 2 4 3 0 2 3 8 6 3 1 2 3 1 1 0 2 3 4 1 2 0 2 1 0 6 4
"cold" 1 8 5 1 1 6 3 1 6 5 1 5 4 2 5 5 1 0 4 3 1 3 2 1 4 3 1 2 4 2 3 6 9 24 0 2 18 2 13 6 2 3 2 5 32 5 0 25 3 3 7 5 14 5 3 0 3 7 1 0 4 1 2 1 14 7 5 2 2 2 1 1 1 1 7 4 1 3 1 3 3 2 11 1
