"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awkward" "bad" "beautiful" "bitter" "blind" "bold" "bright" "busy" "careful" "certain" "cheerful" "clean" "clever" "cold" "comfortable" "cruel" "delighted" "delightful" "difficult" "excellent" "excited" "expressive" "extraordinary" "fair" "faithful" "fat" "fine" "foolish" "fortunate" "gentle" "glad" "good" "graceful" "gracious" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "interesting" "jealous" "kind" "little" "lively" "loud" "lovely" "natural" "nervous" "nice" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "pretty" "private" "proper" "proud" "quiet" "remarkable" "respectable" "rich" "rough" "sad" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "tired" "unhappy" "unusual" "violent" "warm" "weak" "worthy" "young"
"affectionate" 0 3 3 1 0 3 0 1 4 1 0 1 1 2 3 1 4 2 0 1 4 3 1 1 0 2 0 1 1 2 1 0 0 2 0 0 2 6 13 1 1 20 2 2 0 2 3 2 1 1 2 17 1 2 1 4 1 2 16 8 1 5 0 3 2 8 2 2 2 2 3 2 1 2 2 1 1 5 2 9 0 0 1 2 0 1 2 5 0 1 13
"afraid" 3 0 2 4 4 6 1 4 5 4 2 1 3 0 4 5 4 2 1 1 6 4 0 5 3 2 0 2 2 10 5 1 1 6 6 0 2 9 28 1 2 26 2 15 4 1 3 3 1 3 7 31 3 2 3 3 3 1 23 8 4 1 3 4 3 21 7 4 7 5 3 7 2 2 3 3 5 17 3 8 2 4 0 0 0 2 6 3 1 7 25
"agreeable" 3 2 0 1 1 3 1 0 3 5 1 0 2 2 0 1 5 1 2 1 3 2 0 4 3 3 4 2 2 9 4 0 2 4 3 2 3 6 19 1 1 22 5 8 3 1 1 1 3 2 2 21 2 1 4 5 0 1 13 5 1 1 4 9 1 10 4 7 3 3 4 3 1 4 1 1 1 5 4 4 2 3 0 0 1 1 3 3 0 4 15
"alone" 1 4 1 0 4 5 3 2 7 5 0 5 2 4 2 1 5 0 2 0 8 2 0 1 0 0 1 2 1 5 0 0 1 3 1 1 0 7 21 1 1 21 6 5 7 1 1 1 0 1 7 26 1 9 1 3 3 1 21 8 1 1 1 1 2 14 2 3 2 3 8 3 0 5 1 2 1 14 3 6 5 2 2 0 5 1 3 4 3 3 16
"angry" 0 4 1 4 0 2 3 0 4 5 2 2 3 3 0 2 3 3 0 0 4 2 2 3 1 1 1 1 0 6 3 1 0 2 1 1 3 2 15 3 1 18 8 7 4 3 1 1 1 1 2 24 3 3 3 2 2 1 15 5 1 1 3 4 0 6 2 2 5 2 2 3 0 3 1 1 2 8 1 5 2 0 0 0 2 1 8 2 2 3 16
"anxious" 3 6 3 5 2 0 0 4 3 4 3 2 2 3 4 5 10 2 2 0 9 3 1 5 1 3 0 4 2 12 4 2 6 9 7 1 4 7 27 0 3 38 2 13 8 2 6 2 2 5 7 38 0 7 2 9 2 2 28 8 2 3 1 8 4 22 6 5 3 7 7 9 3 3 1 3 6 18 7 9 4 5 4 3 4 1 5 7 5 9 28
"ashamed" 0 1 1 3 3 0 0 2 4 2 0 2 0 2 0 1 1 0 2 0 2 0 1 0 2 0 2 0 0 2 2 0 0 1 3 0 0 1 12 0 1 9 3 4 1 1 0 0 2 3 2 13 0 2 0 4 3 1 6 4 1 0 1 0 2 4 3 4 2 1 1 2 1 1 1 2 2 5 1 4 1 0 0 2 1 0 1 0 2 2 7
"awkward" 1 4 0 2 0 4 2 0 1 3 1 2 0 2 1 3 6 2 0 1 3 3 1 2 2 0 2 0 1 5 2 1 0 2 3 1 0 3 16 0 0 16 0 3 4 2 1 1 1 4 1 14 1 4 1 1 1 2 9 3 5 2 3 2 1 9 4 1 2 3 4 4 2 1 0 0 1 6 2 5 2 3 1 0 0 1 2 0 4 3 14
"bad" 4 5 3 7 4 3 4 1 0 7 5 4 1 5 0 3 9 5 3 1 8 8 3 1 1 2 2 3 0 9 7 0 1 6 1 1 4 4 36 1 1 33 7 15 10 6 3 2 0 3 7 42 1 10 3 4 2 2 29 13 3 3 3 8 0 19 3 1 3 2 6 5 0 8 0 4 2 12 4 8 3 2 3 3 4 3 10 5 4 8 33
"beautiful" 1 4 5 5 5 4 2 3 7 0 7 3 4 9 1 0 8 5 4 2 8 4 4 5 4 3 4 1 4 13 5 5 1 5 4 4 11 9 40 6 2 36 7 16 9 8 0 3 2 1 9 43 1 6 7 8 2 2 29 5 2 6 4 10 2 19 5 6 4 7 5 3 2 6 5 4 4 21 5 11 8 3 5 2 0 4 8 5 5 3 34
"bitter" 0 2 1 0 2 3 0 1 5 7 0 0 1 4 0 1 2 1 0 0 5 1 1 0 2 0 0 1 0 2 1 2 0 3 1 2 2 2 10 0 1 9 2 8 4 2 0 0 0 1 3 13 0 2 1 1 0 0 7 3 1 0 1 4 0 9 1 0 2 1 3 2 0 2 1 2 2 8 4 0 0 2 1 0 2 1 4 1 3 2 13
"blind" 1 1 0 5 2 2 2 2 4 3 0 0 0 0 2 2 4 1 0 0 2 1 5 1 0 1 1 0 0 2 0 2 0 1 2 0 1 2 11 0 0 6 1 5 5 1 0 1 1 4 2 15 0 4 0 2 1 0 12 4 2 0 0 1 1 8 4 2 2 2 5 1 1 2 2 1 1 10 1 2 0 0 2 1 1 0 1 1 3 1 13
"bold" 1 3 2 2 3 2 0 0 1 4 1 0 0 2 0 0 1 0 0 0 1 1 1 2 2 1 0 0 1 5 3 1 1 2 0 1 2 5 10 1 1 11 2 3 2 0 0 0 1 2 1 12 2 2 4 2 1 0 11 0 1 2 1 3 0 8 2 2 2 0 3 6 1 0 1 1 2 4 1 3 1 1 1 0 1 1 1 1 1 2 12
"bright" 2 0 2 4 3 3 2 2 5 9 4 0 2 0 2 1 6 4 2 2 8 6 0 0 2 3 1 0 1 7 6 1 0 4 1 1 5 4 18 4 0 21 6 7 7 4 1 0 0 1 4 21 3 3 2 6 2 2 19 6 1 5 1 5 1 10 2 4 2 2 7 5 0 4 2 2 4 8 2 5 1 1 1 2 2 2 2 6 3 2 20
"busy" 3 4 0 2 0 4 0 1 0 1 0 2 0 2 0 0 3 4 1 2 4 1 0 2 1 3 0 0 0 2 2 3 3 0 1 0 0 4 10 0 1 11 0 4 4 1 0 2 2 1 2 13 1 1 0 0 1 1 12 3 0 1 0 4 2 9 2 0 2 1 3 0 2 1 1 1 2 5 1 3 1 1 3 2 2 3 0 2 1 2 9
"careful" 1 5 1 1 2 5 1 3 3 0 1 2 0 1 0 0 2 0 0 3 4 1 0 1 0 2 0 0 0 4 4 0 0 2 2 0 2 2 12 0 0 15 1 4 4 0 1 0 1 4 0 14 0 2 1 1 2 0 10 1 1 1 2 2 1 8 3 0 1 1 2 3 0 4 0 1 1 7 3 6 2 0 2 0 1 0 3 1 2 2 8
