"affectionate" "afraid" "agreeable" "alone" "amazing" "angry" "anxious" "bad" "beautiful" "blind" "bright" "busy" "calm" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "difficult" "extraordinary" "fair" "faithful" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "innocent" "kind" "little" "lonely" "loud" "modest" "natural" "nice" "noisy" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "popular" "pretty" "private" "professional" "proper" "quiet" "remarkable" "rich" "rough" "sad" "satisfied" "short" "smart" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thankful" "thoughtful" "tired" "violent" "warm" "weak" "well" "worthy" "young"
"remarkable" 3 3 2 3 3 3 6 5 10 1 6 2 1 2 5 4 3 3 7 8 1 0 2 7 3 0 4 2 2 4 1 2 23 2 21 2 7 4 4 2 1 1 4 28 1 3 4 5 2 2 19 13 4 4 6 6 2 7 3 1 4 3 5 5 0 4 1 3 3 18 2 7 10 4 4 2 2 0 1 2 3 4 1 1 2 15
"rich" 1 0 4 3 2 1 3 0 3 0 3 0 0 1 9 2 5 0 6 2 1 0 4 7 3 1 1 3 3 4 2 3 17 1 19 1 7 3 1 0 0 2 1 19 1 2 2 3 1 1 18 6 2 4 5 7 1 9 1 0 1 1 1 5 4 0 2 0 2 10 1 3 6 2 0 0 0 0 1 0 1 3 2 3 2 11
"rough" 0 3 1 4 0 0 1 2 1 0 4 3 0 1 5 0 4 2 5 1 1 2 0 0 2 1 0 1 1 2 3 3 9 3 11 0 4 5 0 0 0 1 1 14 0 3 2 4 1 3 16 5 1 5 2 3 0 7 1 0 2 0 0 0 1 2 0 1 0 7 0 5 2 1 1 2 0 0 3 4 0 3 1 0 0 6
"sad" 0 4 0 8 0 4 1 2 5 1 7 3 0 5 3 1 7 0 5 3 1 1 1 2 2 1 3 0 1 0 3 6 15 4 11 0 9 3 6 1 1 2 5 18 3 2 0 0 1 2 15 10 0 0 2 6 0 15 0 2 2 1 1 7 3 0 1 0 0 4 1 6 9 1 2 1 3 2 2 1 0 3 3 3 1 12
"satisfied" 2 0 3 5 0 2 1 3 1 0 1 1 0 1 4 0 1 2 2 3 1 1 1 2 0 1 1 1 1 1 0 2 6 1 8 0 2 2 1 0 1 2 0 10 0 0 0 1 0 1 8 4 1 1 2 2 0 2 2 0 3 0 3 0 3 2 0 0 0 6 1 3 1 1 0 0 0 0 1 1 0 1 1 0 1 4
"short" 5 15 10 16 6 8 16 13 9 1 16 5 4 7 23 7 8 5 22 12 6 8 7 13 14 5 9 5 4 15 14 17 61 9 70 2 20 13 7 6 4 4 15 80 6 5 7 15 9 8 68 23 6 12 11 15 2 30 8 5 11 5 6 13 18 10 7 4 6 0 7 20 24 6 8 6 6 3 4 12 10 9 9 4 6 34
"smart" 0 4 3 4 1 0 2 2 1 0 3 1 0 1 4 0 1 0 6 3 0 0 0 2 1 0 0 1 1 2 1 1 7 3 7 1 5 2 1 1 0 0 1 7 2 0 0 2 0 0 7 1 0 0 2 2 0 4 2 1 1 0 1 1 2 1 0 1 1 7 0 2 4 0 0 0 0 0 0 0 0 1 1 0 1 3
"strange" 5 9 4 9 2 4 8 5 4 2 11 3 3 3 6 2 4 1 10 6 3 7 7 5 6 0 5 1 0 5 7 10 38 4 37 3 12 9 7 3 1 2 7 41 1 3 3 8 3 10 45 16 1 5 3 8 3 19 0 4 2 1 3 17 7 3 5 6 3 20 2 0 14 5 5 6 2 1 4 8 3 2 5 5 2 20
"strong" 3 7 6 10 5 4 5 5 9 4 11 2 6 7 15 4 8 2 16 7 3 4 6 8 10 2 7 3 3 11 9 10 43 3 39 4 15 8 4 2 0 2 4 49 5 3 2 9 2 7 40 13 1 9 10 11 5 21 2 7 4 3 2 14 10 6 2 9 1 24 4 14 0 3 7 3 2 2 3 3 2 5 7 4 2 29
"surprised" 1 2 1 2 0 0 8 2 1 0 2 1 2 3 4 1 0 3 5 0 3 2 2 5 2 1 2 2 1 1 3 4 13 1 15 2 7 1 0 0 1 0 2 14 0 1 1 3 2 1 17 6 3 1 6 2 2 5 0 1 1 1 1 5 4 2 1 1 1 6 0 5 3 0 1 1 0 2 2 2 0 4 6 2 0 5
"sweet" 0 3 2 3 0 0 3 2 6 1 7 4 3 1 6 3 3 2 7 3 0 1 1 4 2 1 0 3 0 1 3 1 13 2 12 1 6 6 2 1 0 1 2 18 2 2 1 2 1 2 16 6 1 3 1 5 1 8 0 2 1 0 4 5 4 0 1 2 0 8 0 5 7 1 0 0 1 1 4 2 2 1 2 3 3 10
"tall" 2 0 0 2 0 0 2 1 0 0 4 1 1 1 3 2 1 0 3 1 2 1 2 1 2 0 2 1 0 0 2 2 7 2 10 2 2 1 2 0 1 0 0 9 0 2 1 2 1 3 10 6 2 3 2 1 0 5 0 1 0 0 0 4 2 0 2 1 0 6 0 6 3 1 0 0 0 1 1 4 0 0 0 0 0 6
"terrible" 1 3 1 4 3 2 3 3 2 2 5 0 0 2 3 1 4 0 3 2 0 0 4 0 1 0 1 0 1 2 2 3 6 2 11 0 2 1 5 0 0 2 2 14 0 2 1 2 2 0 11 3 0 1 2 2 0 5 0 0 3 1 0 5 2 0 0 3 0 6 0 2 2 0 1 0 0 0 2 0 1 0 0 0 0 5
"thankful" 0 1 0 3 0 2 1 1 3 0 3 1 1 0 4 0 1 0 4 0 0 1 0 2 1 1 1 1 0 0 2 1 8 2 8 0 3 3 2 1 2 2 2 10 1 2 0 1 0 0 9 3 2 3 1 2 2 9 1 2 1 0 0 2 0 0 0 2 0 3 0 1 2 2 1 1 0 0 1 3 0 1 2 0 1 5
"thoughtful" 3 3 1 4 0 1 3 4 3 0 7 2 2 1 5 1 6 0 6 1 0 2 2 2 4 2 4 1 2 1 3 4 15 3 16 0 5 3 1 0 1 2 4 19 2 4 1 3 1 0 20 7 1 2 2 4 0 10 0 0 0 1 0 4 1 1 3 2 1 4 0 4 3 2 4 1 2 1 0 5 1 2 3 0 2 10
"tired" 3 2 3 5 0 0 6 3 4 0 6 4 2 2 6 1 5 2 6 1 1 4 1 1 0 2 4 3 0 1 3 4 18 4 18 2 3 3 1 1 2 1 6 27 2 4 2 1 2 4 23 7 0 5 2 6 2 16 0 2 4 3 3 5 2 0 4 1 1 12 0 8 3 2 2 4 0 3 5 0 0 2 2 0 2 12
"violent" 0 3 1 5 0 2 2 0 1 0 1 0 1 0 2 1 0 0 3 2 0 1 0 1 1 0 1 0 0 3 1 3 10 0 9 0 4 3 1 1 0 2 3 11 2 1 1 0 2 1 8 2 0 2 1 0 0 4 0 1 0 1 2 2 3 1 0 0 0 10 0 3 2 0 2 0 1 0 1 0 0 2 2 2 1 3
"warm" 1 5 1 5 0 3 4 5 5 2 6 2 0 2 11 2 5 2 6 4 2 1 2 3 3 3 3 2 3 0 4 6 20 1 19 1 11 3 5 1 0 2 2 21 3 1 1 5 3 1 22 6 2 2 3 8 0 13 0 0 4 2 3 5 4 3 3 3 1 9 1 2 5 4 1 0 0 1 2 2 2 0 5 0 3 10
"weak" 2 3 0 3 0 3 8 3 1 1 5 3 2 3 6 0 4 2 7 2 2 1 2 3 2 2 1 1 1 1 2 8 16 3 17 1 8 5 1 1 0 2 3 21 4 1 1 1 0 1 22 8 1 2 6 7 2 12 1 1 0 3 1 8 1 2 1 3 1 9 1 5 7 6 2 0 0 2 3 2 2 5 0 1 0 11
"well" 1 2 0 4 0 1 3 1 2 0 3 0 1 0 2 2 1 0 3 0 0 0 2 4 2 1 1 0 0 1 3 4 13 0 9 0 5 4 1 0 0 0 3 10 0 0 0 1 0 1 6 2 0 2 0 1 0 4 1 1 0 1 0 4 1 3 0 3 0 4 0 5 4 2 3 0 0 0 0 0 2 0 1 0 1 5
"worthy" 0 3 0 4 1 1 0 2 4 1 0 0 0 0 4 1 1 0 4 3 0 1 0 4 4 0 1 0 0 1 1 2 13 0 9 1 2 0 4 2 0 3 3 12 3 1 0 2 1 0 10 4 0 3 1 3 1 6 2 0 3 2 2 0 2 2 0 1 1 6 1 2 2 0 3 0 0 1 2 2 1 3 0 1 0 7
"young" 9 12 12 15 2 7 13 9 17 6 22 5 6 8 22 6 16 4 17 14 6 6 8 16 15 4 7 7 8 11 12 23 73 7 72 8 28 11 10 4 3 7 16 89 8 5 5 15 7 5 79 30 3 13 19 22 3 42 4 7 8 4 10 23 15 11 6 12 4 34 3 20 29 5 10 6 5 5 10 12 3 10 11 5 7 0
